Date,Schwab US Large-Cap Value_etf_Open_average,Schwab US Large-Cap Value_etf_Open_max,Schwab US Large-Cap Value_etf_Open_min,Schwab US Large-Cap Value_etf_Open_volatility,Schwab US Large-Cap Value_etf_Open_change,Schwab US Large-Cap Value_etf_High_average,Schwab US Large-Cap Value_etf_High_max,Schwab US Large-Cap Value_etf_High_min,Schwab US Large-Cap Value_etf_High_volatility,Schwab US Large-Cap Value_etf_High_change,Schwab US Large-Cap Value_etf_Low_average,Schwab US Large-Cap Value_etf_Low_max,Schwab US Large-Cap Value_etf_Low_min,Schwab US Large-Cap Value_etf_Low_volatility,Schwab US Large-Cap Value_etf_Low_change,Schwab US Large-Cap Value_etf_Close_average,Schwab US Large-Cap Value_etf_Close_max,Schwab US Large-Cap Value_etf_Close_min,Schwab US Large-Cap Value_etf_Close_volatility,Schwab US Large-Cap Value_etf_Close_change
2018-01-14,56.7,56.7,56.7,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2018-01-21,57.5,57.5,57.5,0.0,0.0,58.0,58.0,58.0,0.0,0.0,57.46,57.46,57.46,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-01-28,56.61,56.61,56.61,0.0,0.0,56.74,56.74,56.74,0.0,0.0,55.69,55.69,55.69,0.0,0.0,55.74,55.74,55.74,0.0,0.0
2018-02-04,52.71,52.71,52.71,0.0,0.0,53.26,53.26,53.26,0.0,0.0,51.24,51.24,51.24,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2018-02-11,54.8,54.8,54.8,0.0,0.0,55.43,55.43,55.43,0.0,0.0,54.8,54.8,54.8,0.0,0.0,55.01,55.01,55.01,0.0,0.0
2018-02-18,54.5,54.5,54.5,0.0,0.0,55.08,55.08,55.08,0.0,0.0,54.43,54.43,54.43,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-02-25,53.38,53.38,53.38,0.0,0.0,54.1,54.1,54.1,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.98,53.98,53.98,0.0,0.0
2018-03-04,55.16,55.16,55.16,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-03-11,54.57,54.57,54.57,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2018-03-18,52.73,52.73,52.73,0.0,0.0,52.88,52.88,52.88,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2018-03-25,52.49,52.49,52.49,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.36,52.36,52.36,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-04-01,52.89,52.89,52.89,0.0,0.0,53.17,53.17,53.17,0.0,0.0,51.84,51.84,51.84,0.0,0.0,52.23,52.23,52.23,0.0,0.0
2018-04-08,53.7,53.7,53.7,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2018-04-15,53.67,53.67,53.67,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.31,53.31,53.31,0.0,0.0
2018-04-22,53.4,53.4,53.4,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.36,53.36,53.36,0.0,0.0
2018-04-29,51.92,51.92,51.92,0.0,0.0,52.87,52.87,52.87,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2018-05-06,53.87,53.87,53.87,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-05-13,53.89,53.89,53.89,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.71,53.71,53.71,0.0,0.0
