Date,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_change,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_change,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_change,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_change
2018-01-14,47.1,47.1,47.1,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.49,47.49,47.49,0.0,0.0
2018-01-21,48.53,48.53,48.53,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-01-28,47.31,47.31,47.31,0.0,0.0,47.4,47.4,47.4,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-02-04,44.82,44.82,44.82,0.0,0.0,45.15,45.15,45.15,0.0,0.0,43.73,43.73,43.73,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2018-02-11,46.08,46.08,46.08,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-02-18,45.7,45.7,45.7,0.0,0.0,46.18,46.18,46.18,0.0,0.0,45.66,45.66,45.66,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2018-02-25,44.99,44.99,44.99,0.0,0.0,45.38,45.38,45.38,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-03-04,46.09,46.09,46.09,0.0,0.0,46.32,46.32,46.32,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2018-03-11,46.05,46.05,46.05,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.02,46.02,46.02,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2018-03-18,44.85,44.85,44.85,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2018-03-25,45.15,45.15,45.15,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.15,45.15,45.15,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-04-01,45.74,45.74,45.74,0.0,0.0,45.8,45.8,45.8,0.0,0.0,44.88,44.88,44.88,0.0,0.0,45.15,45.15,45.15,0.0,0.0
2018-04-08,45.55,45.55,45.55,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2018-04-15,45.72,45.72,45.72,0.0,0.0,45.72,45.72,45.72,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2018-04-22,45.58,45.58,45.58,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.77,45.77,45.77,0.0,0.0
2018-04-29,45.05,45.05,45.05,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-05-06,45.78,45.78,45.78,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2018-05-13,45.73,45.73,45.73,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2018-05-20,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-05-27,45.63,45.63,45.63,0.0,0.0,46.06,46.06,46.06,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2018-06-03,46.24,46.24,46.24,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.24,46.24,46.24,0.0,0.0
2018-06-10,46.31,46.31,46.31,0.0,0.0,46.31,46.31,46.31,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.24,46.24,46.24,0.0,0.0
2018-06-17,46.55,46.55,46.55,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2018-06-24,46.48,46.48,46.48,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.32,46.32,46.32,0.0,0.0
