Date,iShares MSCI EM ex China_Open_average,iShares MSCI EM ex China_Open_max,iShares MSCI EM ex China_Open_min,iShares MSCI EM ex China_Open_volatility,iShares MSCI EM ex China_Open_change,iShares MSCI EM ex China_High_average,iShares MSCI EM ex China_High_max,iShares MSCI EM ex China_High_min,iShares MSCI EM ex China_High_volatility,iShares MSCI EM ex China_High_change,iShares MSCI EM ex China_Low_average,iShares MSCI EM ex China_Low_max,iShares MSCI EM ex China_Low_min,iShares MSCI EM ex China_Low_volatility,iShares MSCI EM ex China_Low_change,iShares MSCI EM ex China_Close_average,iShares MSCI EM ex China_Close_max,iShares MSCI EM ex China_Close_min,iShares MSCI EM ex China_Close_volatility,iShares MSCI EM ex China_Close_change
2018-01-14,56.68,56.68,56.68,0.0,0.0,56.7,56.7,56.7,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.7,56.7,56.7,0.0,0.0
2018-01-21,57.85,57.85,57.85,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.85,57.85,57.85,0.0,0.0
2018-01-28,55.62,55.62,55.62,0.0,0.0,55.62,55.62,55.62,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-02-04,54.08,54.08,54.08,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2018-02-11,55.95,55.95,55.95,0.0,0.0,55.95,55.95,55.95,0.0,0.0,55.95,55.95,55.95,0.0,0.0,55.95,55.95,55.95,0.0,0.0
2018-02-18,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0
2018-02-25,54.48,54.48,54.48,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2018-03-04,56.37,56.37,56.37,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-03-11,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2018-03-18,54.8,54.8,54.8,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-03-25,54.05,54.05,54.05,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2018-04-01,54.06,54.06,54.06,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-04-08,54.41,54.41,54.41,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.39,54.39,54.39,0.0,0.0
2018-04-15,53.76,53.76,53.76,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2018-04-22,53.94,53.94,53.94,0.0,0.0,54.23,54.23,54.23,0.0,0.0,53.94,53.94,53.94,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2018-04-29,52.66,52.66,52.66,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-05-06,53.53,53.53,53.53,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.53,53.53,53.53,0.0,0.0
2018-05-13,51.53,51.53,51.53,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-05-20,52.02,52.02,52.02,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-05-27,52.03,52.03,52.03,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2018-06-03,51.35,51.35,51.35,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.41,51.41,51.41,0.0,0.0
2018-06-10,49.84,49.84,49.84,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-06-17,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-06-24,47.98,47.98,47.98,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.01,48.01,48.01,0.0,0.0
