Date,LOAN_Open_average,LOAN_Open_max,LOAN_Open_min,LOAN_Open_volatility,LOAN_Open_change,LOAN_High_average,LOAN_High_max,LOAN_High_min,LOAN_High_volatility,LOAN_High_change,LOAN_Low_average,LOAN_Low_max,LOAN_Low_min,LOAN_Low_volatility,LOAN_Low_change,LOAN_Close_average,LOAN_Close_max,LOAN_Close_min,LOAN_Close_volatility,LOAN_Close_change,LOAN_Volume_average,LOAN_Volume_max,LOAN_Volume_min,LOAN_Volume_volatility,LOAN_Volume_change
2018-01-14,5.98,6.1,5.9,0.1999999999999993,0.1999999999999993,6.04,6.1,5.9,0.1999999999999993,0.1999999999999993,5.93,6.05,5.85,0.20000000000000018,0.15000000000000036,6.018,6.1,5.9,0.1999999999999993,0.14999999999999947,35781,46930,23625,23305,-3559
2018-01-21,6.069999999999999,6.1,6.05,0.04999999999999982,0.0,6.1,6.15,6.05,0.10000000000000053,-0.04999999999999982,6.03,6.05,6.0,0.04999999999999982,-0.04999999999999982,6.062,6.1,6.03,0.0699999999999994,-0.0699999999999994,12900,23574,3842,19732,-2080
2018-01-28,5.962,6.1,5.85,0.25,-0.25,5.994,6.1,5.9,0.1999999999999993,-0.1999999999999993,5.876,6.0,5.78,0.21999999999999975,-0.21999999999999975,5.902,6.03,5.78,0.25,-0.25,14578,23133,8373,14760,-2682
2018-02-04,5.984,6.1,5.85,0.25,0.14999999999999947,6.06,6.1,5.95,0.14999999999999947,0.14999999999999947,5.9399999999999995,6.05,5.8,0.25,0.25,6.012,6.1,5.88,0.21999999999999975,0.16999999999999993,23451,29032,17570,11462,-5300
2018-02-11,6.0975,6.14,6.05,0.08999999999999986,0.04999999999999982,6.1375,6.15,6.1,0.05000000000000071,0.05000000000000071,6.0675,6.1,6.0,0.09999999999999964,0.09999999999999964,6.112500000000001,6.15,6.07,0.08000000000000007,0.04999999999999982,12351,24399,4144,20255,-11408
2018-02-18,6.15,6.15,6.15,0.0,0.0,6.15,6.15,6.15,0.0,0.0,6.106,6.13,6.1,0.03000000000000025,0.0,6.13,6.15,6.1,0.05000000000000071,0.03000000000000025,6081,9133,1714,7419,-3477
2018-02-25,6.22,6.25,6.15,0.09999999999999964,0.09999999999999964,6.26,6.3,6.2,0.09999999999999964,0.09999999999999964,6.182,6.22,6.12,0.09999999999999964,0.09999999999999964,6.234,6.25,6.2,0.04999999999999982,0.019999999999999574,24211,43420,10203,33217,-6827
2018-03-04,6.3,6.3,6.3,0.0,0.0,6.32,6.4,6.3,0.10000000000000053,0.10000000000000053,6.25,6.26,6.24,0.019999999999999574,0.009999999999999787,6.276,6.35,6.25,0.09999999999999964,0.09999999999999964,13746,26837,4039,22798,16598
2018-03-11,6.42,6.5,6.35,0.15000000000000036,0.09999999999999964,6.44,6.5,6.4,0.09999999999999964,0.09999999999999964,6.336,6.4,6.3,0.10000000000000053,0.10000000000000053,6.386,6.4,6.35,0.05000000000000071,0.05000000000000071,17578,31150,7831,23319,13501
2018-03-18,6.8,7.2,6.45,0.75,0.75,6.93,7.2,6.5,0.7000000000000002,0.7000000000000002,6.656,6.93,6.4,0.5299999999999994,0.2999999999999998,6.88,7.2,6.5,0.7000000000000002,0.4500000000000002,51891,68388,27917,40471,31226
2018-03-25,6.95,7.0,6.9,0.09999999999999964,-0.09999999999999964,7.0,7.0,7.0,0.0,0.0,6.82,6.93,6.65,0.27999999999999936,0.25,6.9375,7.0,6.89,0.11000000000000032,0.11000000000000032,21780,33666,15533,18133,-13656
2018-04-01,7.11,7.3,7.0,0.2999999999999998,0.2999999999999998,7.248,7.5,7.1,0.40000000000000036,0.40000000000000036,7.018,7.1,6.94,0.15999999999999925,0.05999999999999961,7.12,7.35,6.95,0.39999999999999947,0.09999999999999964,39048,55426,23858,31568,-4400
2018-04-08,6.97,7.1,6.85,0.25,0.0,7.06,7.1,7.0,0.09999999999999964,0.09999999999999964,6.856,6.93,6.75,0.17999999999999972,0.02999999999999936,6.97,7.1,6.85,0.25,0.14999999999999947,20899,25905,17424,8481,-4356
2018-04-15,7.24,7.35,7.1,0.25,0.25,7.364,7.45,7.2,0.25,0.20000000000000018,7.202,7.26,7.1,0.16000000000000014,0.16000000000000014,7.282,7.35,7.16,0.1899999999999995,0.13999999999999968,21031,33158,11100,22058,5237
2018-04-22,7.31,7.4,7.25,0.15000000000000036,0.10000000000000053,7.414000000000001,7.55,7.32,0.22999999999999954,0.22999999999999954,7.28,7.3,7.25,0.04999999999999982,0.04999999999999982,7.37,7.5,7.25,0.25,0.25,20315,47457,10069,37388,37388
2018-04-29,7.55,7.6,7.5,0.09999999999999964,0.04999999999999982,7.588,7.6,7.55,0.04999999999999982,0.04999999999999982,7.418,7.5,7.3,0.20000000000000018,-0.04999999999999982,7.512,7.59,7.36,0.22999999999999954,-0.1899999999999995,29474,39330,25290,14040,13368
2018-05-06,7.3,7.6,7.0,0.5999999999999996,0.25,7.458,7.69,7.25,0.4400000000000004,0.1999999999999993,6.986,7.41,6.36,1.0499999999999998,1.0499999999999998,7.282,7.6,6.96,0.6399999999999997,0.54,69992,175463,29015,146448,-138791
2018-05-13,7.2700000000000005,7.5,7.05,0.4500000000000002,-0.2999999999999998,7.372,7.55,7.2,0.34999999999999964,-0.1899999999999995,7.06,7.35,6.75,0.5999999999999996,-0.14999999999999947,7.15,7.36,6.89,0.47000000000000064,-0.11000000000000032,29990,60618,12464,48154,-10346
2018-05-20,7.3,7.4,7.2,0.20000000000000018,-0.15000000000000036,7.3375,7.4,7.3,0.10000000000000053,-0.10000000000000053,7.202500000000001,7.21,7.2,0.009999999999999787,0.009999999999999787,7.3075,7.4,7.23,0.16999999999999993,-0.10000000000000053,10030,10990,8986,2004,-1424
2018-05-27,7.296,7.5,7.2,0.2999999999999998,0.25,7.36,7.55,7.25,0.2999999999999998,0.2999999999999998,7.18,7.3,7.1,0.20000000000000018,0.09999999999999964,7.29,7.4,7.2,0.20000000000000018,0.1299999999999999,17018,32006,8559,23447,21790
2018-06-03,7.3919999999999995,7.6,7.3,0.2999999999999998,-0.05000000000000071,7.4879999999999995,7.6,7.35,0.25,-0.15999999999999925,7.306,7.4,7.25,0.15000000000000036,-0.11000000000000032,7.38,7.55,7.25,0.2999999999999998,-0.14999999999999947,20407,34914,11533,23381,-16930
