Date,VanEck Vectors ChinaAMC A-Share_etf_Open_average,VanEck Vectors ChinaAMC A-Share_etf_Open_max,VanEck Vectors ChinaAMC A-Share_etf_Open_min,VanEck Vectors ChinaAMC A-Share_etf_Open_volatility,VanEck Vectors ChinaAMC A-Share_etf_Open_change,VanEck Vectors ChinaAMC A-Share_etf_High_average,VanEck Vectors ChinaAMC A-Share_etf_High_max,VanEck Vectors ChinaAMC A-Share_etf_High_min,VanEck Vectors ChinaAMC A-Share_etf_High_volatility,VanEck Vectors ChinaAMC A-Share_etf_High_change,VanEck Vectors ChinaAMC A-Share_etf_Low_average,VanEck Vectors ChinaAMC A-Share_etf_Low_max,VanEck Vectors ChinaAMC A-Share_etf_Low_min,VanEck Vectors ChinaAMC A-Share_etf_Low_volatility,VanEck Vectors ChinaAMC A-Share_etf_Low_change,VanEck Vectors ChinaAMC A-Share_etf_Close_average,VanEck Vectors ChinaAMC A-Share_etf_Close_max,VanEck Vectors ChinaAMC A-Share_etf_Close_min,VanEck Vectors ChinaAMC A-Share_etf_Close_volatility,VanEck Vectors ChinaAMC A-Share_etf_Close_change
2018-01-14,52.36,52.36,52.36,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2018-01-21,54.09,54.09,54.09,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-01-28,52.32,52.32,52.32,0.0,0.0,52.32,52.32,52.32,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-02-04,46.31,46.31,46.31,0.0,0.0,46.53,46.53,46.53,0.0,0.0,44.82,44.82,44.82,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2018-02-11,50.09,50.09,50.09,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-02-18,49.83,49.83,49.83,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-02-25,48.72,48.72,48.72,0.0,0.0,49.3,49.3,49.3,0.0,0.0,48.48,48.48,48.48,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-03-04,50.61,50.61,50.61,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-03-11,49.82,49.82,49.82,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-03-18,47.95,47.95,47.95,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.28,47.28,47.28,0.0,0.0
