Date,ProShares UltraPro Short Russell2000_Open_average,ProShares UltraPro Short Russell2000_Open_max,ProShares UltraPro Short Russell2000_Open_min,ProShares UltraPro Short Russell2000_Open_volatility,ProShares UltraPro Short Russell2000_Open_change,ProShares UltraPro Short Russell2000_High_average,ProShares UltraPro Short Russell2000_High_max,ProShares UltraPro Short Russell2000_High_min,ProShares UltraPro Short Russell2000_High_volatility,ProShares UltraPro Short Russell2000_High_change,ProShares UltraPro Short Russell2000_Low_average,ProShares UltraPro Short Russell2000_Low_max,ProShares UltraPro Short Russell2000_Low_min,ProShares UltraPro Short Russell2000_Low_volatility,ProShares UltraPro Short Russell2000_Low_change,ProShares UltraPro Short Russell2000_Close_average,ProShares UltraPro Short Russell2000_Close_max,ProShares UltraPro Short Russell2000_Close_min,ProShares UltraPro Short Russell2000_Close_volatility,ProShares UltraPro Short Russell2000_Close_change
2018-01-14,28.75,28.75,28.75,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-01-21,28.45,28.45,28.45,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-01-28,32.05,32.05,32.05,0.0,0.0,34.96,34.96,34.96,0.0,0.0,31.37,31.37,31.37,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-02-04,35.45,35.45,35.45,0.0,0.0,36.49,36.49,36.49,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2018-02-11,31.81,31.81,31.81,0.0,0.0,31.81,31.81,31.81,0.0,0.0,30.6,30.6,30.6,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-02-18,30.4,30.4,30.4,0.0,0.0,30.99,30.99,30.99,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-02-25,31.9,31.9,31.9,0.0,0.0,32.13,32.13,32.13,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2018-03-04,27.62,27.62,27.62,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2018-03-11,28.71,28.71,28.71,0.0,0.0,30.16,30.16,30.16,0.0,0.0,28.71,28.71,28.71,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-03-18,31.1,31.1,31.1,0.0,0.0,32.24,32.24,32.24,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2018-03-25,31.58,31.58,31.58,0.0,0.0,34.05,34.05,34.05,0.0,0.0,31.12,31.12,31.12,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-04-01,31.2,31.2,31.2,0.0,0.0,31.87,31.87,31.87,0.0,0.0,30.52,30.52,30.52,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-04-08,29.14,29.14,29.14,0.0,0.0,29.53,29.53,29.53,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-04-15,28.64,28.64,28.64,0.0,0.0,29.29,29.29,29.29,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2018-04-22,29.0,29.0,29.0,0.0,0.0,30.02,30.02,30.02,0.0,0.0,28.79,28.79,28.79,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-04-29,28.31,28.31,28.31,0.0,0.0,28.42,28.42,28.42,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2018-05-06,26.5,26.5,26.5,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-05-13,25.31,25.31,25.31,0.0,0.0,25.31,25.31,25.31,0.0,0.0,24.88,24.88,24.88,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-05-20,25.56,25.56,25.56,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-05-27,24.32,24.32,24.32,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-06-03,23.42,23.42,23.42,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.29,23.29,23.29,0.0,0.0
2018-06-10,23.27,23.27,23.27,0.0,0.0,23.31,23.31,23.31,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.56,22.56,22.56,0.0,0.0
2018-06-17,23.1,23.1,23.1,0.0,0.0,24.3,24.3,24.3,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2018-06-24,25.03,25.03,25.03,0.0,0.0,25.06,25.06,25.06,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2018-07-01,22.06,22.06,22.06,0.0,0.0,22.27,22.27,22.27,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.93,21.93,21.93,0.0,0.0
2018-07-08,22.59,22.59,22.59,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2018-07-15,22.26,22.26,22.26,0.0,0.0,22.51,22.51,22.51,0.0,0.0,21.99,21.99,21.99,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2018-07-22,23.55,23.55,23.55,0.0,0.0,24.02,24.02,24.02,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2018-07-29,23.13,23.13,23.13,0.0,0.0,23.23,23.23,23.23,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.64,22.64,22.64,0.0,0.0
2018-08-05,22.5,22.5,22.5,0.0,0.0,23.23,23.23,23.23,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2018-08-12,22.06,22.06,22.06,0.0,0.0,22.41,22.41,22.41,0.0,0.0,21.89,21.89,21.89,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2018-08-19,20.77,20.77,20.77,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-08-26,20.86,20.86,20.86,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.48,20.48,20.48,0.0,0.0
2018-09-02,21.15,21.15,21.15,0.0,0.0,21.45,21.45,21.45,0.0,0.0,20.99,20.99,20.99,0.0,0.0,21.29,21.29,21.29,0.0,0.0
2018-09-09,21.11,21.11,21.11,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-09-16,21.53,21.53,21.53,0.0,0.0,22.06,22.06,22.06,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.7,21.7,21.7,0.0,0.0
2018-09-23,21.62,21.62,21.62,0.0,0.0,23.01,23.01,23.01,0.0,0.0,21.62,21.62,21.62,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2018-09-30,24.77,24.77,24.77,0.0,0.0,25.28,25.28,25.28,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-10-07,28.79,28.79,28.79,0.0,0.0,29.3,29.3,29.3,0.0,0.0,27.79,27.79,27.79,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2018-10-14,28.44,28.44,28.44,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-10-21,30.81,30.81,30.81,0.0,0.0,33.43,33.43,33.43,0.0,0.0,29.84,29.84,29.84,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-10-28,27.84,27.84,27.84,0.0,0.0,28.73,28.73,28.73,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-11-04,27.78,27.78,27.78,0.0,0.0,29.49,29.49,29.49,0.0,0.0,27.72,27.72,27.72,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-11-11,28.99,28.99,28.99,0.0,0.0,30.87,30.87,30.87,0.0,0.0,28.83,28.83,28.83,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-11-18,30.23,30.23,30.23,0.0,0.0,30.6,30.6,30.6,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-11-25,27.25,27.25,27.25,0.0,0.0,28.56,28.56,28.56,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-12-02,33.12,33.12,33.12,0.0,0.0,34.95,34.95,34.95,0.0,0.0,32.73,32.73,32.73,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-12-09,35.98,35.98,35.98,0.0,0.0,38.59,38.59,38.59,0.0,0.0,35.04,35.04,35.04,0.0,0.0,37.92,37.92,37.92,0.0,0.0
2018-12-16,46.59,46.59,46.59,0.0,0.0,48.5,48.5,48.5,0.0,0.0,45.75,45.75,45.75,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-12-23,39.72,39.72,39.72,0.0,0.0,41.5,41.5,41.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2018-12-30,36.44,36.44,36.44,0.0,0.0,36.71,36.71,36.71,0.0,0.0,33.91,33.91,33.91,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2019-01-06,32.23,32.23,32.23,0.0,0.0,32.68,32.68,32.68,0.0,0.0,31.8,31.8,31.8,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2019-01-13,29.81,29.81,29.81,0.0,0.0,30.13,30.13,30.13,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2019-01-20,30.11,30.11,30.11,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-01-27,28.08,28.08,28.08,0.0,0.0,28.35,28.35,28.35,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.22,27.22,27.22,0.0,0.0
2019-02-03,27.59,27.59,27.59,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2019-02-10,25.25,25.25,25.25,0.0,0.0,25.52,25.52,25.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2019-02-17,23.2,23.2,23.2,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2019-02-24,23.48,23.48,23.48,0.0,0.0,24.79,24.79,24.79,0.0,0.0,23.4,23.4,23.4,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2019-03-03,26.55,26.55,26.55,0.0,0.0,26.64,26.64,26.64,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2019-03-10,25.04,25.04,25.04,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2019-03-17,27.4,27.4,27.4,0.0,0.0,27.99,27.99,27.99,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.96,26.96,26.96,0.0,0.0
2019-03-24,24.9,24.9,24.9,0.0,0.0,25.19,25.19,25.19,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2019-03-31,23.7,23.7,23.7,0.0,0.0,24.06,24.06,24.06,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2019-04-07,23.2,23.2,23.2,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2019-04-14,24.43,24.43,24.43,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2019-04-21,22.87,22.87,22.87,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2019-04-28,23.02,23.02,23.02,0.0,0.0,23.08,23.08,23.08,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.96,21.96,21.96,0.0,0.0
