Date,First Trust Mid Cap Core AlphaDEX_Open_average,First Trust Mid Cap Core AlphaDEX_Open_max,First Trust Mid Cap Core AlphaDEX_Open_min,First Trust Mid Cap Core AlphaDEX_Open_volatility,First Trust Mid Cap Core AlphaDEX_Open_change,First Trust Mid Cap Core AlphaDEX_High_average,First Trust Mid Cap Core AlphaDEX_High_max,First Trust Mid Cap Core AlphaDEX_High_min,First Trust Mid Cap Core AlphaDEX_High_volatility,First Trust Mid Cap Core AlphaDEX_High_change,First Trust Mid Cap Core AlphaDEX_Low_average,First Trust Mid Cap Core AlphaDEX_Low_max,First Trust Mid Cap Core AlphaDEX_Low_min,First Trust Mid Cap Core AlphaDEX_Low_volatility,First Trust Mid Cap Core AlphaDEX_Low_change,First Trust Mid Cap Core AlphaDEX_Close_average,First Trust Mid Cap Core AlphaDEX_Close_max,First Trust Mid Cap Core AlphaDEX_Close_min,First Trust Mid Cap Core AlphaDEX_Close_volatility,First Trust Mid Cap Core AlphaDEX_Close_change
2018-01-14,68.74,68.74,68.74,0.0,0.0,69.11,69.11,69.11,0.0,0.0,68.62,68.62,68.62,0.0,0.0,69.08,69.08,69.08,0.0,0.0
2018-01-21,69.15,69.15,69.15,0.0,0.0,69.37,69.37,69.37,0.0,0.0,68.73,68.73,68.73,0.0,0.0,68.79,68.79,68.79,0.0,0.0
2018-01-28,65.98,65.98,65.98,0.0,0.0,66.52,66.52,66.52,0.0,0.0,64.16,64.16,64.16,0.0,0.0,64.16,64.16,64.16,0.0,0.0
2018-02-04,63.92,63.92,63.92,0.0,0.0,64.5,64.5,64.5,0.0,0.0,63.29,63.29,63.29,0.0,0.0,64.25,64.25,64.25,0.0,0.0
2018-02-11,66.21,66.21,66.21,0.0,0.0,66.74,66.74,66.74,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.47,66.47,66.47,0.0,0.0
2018-02-18,66.65,66.65,66.65,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.19,66.19,66.19,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2018-02-25,65.34,65.34,65.34,0.0,0.0,66.28,66.28,66.28,0.0,0.0,65.21,65.21,65.21,0.0,0.0,66.27,66.27,66.27,0.0,0.0
2018-03-04,68.0,68.0,68.0,0.0,0.0,68.19,68.19,68.19,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.99,67.99,67.99,0.0,0.0
2018-03-11,67.17,67.17,67.17,0.0,0.0,67.17,67.17,67.17,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.85,66.85,66.85,0.0,0.0
2018-03-18,64.93,64.93,64.93,0.0,0.0,65.64,65.64,65.64,0.0,0.0,64.45,64.45,64.45,0.0,0.0,65.57,65.57,65.57,0.0,0.0
2018-03-25,65.35,65.35,65.35,0.0,0.0,65.42,65.42,65.42,0.0,0.0,63.09,63.09,63.09,0.0,0.0,63.55,63.55,63.55,0.0,0.0
2018-04-01,64.7,64.7,64.7,0.0,0.0,65.21,65.21,65.21,0.0,0.0,64.34,64.34,64.34,0.0,0.0,64.34,64.34,64.34,0.0,0.0
2018-04-08,65.58,65.58,65.58,0.0,0.0,66.21,66.21,66.21,0.0,0.0,65.58,65.58,65.58,0.0,0.0,66.07,66.07,66.07,0.0,0.0
2018-04-15,65.94,65.94,65.94,0.0,0.0,66.38,66.38,66.38,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.98,65.98,65.98,0.0,0.0
