Date,EquityCompass Equity Risk Manager_etf_Open_average,EquityCompass Equity Risk Manager_etf_Open_max,EquityCompass Equity Risk Manager_etf_Open_min,EquityCompass Equity Risk Manager_etf_Open_volatility,EquityCompass Equity Risk Manager_etf_Open_change,EquityCompass Equity Risk Manager_etf_High_average,EquityCompass Equity Risk Manager_etf_High_max,EquityCompass Equity Risk Manager_etf_High_min,EquityCompass Equity Risk Manager_etf_High_volatility,EquityCompass Equity Risk Manager_etf_High_change,EquityCompass Equity Risk Manager_etf_Low_average,EquityCompass Equity Risk Manager_etf_Low_max,EquityCompass Equity Risk Manager_etf_Low_min,EquityCompass Equity Risk Manager_etf_Low_volatility,EquityCompass Equity Risk Manager_etf_Low_change,EquityCompass Equity Risk Manager_etf_Close_average,EquityCompass Equity Risk Manager_etf_Close_max,EquityCompass Equity Risk Manager_etf_Close_min,EquityCompass Equity Risk Manager_etf_Close_volatility,EquityCompass Equity Risk Manager_etf_Close_change
2018-01-14,23.05,23.05,23.05,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2018-01-21,23.64,23.64,23.64,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2018-01-28,22.96,22.96,22.96,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.82,22.82,22.82,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2018-02-04,21.53,21.53,21.53,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0
2018-02-11,22.45,22.45,22.45,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.51,22.51,22.51,0.0,0.0
2018-02-18,22.24,22.24,22.24,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2018-02-25,22.18,22.18,22.18,0.0,0.0,22.18,22.18,22.18,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.91,21.91,21.91,0.0,0.0
2018-03-04,22.43,22.43,22.43,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2018-03-11,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.25,22.25,22.25,0.0,0.0
2018-03-18,21.44,21.44,21.44,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2018-03-25,21.56,21.56,21.56,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2018-04-01,21.49,21.49,21.49,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2018-04-08,21.65,21.65,21.65,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.63,21.63,21.63,0.0,0.0
2018-04-15,21.74,21.74,21.74,0.0,0.0,21.75,21.75,21.75,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.6,21.6,21.6,0.0,0.0
