Date,PowerShares Active US Real Estate_Open_average,PowerShares Active US Real Estate_Open_max,PowerShares Active US Real Estate_Open_min,PowerShares Active US Real Estate_Open_volatility,PowerShares Active US Real Estate_Open_change,PowerShares Active US Real Estate_High_average,PowerShares Active US Real Estate_High_max,PowerShares Active US Real Estate_High_min,PowerShares Active US Real Estate_High_volatility,PowerShares Active US Real Estate_High_change,PowerShares Active US Real Estate_Low_average,PowerShares Active US Real Estate_Low_max,PowerShares Active US Real Estate_Low_min,PowerShares Active US Real Estate_Low_volatility,PowerShares Active US Real Estate_Low_change,PowerShares Active US Real Estate_Close_average,PowerShares Active US Real Estate_Close_max,PowerShares Active US Real Estate_Close_min,PowerShares Active US Real Estate_Close_volatility,PowerShares Active US Real Estate_Close_change
2018-01-14,78.47,78.47,78.47,0.0,0.0,78.81,78.81,78.81,0.0,0.0,78.47,78.47,78.47,0.0,0.0,78.81,78.81,78.81,0.0,0.0
2018-01-21,78.98,78.98,78.98,0.0,0.0,78.98,78.98,78.98,0.0,0.0,78.98,78.98,78.98,0.0,0.0,78.98,78.98,78.98,0.0,0.0
2018-01-28,77.73,77.73,77.73,0.0,0.0,77.76,77.76,77.76,0.0,0.0,76.33,76.33,76.33,0.0,0.0,76.33,76.33,76.33,0.0,0.0
2018-02-04,74.0,74.0,74.0,0.0,0.0,74.43,74.43,74.43,0.0,0.0,73.93,73.93,73.93,0.0,0.0,74.43,74.43,74.43,0.0,0.0
2018-02-11,75.39,75.39,75.39,0.0,0.0,76.02,76.02,76.02,0.0,0.0,75.26,75.26,75.26,0.0,0.0,76.01,76.01,76.01,0.0,0.0
2018-02-18,76.18,76.18,76.18,0.0,0.0,76.18,76.18,76.18,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.62,75.62,75.62,0.0,0.0
2018-02-25,73.9,73.9,73.9,0.0,0.0,74.7,74.7,74.7,0.0,0.0,73.9,73.9,73.9,0.0,0.0,74.7,74.7,74.7,0.0,0.0
2018-03-04,76.57,76.57,76.57,0.0,0.0,76.57,76.57,76.57,0.0,0.0,76.53,76.53,76.53,0.0,0.0,76.53,76.53,76.53,0.0,0.0
2018-03-11,76.14,76.14,76.14,0.0,0.0,76.35,76.35,76.35,0.0,0.0,75.92,75.92,75.92,0.0,0.0,76.35,76.35,76.35,0.0,0.0
2018-03-18,74.6,74.6,74.6,0.0,0.0,74.83,74.83,74.83,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.83,74.83,74.83,0.0,0.0
