Date,Innovator IBD 50_Open_average,Innovator IBD 50_Open_max,Innovator IBD 50_Open_min,Innovator IBD 50_Open_volatility,Innovator IBD 50_Open_change,Innovator IBD 50_High_average,Innovator IBD 50_High_max,Innovator IBD 50_High_min,Innovator IBD 50_High_volatility,Innovator IBD 50_High_change,Innovator IBD 50_Low_average,Innovator IBD 50_Low_max,Innovator IBD 50_Low_min,Innovator IBD 50_Low_volatility,Innovator IBD 50_Low_change,Innovator IBD 50_Close_average,Innovator IBD 50_Close_max,Innovator IBD 50_Close_min,Innovator IBD 50_Close_volatility,Innovator IBD 50_Close_change
2018-01-14,36.09,36.09,36.09,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-01-21,35.41,35.41,35.41,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-01-28,32.8,32.8,32.8,0.0,0.0,33.77,33.77,33.77,0.0,0.0,31.98,31.98,31.98,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-02-04,31.58,31.58,31.58,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2018-02-11,33.5,33.5,33.5,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-02-18,33.54,33.54,33.54,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-02-25,33.21,33.21,33.21,0.0,0.0,33.62,33.62,33.62,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2018-03-04,34.93,34.93,34.93,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.85,34.85,34.85,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2018-03-11,34.5,34.5,34.5,0.0,0.0,34.62,34.62,34.62,0.0,0.0,33.85,33.85,33.85,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-03-18,33.85,33.85,33.85,0.0,0.0,34.59,34.59,34.59,0.0,0.0,33.58,33.58,33.58,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2018-03-25,33.12,33.12,33.12,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-04-01,33.0,33.0,33.0,0.0,0.0,33.77,33.77,33.77,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-04-08,33.72,33.72,33.72,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.65,33.65,33.65,0.0,0.0
