Date,iShares US Medical DevicesEtf_Open_average,iShares US Medical DevicesEtf_Open_max,iShares US Medical DevicesEtf_Open_min,iShares US Medical DevicesEtf_Open_volatility,iShares US Medical DevicesEtf_Open_change,iShares US Medical DevicesEtf_High_average,iShares US Medical DevicesEtf_High_max,iShares US Medical DevicesEtf_High_min,iShares US Medical DevicesEtf_High_volatility,iShares US Medical DevicesEtf_High_change,iShares US Medical DevicesEtf_Low_average,iShares US Medical DevicesEtf_Low_max,iShares US Medical DevicesEtf_Low_min,iShares US Medical DevicesEtf_Low_volatility,iShares US Medical DevicesEtf_Low_change,iShares US Medical DevicesEtf_Close_average,iShares US Medical DevicesEtf_Close_max,iShares US Medical DevicesEtf_Close_min,iShares US Medical DevicesEtf_Close_volatility,iShares US Medical DevicesEtf_Close_change
2018-01-14,185.91,185.91,185.91,0.0,0.0,186.85,186.85,186.85,0.0,0.0,185.81,185.81,185.81,0.0,0.0,186.62,186.62,186.62,0.0,0.0
2018-01-21,192.68,192.68,192.68,0.0,0.0,193.68,193.68,193.68,0.0,0.0,191.26,191.26,191.26,0.0,0.0,193.68,193.68,193.68,0.0,0.0
2018-01-28,190.0,190.0,190.0,0.0,0.0,190.6,190.6,190.6,0.0,0.0,188.1,188.1,188.1,0.0,0.0,188.1,188.1,188.1,0.0,0.0
2018-02-04,174.22,174.22,174.22,0.0,0.0,176.57,176.57,176.57,0.0,0.0,170.27,170.27,170.27,0.0,0.0,175.4,175.4,175.4,0.0,0.0
2018-02-11,183.22,183.22,183.22,0.0,0.0,185.44,185.44,185.44,0.0,0.0,183.0,183.0,183.0,0.0,0.0,184.19,184.19,184.19,0.0,0.0
2018-02-18,183.37,183.37,183.37,0.0,0.0,184.61,184.61,184.61,0.0,0.0,182.37,182.37,182.37,0.0,0.0,184.61,184.61,184.61,0.0,0.0
2018-02-25,179.07,179.07,179.07,0.0,0.0,182.01,182.01,182.01,0.0,0.0,178.92,178.92,178.92,0.0,0.0,181.87,181.87,181.87,0.0,0.0
2018-03-04,189.7,189.7,189.7,0.0,0.0,192.26,192.26,192.26,0.0,0.0,189.59,189.59,189.59,0.0,0.0,192.12,192.12,192.12,0.0,0.0
2018-03-11,190.56,190.56,190.56,0.0,0.0,191.18,191.18,191.18,0.0,0.0,190.34,190.34,190.34,0.0,0.0,190.51,190.51,190.51,0.0,0.0
2018-03-18,184.73,184.73,184.73,0.0,0.0,185.29,185.29,185.29,0.0,0.0,180.8,180.8,180.8,0.0,0.0,181.08,181.08,181.08,0.0,0.0
2018-03-25,182.77,182.77,182.77,0.0,0.0,186.66,186.66,186.66,0.0,0.0,182.25,182.25,182.25,0.0,0.0,185.01,185.01,185.01,0.0,0.0
2018-04-01,184.64,184.64,184.64,0.0,0.0,185.07,185.07,185.07,0.0,0.0,179.37,179.37,179.37,0.0,0.0,181.03,181.03,181.03,0.0,0.0
2018-04-08,187.51,187.51,187.51,0.0,0.0,187.57,187.57,187.57,0.0,0.0,185.22,185.22,185.22,0.0,0.0,186.16,186.16,186.16,0.0,0.0
2018-04-15,190.89,190.89,190.89,0.0,0.0,191.72,191.72,191.72,0.0,0.0,189.84,189.84,189.84,0.0,0.0,190.36,190.36,190.36,0.0,0.0
2018-04-22,190.96,190.96,190.96,0.0,0.0,191.08,191.08,191.08,0.0,0.0,189.44,189.44,189.44,0.0,0.0,190.8,190.8,190.8,0.0,0.0
2018-04-29,188.98,188.98,188.98,0.0,0.0,193.06,193.06,193.06,0.0,0.0,188.01,188.01,188.01,0.0,0.0,192.33,192.33,192.33,0.0,0.0
2018-05-06,196.65,196.65,196.65,0.0,0.0,197.5,197.5,197.5,0.0,0.0,195.49,195.49,195.49,0.0,0.0,197.09,197.09,197.09,0.0,0.0
2018-05-13,196.43,196.43,196.43,0.0,0.0,197.8,197.8,197.8,0.0,0.0,196.4,196.4,196.4,0.0,0.0,197.62,197.62,197.62,0.0,0.0
2018-05-20,199.13,199.13,199.13,0.0,0.0,199.56,199.56,199.56,0.0,0.0,197.95,197.95,197.95,0.0,0.0,198.38,198.38,198.38,0.0,0.0
2018-05-27,199.24,199.24,199.24,0.0,0.0,201.75,201.75,201.75,0.0,0.0,198.54,198.54,198.54,0.0,0.0,200.58,200.58,200.58,0.0,0.0
2018-06-03,202.84,202.84,202.84,0.0,0.0,204.72,204.72,204.72,0.0,0.0,202.84,202.84,202.84,0.0,0.0,204.68,204.68,204.68,0.0,0.0
2018-06-10,206.02,206.02,206.02,0.0,0.0,206.72,206.72,206.72,0.0,0.0,205.12,205.12,205.12,0.0,0.0,206.33,206.33,206.33,0.0,0.0
2018-06-17,204.31,204.31,204.31,0.0,0.0,205.76,205.76,205.76,0.0,0.0,203.73,203.73,203.73,0.0,0.0,204.43,204.43,204.43,0.0,0.0
2018-06-24,201.27,201.27,201.27,0.0,0.0,202.27,202.27,202.27,0.0,0.0,200.6,200.6,200.6,0.0,0.0,200.65,200.65,200.65,0.0,0.0
2018-07-01,203.48,203.48,203.48,0.0,0.0,205.27,205.27,205.27,0.0,0.0,203.2,203.2,203.2,0.0,0.0,204.68,204.68,204.68,0.0,0.0
2018-07-08,207.0,207.0,207.0,0.0,0.0,207.42,207.42,207.42,0.0,0.0,206.35,206.35,206.35,0.0,0.0,206.63,206.63,206.63,0.0,0.0
2018-07-15,208.22,208.22,208.22,0.0,0.0,209.4,209.4,209.4,0.0,0.0,208.06,208.06,208.06,0.0,0.0,208.14,208.14,208.14,0.0,0.0
2018-07-22,211.16,211.16,211.16,0.0,0.0,211.16,211.16,211.16,0.0,0.0,206.08,206.08,206.08,0.0,0.0,207.6,207.6,207.6,0.0,0.0
2018-07-29,210.11,210.11,210.11,0.0,0.0,210.93,210.93,210.93,0.0,0.0,208.73,208.73,208.73,0.0,0.0,210.16,210.16,210.16,0.0,0.0
2018-08-05,209.07,209.07,209.07,0.0,0.0,210.23,210.23,210.23,0.0,0.0,208.42,208.42,208.42,0.0,0.0,208.92,208.92,208.92,0.0,0.0
2018-08-12,209.24,209.24,209.24,0.0,0.0,210.28,210.28,210.28,0.0,0.0,208.75,208.75,208.75,0.0,0.0,210.13,210.13,210.13,0.0,0.0
2018-08-19,214.26,214.26,214.26,0.0,0.0,214.96,214.96,214.96,0.0,0.0,214.1,214.1,214.1,0.0,0.0,214.84,214.84,214.84,0.0,0.0
2018-08-26,218.95,218.95,218.95,0.0,0.0,219.92,219.92,219.92,0.0,0.0,218.78,218.78,218.78,0.0,0.0,219.85,219.85,219.85,0.0,0.0
2018-09-02,218.0,218.0,218.0,0.0,0.0,219.07,219.07,219.07,0.0,0.0,217.1,217.1,217.1,0.0,0.0,217.37,217.37,217.37,0.0,0.0
2018-09-09,223.21,223.21,223.21,0.0,0.0,223.88,223.88,223.88,0.0,0.0,222.6,222.6,222.6,0.0,0.0,223.04,223.04,223.04,0.0,0.0
2018-09-16,222.68,222.68,222.68,0.0,0.0,223.0,223.0,223.0,0.0,0.0,222.18,222.18,222.18,0.0,0.0,222.41,222.41,222.41,0.0,0.0
2018-09-23,226.37,226.37,226.37,0.0,0.0,228.25,228.25,228.25,0.0,0.0,226.07,226.07,226.07,0.0,0.0,227.48,227.48,227.48,0.0,0.0
2018-09-30,218.76,218.76,218.76,0.0,0.0,220.41,220.41,220.41,0.0,0.0,215.92,215.92,215.92,0.0,0.0,218.21,218.21,218.21,0.0,0.0
2018-10-07,209.97,209.97,209.97,0.0,0.0,212.3,212.3,212.3,0.0,0.0,208.03,208.03,208.03,0.0,0.0,210.94,210.94,210.94,0.0,0.0
2018-10-14,212.66,212.66,212.66,0.0,0.0,213.41,213.41,213.41,0.0,0.0,207.26,207.26,207.26,0.0,0.0,208.0,208.0,208.0,0.0,0.0
2018-10-21,201.7,201.7,201.7,0.0,0.0,203.91,203.91,203.91,0.0,0.0,198.27,198.27,198.27,0.0,0.0,201.76,201.76,201.76,0.0,0.0
2018-10-28,210.95,210.95,210.95,0.0,0.0,212.3,212.3,212.3,0.0,0.0,206.92,206.92,206.92,0.0,0.0,208.71,208.71,208.71,0.0,0.0
2018-11-04,216.55,216.55,216.55,0.0,0.0,216.55,216.55,216.55,0.0,0.0,213.26,213.26,213.26,0.0,0.0,214.75,214.75,214.75,0.0,0.0
2018-11-11,207.69,207.69,207.69,0.0,0.0,212.81,212.81,212.81,0.0,0.0,207.69,207.69,207.69,0.0,0.0,211.35,211.35,211.35,0.0,0.0
2018-11-18,202.44,202.44,202.44,0.0,0.0,205.18,205.18,205.18,0.0,0.0,202.38,202.38,202.38,0.0,0.0,203.85,203.85,203.85,0.0,0.0
2018-11-25,214.76,214.76,214.76,0.0,0.0,216.81,216.81,216.81,0.0,0.0,214.52,214.52,214.52,0.0,0.0,216.57,216.57,216.57,0.0,0.0
2018-12-02,210.53,210.53,210.53,0.0,0.0,210.75,210.75,210.75,0.0,0.0,203.6,203.6,203.6,0.0,0.0,204.85,204.85,204.85,0.0,0.0
2018-12-09,206.76,206.76,206.76,0.0,0.0,208.08,208.08,208.08,0.0,0.0,203.43,203.43,203.43,0.0,0.0,204.21,204.21,204.21,0.0,0.0
2018-12-16,191.82,191.82,191.82,0.0,0.0,193.84,193.84,193.84,0.0,0.0,188.09,188.09,188.09,0.0,0.0,188.66,188.66,188.66,0.0,0.0
2018-12-23,197.4,197.4,197.4,0.0,0.0,199.35,199.35,199.35,0.0,0.0,195.16,195.16,195.16,0.0,0.0,196.84,196.84,196.84,0.0,0.0
2018-12-30,191.11,191.11,191.11,0.0,0.0,197.03,197.03,197.03,0.0,0.0,191.11,191.11,191.11,0.0,0.0,195.33,195.33,195.33,0.0,0.0
2019-01-06,203.14,203.14,203.14,0.0,0.0,203.7,203.7,203.7,0.0,0.0,201.86,201.86,201.86,0.0,0.0,203.31,203.31,203.31,0.0,0.0
2019-01-13,210.19,210.19,210.19,0.0,0.0,211.24,211.24,211.24,0.0,0.0,208.1,208.1,208.1,0.0,0.0,211.13,211.13,211.13,0.0,0.0
2019-01-20,211.65,211.65,211.65,0.0,0.0,212.59,212.59,212.59,0.0,0.0,210.73,210.73,210.73,0.0,0.0,211.25,211.25,211.25,0.0,0.0
2019-01-27,215.68,215.68,215.68,0.0,0.0,216.2,216.2,216.2,0.0,0.0,213.45,213.45,213.45,0.0,0.0,214.38,214.38,214.38,0.0,0.0
2019-02-03,213.53,213.53,213.53,0.0,0.0,215.98,215.98,215.98,0.0,0.0,213.16,213.16,213.16,0.0,0.0,215.93,215.93,215.93,0.0,0.0
2019-02-10,221.83,221.83,221.83,0.0,0.0,223.89,223.89,223.89,0.0,0.0,221.72,221.72,221.72,0.0,0.0,223.89,223.89,223.89,0.0,0.0
2019-02-17,223.82,223.82,223.82,0.0,0.0,225.05,225.05,225.05,0.0,0.0,223.71,223.71,223.71,0.0,0.0,224.65,224.65,224.65,0.0,0.0
2019-02-24,227.72,227.72,227.72,0.0,0.0,230.76,230.76,230.76,0.0,0.0,227.5,227.5,227.5,0.0,0.0,230.31,230.31,230.31,0.0,0.0
2019-03-03,221.26,221.26,221.26,0.0,0.0,222.48,222.48,222.48,0.0,0.0,219.89,219.89,219.89,0.0,0.0,222.33,222.33,222.33,0.0,0.0
2019-03-10,229.24,229.24,229.24,0.0,0.0,231.47,231.47,231.47,0.0,0.0,228.96,228.96,228.96,0.0,0.0,230.65,230.65,230.65,0.0,0.0
2019-03-17,232.18,232.18,232.18,0.0,0.0,233.42,233.42,233.42,0.0,0.0,227.71,227.71,227.71,0.0,0.0,227.71,227.71,227.71,0.0,0.0
2019-03-24,230.22,230.22,230.22,0.0,0.0,231.67,231.67,231.67,0.0,0.0,228.99,228.99,228.99,0.0,0.0,231.53,231.53,231.53,0.0,0.0
2019-03-31,229.53,229.53,229.53,0.0,0.0,230.64,230.64,230.64,0.0,0.0,229.07,229.07,229.07,0.0,0.0,229.69,229.69,229.69,0.0,0.0
2019-04-07,230.21,230.21,230.21,0.0,0.0,230.55,230.55,230.55,0.0,0.0,228.31,228.31,228.31,0.0,0.0,228.58,228.58,228.58,0.0,0.0
2019-04-14,214.48,214.48,214.48,0.0,0.0,216.57,216.57,216.57,0.0,0.0,211.47,211.47,211.47,0.0,0.0,215.0,215.0,215.0,0.0,0.0
2019-04-21,222.3,222.3,222.3,0.0,0.0,223.4,223.4,223.4,0.0,0.0,220.38,220.38,220.38,0.0,0.0,223.4,223.4,223.4,0.0,0.0
2019-04-28,226.02,226.02,226.02,0.0,0.0,227.62,227.62,227.62,0.0,0.0,226.02,226.02,226.02,0.0,0.0,227.52,227.52,227.52,0.0,0.0
2019-05-05,221.61,221.61,221.61,0.0,0.0,223.1,223.1,223.1,0.0,0.0,217.23,217.23,217.23,0.0,0.0,222.67,222.67,222.67,0.0,0.0
2019-05-12,220.58,220.58,220.58,0.0,0.0,223.06,223.06,223.06,0.0,0.0,219.73,219.73,219.73,0.0,0.0,220.07,220.07,220.07,0.0,0.0
2019-05-19,222.0,222.0,222.0,0.0,0.0,224.05,224.05,224.05,0.0,0.0,222.0,222.0,222.0,0.0,0.0,223.15,223.15,223.15,0.0,0.0
2019-05-26,219.97,219.97,219.97,0.0,0.0,221.72,221.72,221.72,0.0,0.0,218.76,218.76,218.76,0.0,0.0,220.63,220.63,220.63,0.0,0.0
2019-06-02,230.53,230.53,230.53,0.0,0.0,232.84,232.84,232.84,0.0,0.0,230.53,230.53,230.53,0.0,0.0,232.3,232.3,232.3,0.0,0.0
2019-06-09,235.15,235.15,235.15,0.0,0.0,235.49,235.49,235.49,0.0,0.0,233.81,233.81,233.81,0.0,0.0,234.17,234.17,234.17,0.0,0.0
2019-06-16,241.83,241.83,241.83,0.0,0.0,242.06,242.06,242.06,0.0,0.0,239.8,239.8,239.8,0.0,0.0,241.5,241.5,241.5,0.0,0.0
2019-06-23,238.95,238.95,238.95,0.0,0.0,240.82,240.82,240.82,0.0,0.0,238.18,238.18,238.18,0.0,0.0,240.72,240.72,240.72,0.0,0.0
2019-06-30,242.83,242.83,242.83,0.0,0.0,243.69,243.69,243.69,0.0,0.0,241.42,241.42,241.42,0.0,0.0,243.34,243.34,243.34,0.0,0.0
2019-07-07,243.6,243.6,243.6,0.0,0.0,244.0,244.0,244.0,0.0,0.0,239.91,239.91,239.91,0.0,0.0,241.52,241.52,241.52,0.0,0.0
2019-07-14,246.92,246.92,246.92,0.0,0.0,247.1,247.1,247.1,0.0,0.0,244.0,244.0,244.0,0.0,0.0,244.02,244.02,244.02,0.0,0.0
2019-07-21,248.76,248.76,248.76,0.0,0.0,250.03,250.03,250.03,0.0,0.0,247.1,247.1,247.1,0.0,0.0,247.97,247.97,247.97,0.0,0.0
2019-07-28,244.83,244.83,244.83,0.0,0.0,245.05,245.05,245.05,0.0,0.0,241.86,241.86,241.86,0.0,0.0,243.8,243.8,243.8,0.0,0.0
2019-08-04,245.06,245.06,245.06,0.0,0.0,246.99,246.99,246.99,0.0,0.0,244.0,244.0,244.0,0.0,0.0,245.79,245.79,245.79,0.0,0.0
2019-08-11,243.02,243.02,243.02,0.0,0.0,244.68,244.68,244.68,0.0,0.0,242.78,242.78,242.78,0.0,0.0,244.17,244.17,244.17,0.0,0.0
2019-08-18,246.68,246.68,246.68,0.0,0.0,247.22,247.22,247.22,0.0,0.0,239.42,239.42,239.42,0.0,0.0,240.66,240.66,240.66,0.0,0.0
2019-08-25,250.34,250.34,250.34,0.0,0.0,250.57,250.57,250.57,0.0,0.0,248.0,248.0,248.0,0.0,0.0,249.26,249.26,249.26,0.0,0.0
2019-09-01,251.21,251.21,251.21,0.0,0.0,252.63,252.63,252.63,0.0,0.0,250.88,250.88,250.88,0.0,0.0,251.72,251.72,251.72,0.0,0.0
2019-09-08,250.59,250.59,250.59,0.0,0.0,250.97,250.97,250.97,0.0,0.0,248.05,248.05,248.05,0.0,0.0,248.79,248.79,248.79,0.0,0.0
2019-09-15,250.94,250.94,250.94,0.0,0.0,251.96,251.96,251.96,0.0,0.0,249.68,249.68,249.68,0.0,0.0,250.91,250.91,250.91,0.0,0.0
2019-09-22,248.04,248.04,248.04,0.0,0.0,248.04,248.04,248.04,0.0,0.0,242.89,242.89,242.89,0.0,0.0,243.95,243.95,243.95,0.0,0.0
2019-09-29,242.9,242.9,242.9,0.0,0.0,245.91,245.91,245.91,0.0,0.0,242.9,242.9,242.9,0.0,0.0,245.87,245.87,245.87,0.0,0.0
2019-10-06,241.76,241.76,241.76,0.0,0.0,244.79,244.79,244.79,0.0,0.0,241.7,241.7,241.7,0.0,0.0,241.7,241.7,241.7,0.0,0.0
