Date,ProShares Short Term USD EM BondEtf_Open_average,ProShares Short Term USD EM BondEtf_Open_max,ProShares Short Term USD EM BondEtf_Open_min,ProShares Short Term USD EM BondEtf_Open_volatility,ProShares Short Term USD EM BondEtf_Open_change,ProShares Short Term USD EM BondEtf_High_average,ProShares Short Term USD EM BondEtf_High_max,ProShares Short Term USD EM BondEtf_High_min,ProShares Short Term USD EM BondEtf_High_volatility,ProShares Short Term USD EM BondEtf_High_change,ProShares Short Term USD EM BondEtf_Low_average,ProShares Short Term USD EM BondEtf_Low_max,ProShares Short Term USD EM BondEtf_Low_min,ProShares Short Term USD EM BondEtf_Low_volatility,ProShares Short Term USD EM BondEtf_Low_change,ProShares Short Term USD EM BondEtf_Close_average,ProShares Short Term USD EM BondEtf_Close_max,ProShares Short Term USD EM BondEtf_Close_min,ProShares Short Term USD EM BondEtf_Close_volatility,ProShares Short Term USD EM BondEtf_Close_change
2018-01-14,77.08,77.08,77.08,0.0,0.0,77.08,77.08,77.08,0.0,0.0,77.08,77.08,77.08,0.0,0.0,77.08,77.08,77.08,0.0,0.0
2018-01-21,76.75,76.75,76.75,0.0,0.0,76.93,76.93,76.93,0.0,0.0,76.75,76.75,76.75,0.0,0.0,76.93,76.93,76.93,0.0,0.0
2018-01-28,76.34,76.34,76.34,0.0,0.0,76.34,76.34,76.34,0.0,0.0,76.34,76.34,76.34,0.0,0.0,76.34,76.34,76.34,0.0,0.0
2018-02-04,75.74,75.74,75.74,0.0,0.0,75.85,75.85,75.85,0.0,0.0,75.74,75.74,75.74,0.0,0.0,75.85,75.85,75.85,0.0,0.0
2018-02-11,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2018-02-18,75.94,75.94,75.94,0.0,0.0,75.94,75.94,75.94,0.0,0.0,75.94,75.94,75.94,0.0,0.0,75.94,75.94,75.94,0.0,0.0
2018-02-25,75.84,75.84,75.84,0.0,0.0,75.84,75.84,75.84,0.0,0.0,75.84,75.84,75.84,0.0,0.0,75.84,75.84,75.84,0.0,0.0
2018-03-04,75.49,75.49,75.49,0.0,0.0,75.49,75.49,75.49,0.0,0.0,75.49,75.49,75.49,0.0,0.0,75.49,75.49,75.49,0.0,0.0
2018-03-11,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-03-18,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2018-03-25,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2018-04-01,75.77,75.77,75.77,0.0,0.0,75.77,75.77,75.77,0.0,0.0,75.77,75.77,75.77,0.0,0.0,75.77,75.77,75.77,0.0,0.0
2018-04-08,76.2,76.2,76.2,0.0,0.0,76.2,76.2,76.2,0.0,0.0,76.2,76.2,76.2,0.0,0.0,76.2,76.2,76.2,0.0,0.0
2018-04-15,75.6,75.6,75.6,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.1,75.1,75.1,0.0,0.0,75.1,75.1,75.1,0.0,0.0
2018-04-22,75.08,75.08,75.08,0.0,0.0,75.3,75.3,75.3,0.0,0.0,74.89,74.89,74.89,0.0,0.0,74.9,74.9,74.9,0.0,0.0
2018-04-29,74.44,74.44,74.44,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.44,74.44,74.44,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2018-05-06,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0
