Date,Franklin FTSE Mexico_Open_average,Franklin FTSE Mexico_Open_max,Franklin FTSE Mexico_Open_min,Franklin FTSE Mexico_Open_volatility,Franklin FTSE Mexico_Open_change,Franklin FTSE Mexico_High_average,Franklin FTSE Mexico_High_max,Franklin FTSE Mexico_High_min,Franklin FTSE Mexico_High_volatility,Franklin FTSE Mexico_High_change,Franklin FTSE Mexico_Low_average,Franklin FTSE Mexico_Low_max,Franklin FTSE Mexico_Low_min,Franklin FTSE Mexico_Low_volatility,Franklin FTSE Mexico_Low_change,Franklin FTSE Mexico_Close_average,Franklin FTSE Mexico_Close_max,Franklin FTSE Mexico_Close_min,Franklin FTSE Mexico_Close_volatility,Franklin FTSE Mexico_Close_change
2018-01-14,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-01-21,27.09,27.09,27.09,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-01-28,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,25.53,25.53,25.53,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2018-02-04,25.18,25.18,25.18,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2018-02-11,26.19,26.19,26.19,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-02-18,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-02-25,24.74,24.74,24.74,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.74,24.74,24.74,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-03-04,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-03-11,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-03-18,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
