Date,First Trust Developed Markets ex-US Small Cap Alph_Open_average,First Trust Developed Markets ex-US Small Cap Alph_Open_max,First Trust Developed Markets ex-US Small Cap Alph_Open_min,First Trust Developed Markets ex-US Small Cap Alph_Open_volatility,First Trust Developed Markets ex-US Small Cap Alph_Open_change,First Trust Developed Markets ex-US Small Cap Alph_High_average,First Trust Developed Markets ex-US Small Cap Alph_High_max,First Trust Developed Markets ex-US Small Cap Alph_High_min,First Trust Developed Markets ex-US Small Cap Alph_High_volatility,First Trust Developed Markets ex-US Small Cap Alph_High_change,First Trust Developed Markets ex-US Small Cap Alph_Low_average,First Trust Developed Markets ex-US Small Cap Alph_Low_max,First Trust Developed Markets ex-US Small Cap Alph_Low_min,First Trust Developed Markets ex-US Small Cap Alph_Low_volatility,First Trust Developed Markets ex-US Small Cap Alph_Low_change,First Trust Developed Markets ex-US Small Cap Alph_Close_average,First Trust Developed Markets ex-US Small Cap Alph_Close_max,First Trust Developed Markets ex-US Small Cap Alph_Close_min,First Trust Developed Markets ex-US Small Cap Alph_Close_volatility,First Trust Developed Markets ex-US Small Cap Alph_Close_change
2018-01-14,46.63,46.63,46.63,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2018-01-21,47.64,47.64,47.64,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.64,47.64,47.64,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2018-01-28,45.58,45.58,45.58,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.47,45.47,45.47,0.0,0.0
2018-02-04,43.15,43.15,43.15,0.0,0.0,43.37,43.37,43.37,0.0,0.0,42.59,42.59,42.59,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2018-02-11,44.34,44.34,44.34,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2018-02-18,45.37,45.37,45.37,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2018-02-25,43.45,43.45,43.45,0.0,0.0,44.21,44.21,44.21,0.0,0.0,43.45,43.45,43.45,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2018-03-04,44.39,44.39,44.39,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-03-11,44.33,44.33,44.33,0.0,0.0,44.51,44.51,44.51,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-03-18,43.31,43.31,43.31,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.36,43.36,43.36,0.0,0.0
2018-03-25,43.96,43.96,43.96,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.14,43.14,43.14,0.0,0.0
2018-04-01,43.95,43.95,43.95,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.86,43.86,43.86,0.0,0.0
2018-04-08,44.4,44.4,44.4,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2018-04-15,44.82,44.82,44.82,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.28,44.28,44.28,0.0,0.0
2018-04-22,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-04-29,44.52,44.52,44.52,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.31,44.31,44.31,0.0,0.0
2018-05-06,44.8,44.8,44.8,0.0,0.0,45.17,45.17,45.17,0.0,0.0,44.8,44.8,44.8,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-05-13,44.93,44.93,44.93,0.0,0.0,45.12,45.12,45.12,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2018-05-20,44.34,44.34,44.34,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.23,44.23,44.23,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2018-05-27,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2018-06-03,44.45,44.45,44.45,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2018-06-10,43.37,43.37,43.37,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2018-06-17,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2018-06-24,41.03,41.03,41.03,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2018-07-01,41.93,41.93,41.93,0.0,0.0,42.2,42.2,42.2,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.89,41.89,41.89,0.0,0.0
2018-07-08,41.45,41.45,41.45,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2018-07-15,41.23,41.23,41.23,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.32,41.32,41.32,0.0,0.0
2018-07-22,41.75,41.75,41.75,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2018-07-29,41.4,41.4,41.4,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2018-08-05,40.76,40.76,40.76,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2018-08-12,40.08,40.08,40.08,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-08-19,41.57,41.57,41.57,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2018-08-26,41.09,41.09,41.09,0.0,0.0,41.12,41.12,41.12,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2018-09-02,40.06,40.06,40.06,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-09-09,40.19,40.19,40.19,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.19,40.19,40.19,0.0,0.0
2018-09-16,41.71,41.71,41.71,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2018-09-23,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2018-09-30,40.11,40.11,40.11,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-10-07,38.31,38.31,38.31,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2018-10-14,38.12,38.12,38.12,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-10-21,35.99,35.99,35.99,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-10-28,37.18,37.18,37.18,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2018-11-04,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-11-11,36.04,36.04,36.04,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-11-18,36.1,36.1,36.1,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.94,35.94,35.94,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-11-25,36.86,36.86,36.86,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-12-02,34.68,34.68,34.68,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0
