Date,PDS_Open_average,PDS_Open_max,PDS_Open_min,PDS_Open_volatility,PDS_Open_change,PDS_High_average,PDS_High_max,PDS_High_min,PDS_High_volatility,PDS_High_change,PDS_Low_average,PDS_Low_max,PDS_Low_min,PDS_Low_volatility,PDS_Low_change,PDS_Close_average,PDS_Close_max,PDS_Close_min,PDS_Close_volatility,PDS_Close_change,PDS_Volume_average,PDS_Volume_max,PDS_Volume_min,PDS_Volume_volatility,PDS_Volume_change
2018-01-14,3.65,3.78,3.55,0.22999999999999998,0.03999999999999959,3.752,3.88,3.65,0.22999999999999998,0.10000000000000009,3.55,3.71,3.47,0.23999999999999977,0.16999999999999993,3.654,3.79,3.54,0.25,0.25,3791931,4321266,2743845,1577421,-372912
2018-01-21,3.808,3.84,3.77,0.06999999999999984,-0.010000000000000231,3.891,3.93,3.86,0.07000000000000028,-0.03000000000000025,3.707,3.74,3.67,0.07000000000000028,-0.04499999999999993,3.78,3.82,3.74,0.07999999999999963,-0.04999999999999982,2556673,3182996,1788033,1394963,-545523
2018-01-28,3.6060000000000003,3.7,3.47,0.22999999999999998,-0.22999999999999998,3.712,3.83,3.605,0.2250000000000001,-0.10499999999999998,3.517,3.61,3.35,0.2599999999999998,-0.21499999999999986,3.59,3.7,3.44,0.26000000000000023,-0.16999999999999993,3941032,5927633,2628533,3299100,3299100
2018-02-04,3.4499999999999997,3.59,3.34,0.25,0.020000000000000018,3.5712,3.75,3.4,0.3500000000000001,-0.22600000000000042,3.294,3.4,3.1,0.2999999999999998,-0.09999999999999964,3.412,3.59,3.28,0.31000000000000005,-0.29000000000000004,5283912,7422224,3678437,3743787,-1394904
2018-02-11,3.275,3.36,3.15,0.20999999999999996,0.04999999999999982,3.4225,3.49,3.28,0.2100000000000004,0.2100000000000004,3.185,3.3,3.11,0.18999999999999995,0.16999999999999993,3.365,3.42,3.26,0.16000000000000014,0.15000000000000036,3313857,3817551,2481568,1335983,-945736
2018-02-18,3.45,3.49,3.41,0.08000000000000007,0.08000000000000007,3.515,3.55,3.5,0.04999999999999982,-0.04999999999999982,3.3689999999999998,3.38,3.35,0.029999999999999805,0.02499999999999991,3.452,3.49,3.41,0.08000000000000007,-0.010000000000000231,2372100,2733619,1979819,753800,-706720
2018-02-25,3.22,3.48,3.04,0.43999999999999995,-0.41000000000000014,3.295,3.585,3.08,0.5049999999999999,-0.33499999999999996,3.091,3.35,2.93,0.41999999999999993,-0.30000000000000027,3.184,3.37,3.08,0.29000000000000004,-0.1499999999999999,2817625,3950293,2067348,1882945,-715129
2018-03-04,3.0140000000000002,3.24,2.87,0.3700000000000001,-0.3700000000000001,3.058,3.3,2.94,0.3599999999999999,-0.3599999999999999,2.8971999999999998,3.06,2.82,0.2400000000000002,-0.2280000000000002,2.946,3.09,2.86,0.22999999999999998,-0.1499999999999999,2601649,4143673,1748755,2394918,-1149731
2018-03-11,2.878,2.95,2.8,0.15000000000000036,-0.13000000000000034,2.9050000000000002,2.985,2.83,0.1549999999999998,-0.1549999999999998,2.787,2.87,2.7,0.16999999999999993,-0.16999999999999993,2.83,2.9,2.72,0.17999999999999972,-0.17999999999999972,1982282,2356195,1441255,914940,-452439
2018-03-18,2.84,2.92,2.73,0.18999999999999995,0.16999999999999993,2.9328,3.03,2.7889999999999997,0.2410000000000001,0.11100000000000021,2.772,2.86,2.65,0.20999999999999996,0.1200000000000001,2.854,2.98,2.71,0.27,0.1299999999999999,2032398,3123837,1192585,1931252,-826340
