Date,iShares Russell 2000_Open_average,iShares Russell 2000_Open_max,iShares Russell 2000_Open_volatility,iShares Russell 2000_Open_change,iShares Russell 2000_High_average,iShares Russell 2000_High_max,iShares Russell 2000_High_volatility,iShares Russell 2000_High_change,iShares Russell 2000_Low_average,iShares Russell 2000_Low_max,iShares Russell 2000_Low_volatility,iShares Russell 2000_Low_change,iShares Russell 2000_Close_average,iShares Russell 2000_Close_max,iShares Russell 2000_Close_volatility,iShares Russell 2000_Close_change
2016-01-03,104.21,104.21,0.0,0.0,104.78,104.78,0.0,0.0,102.31,102.31,0.0,0.0,103.4,103.4,0.0,0.0
2016-01-10,99.08,99.08,0.0,0.0,100.29,100.29,0.0,0.0,97.51,97.51,0.0,0.0,100.12,100.12,0.0,0.0
2016-01-17,100.74,100.74,0.0,0.0,101.08,101.08,0.0,0.0,98.85,98.85,0.0,0.0,99.11,99.11,0.0,0.0
2016-01-24,102.14,102.14,0.0,0.0,103.09,103.09,0.0,0.0,101.25,101.25,0.0,0.0,102.49,102.49,0.0,0.0
2016-01-31,97.01,97.01,0.0,0.0,97.01,97.01,0.0,0.0,94.94,94.94,0.0,0.0,96.43,96.43,0.0,0.0
2016-02-07,95.66,95.66,0.0,0.0,96.79,96.79,0.0,0.0,95.19,95.19,0.0,0.0,96.59,96.59,0.0,0.0
2016-02-14,101.34,101.34,0.0,0.0,102.01,102.01,0.0,0.0,101.24,101.24,0.0,0.0,101.57,101.57,0.0,0.0
2016-02-21,103.13,103.13,0.0,0.0,104.03,104.03,0.0,0.0,102.72,102.72,0.0,0.0,102.73,102.73,0.0,0.0
2016-02-28,107.21,107.21,0.0,0.0,108.99,108.99,0.0,0.0,107.21,107.21,0.0,0.0,108.89,108.89,0.0,0.0
2016-03-06,107.87,107.87,0.0,0.0,108.34,108.34,0.0,0.0,107.4,107.4,0.0,0.0,107.92,107.92,0.0,0.0
2016-03-13,109.44,109.44,0.0,0.0,109.94,109.94,0.0,0.0,109.08,109.08,0.0,0.0,109.35,109.35,0.0,0.0
2016-03-20,107.43,107.43,0.0,0.0,107.78,107.78,0.0,0.0,106.55,106.55,0.0,0.0,107.33,107.33,0.0,0.0
2016-03-27,110.91,110.91,0.0,0.0,111.32,111.32,0.0,0.0,110.1,110.1,0.0,0.0,110.19,110.19,0.0,0.0
2016-04-03,109.74,109.74,0.0,0.0,110.55,110.55,0.0,0.0,108.75,108.75,0.0,0.0,108.77,108.77,0.0,0.0
2016-04-10,111.98,111.98,0.0,0.0,113.39,113.39,0.0,0.0,111.87,111.87,0.0,0.0,113.3,113.3,0.0,0.0
2016-04-17,113.8,113.8,0.0,0.0,113.91,113.91,0.0,0.0,112.81,112.81,0.0,0.0,113.3,113.3,0.0,0.0
2016-04-24,112.83,112.83,0.0,0.0,113.51,113.51,0.0,0.0,112.17,112.17,0.0,0.0,113.48,113.48,0.0,0.0
2016-05-01,110.92,110.92,0.0,0.0,111.89,111.89,0.0,0.0,110.62,110.62,0.0,0.0,111.23,111.23,0.0,0.0
2016-05-08,109.92,109.92,0.0,0.0,111.52,111.52,0.0,0.0,109.87,109.87,0.0,0.0,111.03,111.03,0.0,0.0
2016-05-15,110.77,110.77,0.0,0.0,111.39,111.39,0.0,0.0,110.5,110.5,0.0,0.0,110.66,110.66,0.0,0.0
2016-05-22,113.56,113.56,0.0,0.0,114.6,114.6,0.0,0.0,113.51,113.51,0.0,0.0,114.6,114.6,0.0,0.0
2016-05-29,116.08,116.08,0.0,0.0,117.58,117.58,0.0,0.0,116.01,116.01,0.0,0.0,117.22,117.22,0.0,0.0
2016-06-05,115.65,115.65,0.0,0.0,116.18,116.18,0.0,0.0,114.59,114.59,0.0,0.0,114.81,114.81,0.0,0.0
2016-06-12,115.8,115.8,0.0,0.0,116.45,116.45,0.0,0.0,115.3,115.3,0.0,0.0,115.3,115.3,0.0,0.0
2016-06-19,111.07,111.07,0.0,0.0,111.07,111.07,0.0,0.0,108.19,108.19,0.0,0.0,108.69,108.69,0.0,0.0
2016-06-26,115.05,115.05,0.0,0.0,115.95,115.95,0.0,0.0,114.8,114.8,0.0,0.0,115.39,115.39,0.0,0.0
2016-07-03,117.56,117.56,0.0,0.0,118.43,118.43,0.0,0.0,117.47,117.47,0.0,0.0,118.14,118.14,0.0,0.0
2016-07-10,119.53,119.53,0.0,0.0,120.35,120.35,0.0,0.0,119.33,119.33,0.0,0.0,119.9,119.9,0.0,0.0
2016-07-17,120.15,120.15,0.0,0.0,120.46,120.46,0.0,0.0,119.76,119.76,0.0,0.0,120.22,120.22,0.0,0.0
2016-07-24,121.2,121.2,0.0,0.0,121.7,121.7,0.0,0.0,120.44,120.44,0.0,0.0,121.17,121.17,0.0,0.0
2016-07-31,122.35,122.35,0.0,0.0,122.85,122.85,0.0,0.0,122.03,122.03,0.0,0.0,122.24,122.24,0.0,0.0
2016-08-07,122.46,122.46,0.0,0.0,123.69,123.69,0.0,0.0,122.43,122.43,0.0,0.0,123.4,123.4,0.0,0.0
2016-08-14,122.68,122.68,0.0,0.0,123.34,123.34,0.0,0.0,122.33,122.33,0.0,0.0,123.22,123.22,0.0,0.0
2016-08-21,123.27,123.27,0.0,0.0,124.17,124.17,0.0,0.0,123.24,123.24,0.0,0.0,123.7,123.7,0.0,0.0
2016-08-28,124.01,124.01,0.0,0.0,124.53,124.53,0.0,0.0,123.63,123.63,0.0,0.0,124.51,124.51,0.0,0.0
2016-09-04,120.69,120.69,0.0,0.0,122.97,122.97,0.0,0.0,120.58,120.58,0.0,0.0,122.94,122.94,0.0,0.0
2016-09-11,122.32,122.32,0.0,0.0,123.55,123.55,0.0,0.0,121.99,121.99,0.0,0.0,122.67,122.67,0.0,0.0
