Date,PowerShares DWA Industrials Momentum PortfolioEtf_Open_average,PowerShares DWA Industrials Momentum PortfolioEtf_Open_max,PowerShares DWA Industrials Momentum PortfolioEtf_Open_min,PowerShares DWA Industrials Momentum PortfolioEtf_Open_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_Open_change,PowerShares DWA Industrials Momentum PortfolioEtf_High_average,PowerShares DWA Industrials Momentum PortfolioEtf_High_max,PowerShares DWA Industrials Momentum PortfolioEtf_High_min,PowerShares DWA Industrials Momentum PortfolioEtf_High_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_High_change,PowerShares DWA Industrials Momentum PortfolioEtf_Low_average,PowerShares DWA Industrials Momentum PortfolioEtf_Low_max,PowerShares DWA Industrials Momentum PortfolioEtf_Low_min,PowerShares DWA Industrials Momentum PortfolioEtf_Low_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_Low_change,PowerShares DWA Industrials Momentum PortfolioEtf_Close_average,PowerShares DWA Industrials Momentum PortfolioEtf_Close_max,PowerShares DWA Industrials Momentum PortfolioEtf_Close_min,PowerShares DWA Industrials Momentum PortfolioEtf_Close_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_Close_change
2018-01-14,64.49,64.49,64.49,0.0,0.0,64.59,64.59,64.59,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.59,64.59,64.59,0.0,0.0
2018-01-21,64.21,64.21,64.21,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.21,64.21,64.21,0.0,0.0,64.8,64.8,64.8,0.0,0.0
2018-01-28,63.35,63.35,63.35,0.0,0.0,63.35,63.35,63.35,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.61,62.61,62.61,0.0,0.0
2018-02-04,59.0,59.0,59.0,0.0,0.0,59.58,59.58,59.58,0.0,0.0,57.47,57.47,57.47,0.0,0.0,59.46,59.46,59.46,0.0,0.0
2018-02-11,62.03,62.03,62.03,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.03,62.03,62.03,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2018-02-18,62.0,62.0,62.0,0.0,0.0,62.06,62.06,62.06,0.0,0.0,61.7,61.7,61.7,0.0,0.0,62.06,62.06,62.06,0.0,0.0
2018-02-25,59.5,59.5,59.5,0.0,0.0,60.4,60.4,60.4,0.0,0.0,59.5,59.5,59.5,0.0,0.0,60.3,60.3,60.3,0.0,0.0
2018-03-04,62.05,62.05,62.05,0.0,0.0,62.96,62.96,62.96,0.0,0.0,62.03,62.03,62.03,0.0,0.0,62.96,62.96,62.96,0.0,0.0
2018-03-11,61.79,61.79,61.79,0.0,0.0,62.31,62.31,62.31,0.0,0.0,61.73,61.73,61.73,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-03-18,60.72,60.72,60.72,0.0,0.0,60.73,60.73,60.73,0.0,0.0,60.07,60.07,60.07,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-03-25,59.6,59.6,59.6,0.0,0.0,60.44,60.44,60.44,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-04-01,59.99,59.99,59.99,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2018-04-08,60.46,60.46,60.46,0.0,0.0,60.46,60.46,60.46,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.11,60.11,60.11,0.0,0.0
2018-04-15,60.8,60.8,60.8,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.9,60.9,60.9,0.0,0.0
2018-04-22,58.69,58.69,58.69,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.3,58.3,58.3,0.0,0.0
2018-04-29,57.13,57.13,57.13,0.0,0.0,57.93,57.93,57.93,0.0,0.0,56.84,56.84,56.84,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2018-05-06,60.52,60.52,60.52,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.17,60.17,60.17,0.0,0.0,60.36,60.36,60.36,0.0,0.0
2018-05-13,60.77,60.77,60.77,0.0,0.0,60.98,60.98,60.98,0.0,0.0,60.77,60.77,60.77,0.0,0.0,60.95,60.95,60.95,0.0,0.0
2018-05-20,60.84,60.84,60.84,0.0,0.0,60.99,60.99,60.99,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.99,60.99,60.99,0.0,0.0
2018-05-27,61.24,61.24,61.24,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.09,61.09,61.09,0.0,0.0,61.09,61.09,61.09,0.0,0.0
2018-06-03,62.2,62.2,62.2,0.0,0.0,62.48,62.48,62.48,0.0,0.0,62.13,62.13,62.13,0.0,0.0,62.48,62.48,62.48,0.0,0.0
2018-06-10,62.01,62.01,62.01,0.0,0.0,62.33,62.33,62.33,0.0,0.0,61.96,61.96,61.96,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2018-06-17,61.45,61.45,61.45,0.0,0.0,61.45,61.45,61.45,0.0,0.0,60.94,60.94,60.94,0.0,0.0,60.94,60.94,60.94,0.0,0.0
2018-06-24,59.75,59.75,59.75,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.75,59.75,59.75,0.0,0.0,60.11,60.11,60.11,0.0,0.0
2018-07-01,60.04,60.04,60.04,0.0,0.0,60.35,60.35,60.35,0.0,0.0,59.91,59.91,59.91,0.0,0.0,60.12,60.12,60.12,0.0,0.0
2018-07-08,61.43,61.43,61.43,0.0,0.0,61.43,61.43,61.43,0.0,0.0,61.29,61.29,61.29,0.0,0.0,61.37,61.37,61.37,0.0,0.0
2018-07-15,62.18,62.18,62.18,0.0,0.0,62.48,62.48,62.48,0.0,0.0,62.18,62.18,62.18,0.0,0.0,62.27,62.27,62.27,0.0,0.0
2018-07-22,62.54,62.54,62.54,0.0,0.0,62.54,62.54,62.54,0.0,0.0,61.7,61.7,61.7,0.0,0.0,61.7,61.7,61.7,0.0,0.0
2018-07-29,62.63,62.63,62.63,0.0,0.0,62.63,62.63,62.63,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2018-08-05,62.65,62.65,62.65,0.0,0.0,62.65,62.65,62.65,0.0,0.0,62.65,62.65,62.65,0.0,0.0,62.65,62.65,62.65,0.0,0.0
2018-08-12,63.43,63.43,63.43,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.43,63.43,63.43,0.0,0.0,63.45,63.45,63.45,0.0,0.0
2018-08-19,64.03,64.03,64.03,0.0,0.0,64.36,64.36,64.36,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.36,64.36,64.36,0.0,0.0
2018-08-26,64.37,64.37,64.37,0.0,0.0,65.03,65.03,65.03,0.0,0.0,64.37,64.37,64.37,0.0,0.0,64.88,64.88,64.88,0.0,0.0
2018-09-02,65.06,65.06,65.06,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.06,65.06,65.06,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2018-09-09,66.24,66.24,66.24,0.0,0.0,66.35,66.35,66.35,0.0,0.0,66.07,66.07,66.07,0.0,0.0,66.35,66.35,66.35,0.0,0.0
2018-09-16,65.57,65.57,65.57,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.0,65.0,65.0,0.0,0.0,65.03,65.03,65.03,0.0,0.0
2018-09-23,64.26,64.26,64.26,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.08,64.08,64.08,0.0,0.0,64.32,64.32,64.32,0.0,0.0
2018-09-30,63.09,63.09,63.09,0.0,0.0,63.09,63.09,63.09,0.0,0.0,62.01,62.01,62.01,0.0,0.0,62.01,62.01,62.01,0.0,0.0
2018-10-07,58.06,58.06,58.06,0.0,0.0,58.06,58.06,58.06,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-10-14,57.49,57.49,57.49,0.0,0.0,57.49,57.49,57.49,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.81,56.81,56.81,0.0,0.0
2018-10-21,54.27,54.27,54.27,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-10-28,57.11,57.11,57.11,0.0,0.0,57.13,57.13,57.13,0.0,0.0,56.59,56.59,56.59,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2018-11-04,57.73,57.73,57.73,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2018-11-11,56.14,56.14,56.14,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.14,56.14,56.14,0.0,0.0,56.74,56.74,56.74,0.0,0.0
2018-11-18,54.85,54.85,54.85,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-11-25,56.6,56.6,56.6,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2018-12-02,54.03,54.03,54.03,0.0,0.0,54.03,54.03,54.03,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0
