Date,Cambria Emerging Shareholder Yield_Open_average,Cambria Emerging Shareholder Yield_Open_max,Cambria Emerging Shareholder Yield_Open_min,Cambria Emerging Shareholder Yield_Open_volatility,Cambria Emerging Shareholder Yield_Open_change,Cambria Emerging Shareholder Yield_High_average,Cambria Emerging Shareholder Yield_High_max,Cambria Emerging Shareholder Yield_High_min,Cambria Emerging Shareholder Yield_High_volatility,Cambria Emerging Shareholder Yield_High_change,Cambria Emerging Shareholder Yield_Low_average,Cambria Emerging Shareholder Yield_Low_max,Cambria Emerging Shareholder Yield_Low_min,Cambria Emerging Shareholder Yield_Low_volatility,Cambria Emerging Shareholder Yield_Low_change,Cambria Emerging Shareholder Yield_Close_average,Cambria Emerging Shareholder Yield_Close_max,Cambria Emerging Shareholder Yield_Close_min,Cambria Emerging Shareholder Yield_Close_volatility,Cambria Emerging Shareholder Yield_Close_change
2018-01-14,36.72,36.72,36.72,0.0,0.0,37.36,37.36,37.36,0.0,0.0,36.72,36.72,36.72,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2018-01-21,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0
2018-01-28,36.9,36.9,36.9,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-02-04,34.15,34.15,34.15,0.0,0.0,35.73,35.73,35.73,0.0,0.0,34.1,34.1,34.1,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-02-11,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-02-18,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-02-25,36.0,36.0,36.0,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-03-04,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-03-11,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-03-18,37.02,37.02,37.02,0.0,0.0,37.58,37.58,37.58,0.0,0.0,36.43,36.43,36.43,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2018-03-25,37.24,37.24,37.24,0.0,0.0,37.24,37.24,37.24,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-04-01,36.3,36.3,36.3,0.0,0.0,36.71,36.71,36.71,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-04-08,35.88,35.88,35.88,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.88,35.88,35.88,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-04-15,36.13,36.13,36.13,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-04-22,36.67,36.67,36.67,0.0,0.0,36.67,36.67,36.67,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-04-29,34.99,34.99,34.99,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2018-05-06,35.76,35.76,35.76,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-05-13,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-05-20,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-05-27,36.03,36.03,36.03,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-06-03,34.99,34.99,34.99,0.0,0.0,34.99,34.99,34.99,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-06-10,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-06-17,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-06-24,32.66,32.66,32.66,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-07-01,33.3,33.3,33.3,0.0,0.0,33.34,33.34,33.34,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-07-08,32.8,32.8,32.8,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-07-15,32.58,32.58,32.58,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-07-22,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-07-29,32.5,32.5,32.5,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2018-08-05,31.74,31.74,31.74,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.67,31.67,31.67,0.0,0.0
2018-08-12,31.96,31.96,31.96,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-08-19,31.61,31.61,31.61,0.0,0.0,32.47,32.47,32.47,0.0,0.0,31.61,31.61,31.61,0.0,0.0,32.39,32.39,32.39,0.0,0.0
2018-08-26,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-09-02,30.94,30.94,30.94,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-09-09,31.1,31.1,31.1,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-09-16,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-09-23,32.17,32.17,32.17,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2018-09-30,30.57,30.57,30.57,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2018-10-07,30.0,30.0,30.0,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-10-14,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-10-21,28.81,28.81,28.81,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-10-28,29.83,29.83,29.83,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2018-11-04,29.32,29.32,29.32,0.0,0.0,29.33,29.33,29.33,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.29,29.29,29.29,0.0,0.0
