Date,NWPX_Open_average,NWPX_Open_max,NWPX_Open_min,NWPX_Open_volatility,NWPX_Open_change,NWPX_High_average,NWPX_High_max,NWPX_High_min,NWPX_High_volatility,NWPX_High_change,NWPX_Low_average,NWPX_Low_max,NWPX_Low_min,NWPX_Low_volatility,NWPX_Low_change,NWPX_Close_average,NWPX_Close_max,NWPX_Close_min,NWPX_Close_volatility,NWPX_Close_change,NWPX_Volume_average,NWPX_Volume_max,NWPX_Volume_min,NWPX_Volume_volatility,NWPX_Volume_change
2018-01-14,20.067999999999998,20.56,19.65,0.9100000000000001,0.20000000000000284,20.454,20.65,20.25,0.3999999999999986,0.14000000000000057,19.592,19.75,19.25,0.5,0.030000000000001137,20.154,20.49,19.84,0.6499999999999986,0.5199999999999996,36032,55097,22045,33052,-18526
2018-01-21,20.178,20.51,19.95,0.5600000000000023,-0.26000000000000156,20.492,20.89,20.21,0.6799999999999997,0.41999999999999815,19.8,19.97,19.44,0.5299999999999976,0.3099999999999987,20.044,20.23,19.85,0.379999999999999,-0.16000000000000014,27834,54378,13295,41083,-10056
2018-01-28,19.272,19.78,18.81,0.9700000000000024,-0.620000000000001,19.936,20.4,19.35,1.0499999999999972,-1.0499999999999972,18.88,19.51,18.2,1.3100000000000023,-1.3100000000000023,19.124,19.69,18.36,1.3300000000000018,-1.3300000000000018,48505,73791,20485,53306,41437
2018-02-04,17.954,18.18,17.62,0.5599999999999987,0.010000000000001563,18.532,18.96,18.24,0.7200000000000024,-0.25,17.508,17.98,17.11,0.870000000000001,-0.46000000000000085,17.92,18.19,17.38,0.8100000000000023,-0.19000000000000128,37259,51591,19819,31772,-17223
2018-02-11,18.125,18.76,17.75,1.0100000000000016,0.9100000000000001,19.0775,19.69,18.7,0.990000000000002,0.6700000000000017,17.92,18.51,17.55,0.9600000000000009,0.9600000000000009,18.465,19.0,17.97,1.0300000000000011,1.0300000000000011,36453,62632,16987,45645,24410
2018-02-18,18.974,19.25,18.63,0.620000000000001,0.38000000000000256,19.404,19.78,19.11,0.6700000000000017,0.6700000000000017,18.779999999999998,18.99,18.56,0.4299999999999997,0.4299999999999997,19.002,19.21,18.65,0.5600000000000023,0.5600000000000023,12903,24000,5444,18556,-8796
2018-02-25,18.214000000000002,19.21,16.6,2.6099999999999994,-0.25,19.054,19.24,18.55,0.6899999999999977,0.019999999999999574,17.638,18.35,16.6,1.75,0.25,18.452,19.15,17.53,1.6199999999999974,1.0499999999999972,38754,60880,14702,46178,31502
2018-03-04,19.622,20.73,18.78,1.9499999999999993,1.5899999999999999,20.233999999999998,21.33,19.14,2.1899999999999977,2.1899999999999977,19.226,20.28,18.51,1.7699999999999996,1.5600000000000023,20.066,21.2,19.01,2.1899999999999977,2.1899999999999977,31322,42002,24666,17336,-17336
2018-03-11,20.234,21.36,19.76,1.5999999999999979,-1.4800000000000004,20.614,21.36,20.27,1.0899999999999999,-0.629999999999999,19.471999999999998,19.66,19.36,0.3000000000000007,0.019999999999999574,20.002000000000002,20.6,19.76,0.8399999999999999,0.5500000000000007,46152,101466,25557,75909,-7985
2018-03-18,20.098,20.62,19.24,1.3800000000000026,-1.3500000000000014,20.456,20.85,19.73,1.120000000000001,-0.46999999999999886,19.61,20.5,18.91,1.5899999999999999,-1.4199999999999982,19.82,20.62,19.06,1.5600000000000023,-1.3000000000000007,30786,44935,18256,26679,8460
