Date,The Hartford Midcap Fund Class C_Open_average,The Hartford Midcap Fund Class C_Open_max,The Hartford Midcap Fund Class C_Open_volatility,The Hartford Midcap Fund Class C_Open_change,The Hartford Midcap Fund Class C_High_average,The Hartford Midcap Fund Class C_High_max,The Hartford Midcap Fund Class C_High_volatility,The Hartford Midcap Fund Class C_High_change,The Hartford Midcap Fund Class C_Low_average,The Hartford Midcap Fund Class C_Low_max,The Hartford Midcap Fund Class C_Low_volatility,The Hartford Midcap Fund Class C_Low_change,The Hartford Midcap Fund Class C_Close_average,The Hartford Midcap Fund Class C_Close_max,The Hartford Midcap Fund Class C_Close_volatility,The Hartford Midcap Fund Class C_Close_change
2016-01-03,16.57,16.57,0.0,0.0,16.57,16.57,0.0,0.0,16.57,16.57,0.0,0.0,16.57,16.57,0.0,0.0
2016-01-10,16.13,16.13,0.0,0.0,16.13,16.13,0.0,0.0,16.13,16.13,0.0,0.0,16.13,16.13,0.0,0.0
2016-01-17,15.96,15.96,0.0,0.0,15.96,15.96,0.0,0.0,15.96,15.96,0.0,0.0,15.96,15.96,0.0,0.0
2016-01-24,16.44,16.44,0.0,0.0,16.44,16.44,0.0,0.0,16.44,16.44,0.0,0.0,16.44,16.44,0.0,0.0
2016-01-31,15.57,15.57,0.0,0.0,15.57,15.57,0.0,0.0,15.57,15.57,0.0,0.0,15.57,15.57,0.0,0.0
2016-02-07,15.78,15.78,0.0,0.0,15.78,15.78,0.0,0.0,15.78,15.78,0.0,0.0,15.78,15.78,0.0,0.0
2016-02-14,16.68,16.68,0.0,0.0,16.68,16.68,0.0,0.0,16.68,16.68,0.0,0.0,16.68,16.68,0.0,0.0
2016-02-21,16.71,16.71,0.0,0.0,16.71,16.71,0.0,0.0,16.71,16.71,0.0,0.0,16.71,16.71,0.0,0.0
2016-02-28,17.44,17.44,0.0,0.0,17.44,17.44,0.0,0.0,17.44,17.44,0.0,0.0,17.44,17.44,0.0,0.0
2016-03-06,17.47,17.47,0.0,0.0,17.47,17.47,0.0,0.0,17.47,17.47,0.0,0.0,17.47,17.47,0.0,0.0
2016-03-13,17.7,17.7,0.0,0.0,17.7,17.7,0.0,0.0,17.7,17.7,0.0,0.0,17.7,17.7,0.0,0.0
2016-03-20,17.57,17.57,0.0,0.0,17.57,17.57,0.0,0.0,17.57,17.57,0.0,0.0,17.57,17.57,0.0,0.0
2016-03-27,17.91,17.91,0.0,0.0,17.91,17.91,0.0,0.0,17.91,17.91,0.0,0.0,17.91,17.91,0.0,0.0
2016-04-03,17.7,17.7,0.0,0.0,17.7,17.7,0.0,0.0,17.7,17.7,0.0,0.0,17.7,17.7,0.0,0.0
