Date,Global X China Materials_Open_average,Global X China Materials_Open_max,Global X China Materials_Open_min,Global X China Materials_Open_volatility,Global X China Materials_Open_change,Global X China Materials_High_average,Global X China Materials_High_max,Global X China Materials_High_min,Global X China Materials_High_volatility,Global X China Materials_High_change,Global X China Materials_Low_average,Global X China Materials_Low_max,Global X China Materials_Low_min,Global X China Materials_Low_volatility,Global X China Materials_Low_change,Global X China Materials_Close_average,Global X China Materials_Close_max,Global X China Materials_Close_min,Global X China Materials_Close_volatility,Global X China Materials_Close_change
2018-01-14,23.25,23.25,23.25,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.59,23.59,23.59,0.0,0.0
2018-01-21,23.82,23.82,23.82,0.0,0.0,24.01,24.01,24.01,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2018-01-28,24.12,24.12,24.12,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2018-02-04,20.78,20.78,20.78,0.0,0.0,21.4,21.4,21.4,0.0,0.0,20.69,20.69,20.69,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2018-02-11,22.84,22.84,22.84,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2018-02-18,23.17,23.17,23.17,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2018-02-25,21.91,21.91,21.91,0.0,0.0,22.31,22.31,22.31,0.0,0.0,21.91,21.91,21.91,0.0,0.0,22.31,22.31,22.31,0.0,0.0
2018-03-04,22.6,22.6,22.6,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.47,22.47,22.47,0.0,0.0
2018-03-11,22.15,22.15,22.15,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.45,22.45,22.45,0.0,0.0
2018-03-18,20.85,20.85,20.85,0.0,0.0,21.32,21.32,21.32,0.0,0.0,20.7,20.7,20.7,0.0,0.0,21.02,21.02,21.02,0.0,0.0
2018-03-25,20.7,20.7,20.7,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.43,20.43,20.43,0.0,0.0
