Date,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Open_average,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Open_max,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Open_min,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Open_volatility,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Open_change,Direxion Daily 7-10 Year Treasury Bull 3X Shares_High_average,Direxion Daily 7-10 Year Treasury Bull 3X Shares_High_max,Direxion Daily 7-10 Year Treasury Bull 3X Shares_High_min,Direxion Daily 7-10 Year Treasury Bull 3X Shares_High_volatility,Direxion Daily 7-10 Year Treasury Bull 3X Shares_High_change,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Low_average,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Low_max,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Low_min,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Low_volatility,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Low_change,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Close_average,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Close_max,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Close_min,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Close_volatility,Direxion Daily 7-10 Year Treasury Bull 3X Shares_Close_change
2018-01-14,41.99,41.99,41.99,0.0,0.0,42.03,42.03,42.03,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.03,42.03,42.03,0.0,0.0
2018-01-21,41.41,41.41,41.41,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.21,41.21,41.21,0.0,0.0
2018-01-28,41.09,41.09,41.09,0.0,0.0,41.16,41.16,41.16,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2018-02-04,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2018-02-11,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-02-18,40.33,40.33,40.33,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.11,40.11,40.11,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-02-25,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-03-04,39.85,39.85,39.85,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-03-11,39.96,39.96,39.96,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-03-18,40.53,40.53,40.53,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.29,40.29,40.29,0.0,0.0
2018-03-25,41.04,41.04,41.04,0.0,0.0,42.36,42.36,42.36,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2018-04-01,40.74,40.74,40.74,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2018-04-08,40.53,40.53,40.53,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2018-04-15,39.76,39.76,39.76,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.76,39.76,39.76,0.0,0.0
