Date,United States Natural Gas_Open_average,United States Natural Gas_Open_max,United States Natural Gas_Open_min,United States Natural Gas_Open_volatility,United States Natural Gas_Open_change,United States Natural Gas_High_average,United States Natural Gas_High_max,United States Natural Gas_High_min,United States Natural Gas_High_volatility,United States Natural Gas_High_change,United States Natural Gas_Low_average,United States Natural Gas_Low_max,United States Natural Gas_Low_min,United States Natural Gas_Low_volatility,United States Natural Gas_Low_change,United States Natural Gas_Close_average,United States Natural Gas_Close_max,United States Natural Gas_Close_min,United States Natural Gas_Close_volatility,United States Natural Gas_Close_change
2018-01-14,24.65,24.65,24.65,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2018-01-21,26.07,26.07,26.07,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-01-28,23.64,23.64,23.64,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-02-04,21.66,21.66,21.66,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-02-11,21.65,21.65,21.65,0.0,0.0,21.79,21.79,21.79,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.69,21.69,21.69,0.0,0.0
2018-02-18,22.46,22.46,22.46,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.39,22.39,22.39,0.0,0.0
2018-02-25,22.54,22.54,22.54,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.53,22.53,22.53,0.0,0.0
2018-03-04,23.16,23.16,23.16,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.21,23.21,23.21,0.0,0.0
2018-03-11,22.1,22.1,22.1,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.03,22.03,22.03,0.0,0.0,22.13,22.13,22.13,0.0,0.0
2018-03-18,21.86,21.86,21.86,0.0,0.0,22.08,22.08,22.08,0.0,0.0,21.83,21.83,21.83,0.0,0.0,22.03,22.03,22.03,0.0,0.0
2018-03-25,22.08,22.08,22.08,0.0,0.0,22.15,22.15,22.15,0.0,0.0,21.86,21.86,21.86,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2018-04-01,22.17,22.17,22.17,0.0,0.0,22.3,22.3,22.3,0.0,0.0,21.78,21.78,21.78,0.0,0.0,22.25,22.25,22.25,0.0,0.0
2018-04-08,22.76,22.76,22.76,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.69,22.69,22.69,0.0,0.0
2018-04-15,22.47,22.47,22.47,0.0,0.0,22.69,22.69,22.69,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2018-04-22,22.36,22.36,22.36,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.56,22.56,22.56,0.0,0.0
2018-04-29,22.45,22.45,22.45,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2018-05-06,22.87,22.87,22.87,0.0,0.0,23.22,23.22,23.22,0.0,0.0,22.86,22.86,22.86,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2018-05-13,23.22,23.22,23.22,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2018-05-20,24.15,24.15,24.15,0.0,0.0,24.2,24.2,24.2,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2018-05-27,23.82,23.82,23.82,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2018-06-03,23.88,23.88,23.88,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2018-06-10,24.22,24.22,24.22,0.0,0.0,24.33,24.33,24.33,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2018-06-17,23.59,23.59,23.59,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-06-24,23.27,23.27,23.27,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2018-07-01,23.04,23.04,23.04,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2018-07-08,22.37,22.37,22.37,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2018-07-15,22.14,22.14,22.14,0.0,0.0,22.16,22.16,22.16,0.0,0.0,22.05,22.05,22.05,0.0,0.0,22.09,22.09,22.09,0.0,0.0
2018-07-22,22.78,22.78,22.78,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2018-07-29,23.33,23.33,23.33,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.43,23.43,23.43,0.0,0.0
2018-08-05,23.99,23.99,23.99,0.0,0.0,24.18,24.18,24.18,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2018-08-12,24.11,24.11,24.11,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-08-19,23.65,23.65,23.65,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.52,23.52,23.52,0.0,0.0
2018-08-26,23.96,23.96,23.96,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2018-09-02,22.61,22.61,22.61,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.6,22.6,22.6,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-09-09,22.86,22.86,22.86,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2018-09-16,24.72,24.72,24.72,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.71,24.71,24.71,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2018-09-23,25.32,25.32,25.32,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2018-09-30,26.82,26.82,26.82,0.0,0.0,27.23,27.23,27.23,0.0,0.0,26.8,26.8,26.8,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-10-07,26.74,26.74,26.74,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-10-14,26.2,26.2,26.2,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2018-10-21,25.55,25.55,25.55,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-10-28,28.74,28.74,28.74,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-11-04,30.78,30.78,30.78,0.0,0.0,31.56,31.56,31.56,0.0,0.0,30.38,30.38,30.38,0.0,0.0,31.56,31.56,31.56,0.0,0.0
