Date,Principal EDGE Active Income_Open_average,Principal EDGE Active Income_Open_max,Principal EDGE Active Income_Open_min,Principal EDGE Active Income_Open_volatility,Principal EDGE Active Income_Open_change,Principal EDGE Active Income_High_average,Principal EDGE Active Income_High_max,Principal EDGE Active Income_High_min,Principal EDGE Active Income_High_volatility,Principal EDGE Active Income_High_change,Principal EDGE Active Income_Low_average,Principal EDGE Active Income_Low_max,Principal EDGE Active Income_Low_min,Principal EDGE Active Income_Low_volatility,Principal EDGE Active Income_Low_change,Principal EDGE Active Income_Close_average,Principal EDGE Active Income_Close_max,Principal EDGE Active Income_Close_min,Principal EDGE Active Income_Close_volatility,Principal EDGE Active Income_Close_change
2018-01-14,41.57,41.57,41.57,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-01-21,41.22,41.22,41.22,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-01-28,40.49,40.49,40.49,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.87,40.87,40.87,0.0,0.0
2018-02-04,40.23,40.23,40.23,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2018-02-11,40.51,40.51,40.51,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2018-02-18,40.31,40.31,40.31,0.0,0.0,40.57,40.57,40.57,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.57,40.57,40.57,0.0,0.0
2018-02-25,40.13,40.13,40.13,0.0,0.0,40.14,40.14,40.14,0.0,0.0,40.13,40.13,40.13,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2018-03-04,40.43,40.43,40.43,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2018-03-11,40.32,40.32,40.32,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2018-03-18,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0
