Date,ProShares Ultra Gold_Open_average,ProShares Ultra Gold_Open_max,ProShares Ultra Gold_Open_min,ProShares Ultra Gold_Open_volatility,ProShares Ultra Gold_Open_change,ProShares Ultra Gold_High_average,ProShares Ultra Gold_High_max,ProShares Ultra Gold_High_min,ProShares Ultra Gold_High_volatility,ProShares Ultra Gold_High_change,ProShares Ultra Gold_Low_average,ProShares Ultra Gold_Low_max,ProShares Ultra Gold_Low_min,ProShares Ultra Gold_Low_volatility,ProShares Ultra Gold_Low_change,ProShares Ultra Gold_Close_average,ProShares Ultra Gold_Close_max,ProShares Ultra Gold_Close_min,ProShares Ultra Gold_Close_volatility,ProShares Ultra Gold_Close_change
2018-01-14,42.45,42.45,42.45,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.47,42.47,42.47,0.0,0.0
2018-01-21,43.07,43.07,43.07,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2018-01-28,42.58,42.58,42.58,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-02-04,41.44,41.44,41.44,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2018-02-11,43.43,43.43,43.43,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-02-18,42.19,42.19,42.19,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.06,42.06,42.06,0.0,0.0,42.17,42.17,42.17,0.0,0.0
2018-02-25,41.46,41.46,41.46,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2018-03-04,41.3,41.3,41.3,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2018-03-11,40.92,40.92,40.92,0.0,0.0,41.31,41.31,41.31,0.0,0.0,40.7,40.7,40.7,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-03-18,43.12,43.12,43.12,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2018-03-25,42.21,42.21,42.21,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-04-01,42.04,42.04,42.04,0.0,0.0,42.29,42.29,42.29,0.0,0.0,41.66,41.66,41.66,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2018-04-08,42.77,42.77,42.77,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2018-04-15,41.41,41.41,41.41,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2018-04-22,40.62,40.62,40.62,0.0,0.0,41.05,41.05,41.05,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-04-29,40.5,40.5,40.5,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2018-05-06,40.92,40.92,40.92,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2018-05-13,38.99,38.99,38.99,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.81,38.81,38.81,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-05-20,39.85,39.85,39.85,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-05-27,39.23,39.23,39.23,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.01,39.01,39.01,0.0,0.0,39.01,39.01,39.01,0.0,0.0
2018-06-03,39.6,39.6,39.6,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-06-10,38.34,38.34,38.34,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-06-17,37.48,37.48,37.48,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.39,37.39,37.39,0.0,0.0
