Date,iShares Edge MSCI USA Quality Factor_etf_Open_average,iShares Edge MSCI USA Quality Factor_etf_Open_max,iShares Edge MSCI USA Quality Factor_etf_Open_min,iShares Edge MSCI USA Quality Factor_etf_Open_volatility,iShares Edge MSCI USA Quality Factor_etf_Open_change,iShares Edge MSCI USA Quality Factor_etf_High_average,iShares Edge MSCI USA Quality Factor_etf_High_max,iShares Edge MSCI USA Quality Factor_etf_High_min,iShares Edge MSCI USA Quality Factor_etf_High_volatility,iShares Edge MSCI USA Quality Factor_etf_High_change,iShares Edge MSCI USA Quality Factor_etf_Low_average,iShares Edge MSCI USA Quality Factor_etf_Low_max,iShares Edge MSCI USA Quality Factor_etf_Low_min,iShares Edge MSCI USA Quality Factor_etf_Low_volatility,iShares Edge MSCI USA Quality Factor_etf_Low_change,iShares Edge MSCI USA Quality Factor_etf_Close_average,iShares Edge MSCI USA Quality Factor_etf_Close_max,iShares Edge MSCI USA Quality Factor_etf_Close_min,iShares Edge MSCI USA Quality Factor_etf_Close_volatility,iShares Edge MSCI USA Quality Factor_etf_Close_change
2018-01-14,87.05,87.05,87.05,0.0,0.0,87.45,87.45,87.45,0.0,0.0,86.8,86.8,86.8,0.0,0.0,87.43,87.43,87.43,0.0,0.0
2018-01-21,87.77,87.77,87.77,0.0,0.0,88.63,88.63,88.63,0.0,0.0,87.77,87.77,87.77,0.0,0.0,88.61,88.61,88.61,0.0,0.0
2018-01-28,86.44,86.44,86.44,0.0,0.0,86.45,86.45,86.45,0.0,0.0,84.92,84.92,84.92,0.0,0.0,84.97,84.97,84.97,0.0,0.0
2018-02-04,80.6,80.6,80.6,0.0,0.0,81.73,81.73,81.73,0.0,0.0,78.63,78.63,78.63,0.0,0.0,81.13,81.13,81.13,0.0,0.0
2018-02-11,84.5,84.5,84.5,0.0,0.0,85.25,85.25,85.25,0.0,0.0,84.38,84.38,84.38,0.0,0.0,84.56,84.56,84.56,0.0,0.0
2018-02-18,83.9,83.9,83.9,0.0,0.0,84.93,84.93,84.93,0.0,0.0,83.87,83.87,83.87,0.0,0.0,84.93,84.93,84.93,0.0,0.0
2018-02-25,82.5,82.5,82.5,0.0,0.0,83.75,83.75,83.75,0.0,0.0,82.23,82.23,82.23,0.0,0.0,83.61,83.61,83.61,0.0,0.0
2018-03-04,85.72,85.72,85.72,0.0,0.0,86.68,86.68,86.68,0.0,0.0,85.62,85.62,85.62,0.0,0.0,86.67,86.67,86.67,0.0,0.0
2018-03-11,85.69,85.69,85.69,0.0,0.0,86.21,86.21,86.21,0.0,0.0,85.69,85.69,85.69,0.0,0.0,85.89,85.89,85.89,0.0,0.0
2018-03-18,82.54,82.54,82.54,0.0,0.0,82.83,82.83,82.83,0.0,0.0,80.57,80.57,80.57,0.0,0.0,80.6,80.6,80.6,0.0,0.0
2018-03-25,82.1,82.1,82.1,0.0,0.0,83.23,83.23,83.23,0.0,0.0,81.61,81.61,81.61,0.0,0.0,82.71,82.71,82.71,0.0,0.0
2018-04-01,82.67,82.67,82.67,0.0,0.0,83.07,83.07,83.07,0.0,0.0,80.81,80.81,80.81,0.0,0.0,81.39,81.39,81.39,0.0,0.0
2018-04-08,83.5,83.5,83.5,0.0,0.0,83.54,83.54,83.54,0.0,0.0,82.4,82.4,82.4,0.0,0.0,82.73,82.73,82.73,0.0,0.0
2018-04-15,82.92,82.92,82.92,0.0,0.0,82.92,82.92,82.92,0.0,0.0,81.78,81.78,81.78,0.0,0.0,82.1,82.1,82.1,0.0,0.0
2018-04-22,81.71,81.71,81.71,0.0,0.0,82.24,82.24,82.24,0.0,0.0,81.71,81.71,81.71,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2018-04-29,81.18,81.18,81.18,0.0,0.0,82.68,82.68,82.68,0.0,0.0,81.1,81.1,81.1,0.0,0.0,82.42,82.42,82.42,0.0,0.0
2018-05-06,84.15,84.15,84.15,0.0,0.0,84.53,84.53,84.53,0.0,0.0,84.04,84.04,84.04,0.0,0.0,84.3,84.3,84.3,0.0,0.0
2018-05-13,84.11,84.11,84.11,0.0,0.0,84.2,84.2,84.2,0.0,0.0,83.88,83.88,83.88,0.0,0.0,84.03,84.03,84.03,0.0,0.0
2018-05-20,84.37,84.37,84.37,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.06,84.06,84.06,0.0,0.0,84.25,84.25,84.25,0.0,0.0
2018-05-27,84.37,84.37,84.37,0.0,0.0,84.84,84.84,84.84,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2018-06-03,85.85,85.85,85.85,0.0,0.0,86.33,86.33,86.33,0.0,0.0,85.76,85.76,85.76,0.0,0.0,86.32,86.32,86.32,0.0,0.0
2018-06-10,85.67,85.67,85.67,0.0,0.0,86.1,86.1,86.1,0.0,0.0,85.41,85.41,85.41,0.0,0.0,86.1,86.1,86.1,0.0,0.0
2018-06-17,85.25,85.25,85.25,0.0,0.0,85.25,85.25,85.25,0.0,0.0,84.83,84.83,84.83,0.0,0.0,84.83,84.83,84.83,0.0,0.0
2018-06-24,83.85,83.85,83.85,0.0,0.0,84.14,84.14,84.14,0.0,0.0,83.45,83.45,83.45,0.0,0.0,83.45,83.45,83.45,0.0,0.0
2018-07-01,84.16,84.16,84.16,0.0,0.0,84.86,84.86,84.86,0.0,0.0,83.92,83.92,83.92,0.0,0.0,84.74,84.74,84.74,0.0,0.0
2018-07-08,85.79,85.79,85.79,0.0,0.0,85.98,85.98,85.98,0.0,0.0,85.77,85.77,85.77,0.0,0.0,85.91,85.91,85.91,0.0,0.0
2018-07-15,86.04,86.04,86.04,0.0,0.0,86.17,86.17,86.17,0.0,0.0,85.9,85.9,85.9,0.0,0.0,85.93,85.93,85.93,0.0,0.0
2018-07-22,87.25,87.25,87.25,0.0,0.0,87.25,87.25,87.25,0.0,0.0,86.27,86.27,86.27,0.0,0.0,86.55,86.55,86.55,0.0,0.0
2018-07-29,86.78,86.78,86.78,0.0,0.0,87.06,87.06,87.06,0.0,0.0,86.64,86.64,86.64,0.0,0.0,87.02,87.02,87.02,0.0,0.0
2018-08-05,86.97,86.97,86.97,0.0,0.0,87.08,87.08,87.08,0.0,0.0,86.61,86.61,86.61,0.0,0.0,86.79,86.79,86.79,0.0,0.0
2018-08-12,87.27,87.27,87.27,0.0,0.0,87.86,87.86,87.86,0.0,0.0,87.03,87.03,87.03,0.0,0.0,87.73,87.73,87.73,0.0,0.0
2018-08-19,88.32,88.32,88.32,0.0,0.0,88.82,88.82,88.82,0.0,0.0,88.32,88.32,88.32,0.0,0.0,88.78,88.78,88.78,0.0,0.0
2018-08-26,89.31,89.31,89.31,0.0,0.0,89.79,89.79,89.79,0.0,0.0,89.31,89.31,89.31,0.0,0.0,89.78,89.78,89.78,0.0,0.0
2018-09-02,89.28,89.28,89.28,0.0,0.0,89.65,89.65,89.65,0.0,0.0,89.08,89.08,89.08,0.0,0.0,89.26,89.26,89.26,0.0,0.0
2018-09-09,90.37,90.37,90.37,0.0,0.0,90.45,90.45,90.45,0.0,0.0,90.12,90.12,90.12,0.0,0.0,90.39,90.39,90.39,0.0,0.0
2018-09-16,91.24,91.24,91.24,0.0,0.0,91.47,91.47,91.47,0.0,0.0,91.2,91.2,91.2,0.0,0.0,91.26,91.26,91.26,0.0,0.0
2018-09-23,90.19,90.19,90.19,0.0,0.0,90.52,90.52,90.52,0.0,0.0,90.1,90.1,90.1,0.0,0.0,90.37,90.37,90.37,0.0,0.0
2018-09-30,90.21,90.21,90.21,0.0,0.0,90.21,90.21,90.21,0.0,0.0,88.84,88.84,88.84,0.0,0.0,89.29,89.29,89.29,0.0,0.0
