Date,Reality Shares Divcon Leaders Dividend_Open_average,Reality Shares Divcon Leaders Dividend_Open_max,Reality Shares Divcon Leaders Dividend_Open_min,Reality Shares Divcon Leaders Dividend_Open_volatility,Reality Shares Divcon Leaders Dividend_Open_change,Reality Shares Divcon Leaders Dividend_High_average,Reality Shares Divcon Leaders Dividend_High_max,Reality Shares Divcon Leaders Dividend_High_min,Reality Shares Divcon Leaders Dividend_High_volatility,Reality Shares Divcon Leaders Dividend_High_change,Reality Shares Divcon Leaders Dividend_Low_average,Reality Shares Divcon Leaders Dividend_Low_max,Reality Shares Divcon Leaders Dividend_Low_min,Reality Shares Divcon Leaders Dividend_Low_volatility,Reality Shares Divcon Leaders Dividend_Low_change,Reality Shares Divcon Leaders Dividend_Close_average,Reality Shares Divcon Leaders Dividend_Close_max,Reality Shares Divcon Leaders Dividend_Close_min,Reality Shares Divcon Leaders Dividend_Close_volatility,Reality Shares Divcon Leaders Dividend_Close_change
2018-01-14,33.85,33.85,33.85,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2018-01-21,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-01-28,32.87,32.87,32.87,0.0,0.0,32.9,32.9,32.9,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-02-04,31.55,31.55,31.55,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-02-11,32.46,32.46,32.46,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-02-18,33.2,33.2,33.2,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-02-25,32.25,32.25,32.25,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2018-03-04,33.43,33.43,33.43,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-03-11,33.46,33.46,33.46,0.0,0.0,33.46,33.46,33.46,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-03-18,32.12,32.12,32.12,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.58,31.58,31.58,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-03-25,32.1,32.1,32.1,0.0,0.0,32.1,32.1,32.1,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-04-01,31.57,31.57,31.57,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-04-08,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2018-04-15,31.98,31.98,31.98,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-04-22,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-04-29,31.76,31.76,31.76,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-05-06,32.38,32.38,32.38,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-05-13,32.72,32.72,32.72,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2018-05-20,32.74,32.74,32.74,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-05-27,32.99,32.99,32.99,0.0,0.0,33.04,33.04,33.04,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2018-06-03,33.59,33.59,33.59,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-06-10,33.52,33.52,33.52,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2018-06-17,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2018-06-24,32.07,32.07,32.07,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-07-01,32.92,32.92,32.92,0.0,0.0,33.04,33.04,33.04,0.0,0.0,32.91,32.91,32.91,0.0,0.0,33.01,33.01,33.01,0.0,0.0
