Date,VelocityShares 3x Long Crude S&P GSCI EREtf_Open_average,VelocityShares 3x Long Crude S&P GSCI EREtf_Open_max,VelocityShares 3x Long Crude S&P GSCI EREtf_Open_min,VelocityShares 3x Long Crude S&P GSCI EREtf_Open_volatility,VelocityShares 3x Long Crude S&P GSCI EREtf_Open_change,VelocityShares 3x Long Crude S&P GSCI EREtf_High_average,VelocityShares 3x Long Crude S&P GSCI EREtf_High_max,VelocityShares 3x Long Crude S&P GSCI EREtf_High_min,VelocityShares 3x Long Crude S&P GSCI EREtf_High_volatility,VelocityShares 3x Long Crude S&P GSCI EREtf_High_change,VelocityShares 3x Long Crude S&P GSCI EREtf_Low_average,VelocityShares 3x Long Crude S&P GSCI EREtf_Low_max,VelocityShares 3x Long Crude S&P GSCI EREtf_Low_min,VelocityShares 3x Long Crude S&P GSCI EREtf_Low_volatility,VelocityShares 3x Long Crude S&P GSCI EREtf_Low_change,VelocityShares 3x Long Crude S&P GSCI EREtf_Close_average,VelocityShares 3x Long Crude S&P GSCI EREtf_Close_max,VelocityShares 3x Long Crude S&P GSCI EREtf_Close_min,VelocityShares 3x Long Crude S&P GSCI EREtf_Close_volatility,VelocityShares 3x Long Crude S&P GSCI EREtf_Close_change
2018-01-14,28.61,28.61,28.61,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-01-21,31.6,31.6,31.6,0.0,0.0,32.85,32.85,32.85,0.0,0.0,31.55,31.55,31.55,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2018-01-28,31.53,31.53,31.53,0.0,0.0,31.96,31.96,31.96,0.0,0.0,30.12,30.12,30.12,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-02-04,24.74,24.74,24.74,0.0,0.0,24.91,24.91,24.91,0.0,0.0,21.78,21.78,21.78,0.0,0.0,23.15,23.15,23.15,0.0,0.0
2018-02-11,25.52,25.52,25.52,0.0,0.0,26.62,26.62,26.62,0.0,0.0,25.23,25.23,25.23,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-02-18,27.75,27.75,27.75,0.0,0.0,29.06,29.06,29.06,0.0,0.0,27.63,27.63,27.63,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-02-25,25.13,25.13,25.13,0.0,0.0,26.05,26.05,26.05,0.0,0.0,24.37,24.37,24.37,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2018-03-04,25.3,25.3,25.3,0.0,0.0,26.67,26.67,26.67,0.0,0.0,25.22,25.22,25.22,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-03-11,25.72,25.72,25.72,0.0,0.0,27.3,27.3,27.3,0.0,0.0,25.49,25.49,25.49,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2018-03-18,30.36,30.36,30.36,0.0,0.0,31.8,31.8,31.8,0.0,0.0,30.261,30.261,30.261,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-03-25,29.66,29.66,29.66,0.0,0.0,30.74,30.74,30.74,0.0,0.0,29.25,29.25,29.25,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-01,28.22,28.22,28.22,0.0,0.0,28.49,28.49,28.49,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.26,26.26,26.26,0.0,0.0
