Date,InfraCap MLP_Open_average,InfraCap MLP_Open_max,InfraCap MLP_Open_min,InfraCap MLP_Open_volatility,InfraCap MLP_Open_change,InfraCap MLP_High_average,InfraCap MLP_High_max,InfraCap MLP_High_min,InfraCap MLP_High_volatility,InfraCap MLP_High_change,InfraCap MLP_Low_average,InfraCap MLP_Low_max,InfraCap MLP_Low_min,InfraCap MLP_Low_volatility,InfraCap MLP_Low_change,InfraCap MLP_Close_average,InfraCap MLP_Close_max,InfraCap MLP_Close_min,InfraCap MLP_Close_volatility,InfraCap MLP_Close_change
2018-01-14,8.64,8.64,8.64,0.0,0.0,8.9,8.9,8.9,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.9,8.9,8.9,0.0,0.0
2018-01-21,8.84,8.84,8.84,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.71,8.71,8.71,0.0,0.0
2018-01-28,8.41,8.41,8.41,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.2,8.2,8.2,0.0,0.0,8.33,8.33,8.33,0.0,0.0
2018-02-04,8.09,8.09,8.09,0.0,0.0,8.25,8.25,8.25,0.0,0.0,8.01,8.01,8.01,0.0,0.0,8.21,8.21,8.21,0.0,0.0
2018-02-11,8.26,8.26,8.26,0.0,0.0,8.31,8.31,8.31,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.17,8.17,8.17,0.0,0.0
2018-02-18,7.97,7.97,7.97,0.0,0.0,8.0,8.0,8.0,0.0,0.0,7.85,7.85,7.85,0.0,0.0,7.87,7.87,7.87,0.0,0.0
2018-02-25,7.65,7.65,7.65,0.0,0.0,7.77,7.77,7.77,0.0,0.0,7.59,7.59,7.59,0.0,0.0,7.73,7.73,7.73,0.0,0.0
2018-03-04,7.68,7.68,7.68,0.0,0.0,7.83,7.83,7.83,0.0,0.0,7.67,7.67,7.67,0.0,0.0,7.82,7.82,7.82,0.0,0.0
2018-03-11,7.41,7.41,7.41,0.0,0.0,7.43,7.43,7.43,0.0,0.0,7.08,7.08,7.08,0.0,0.0,7.13,7.13,7.13,0.0,0.0
2018-03-18,6.84,6.84,6.84,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.67,6.67,6.67,0.0,0.0,6.82,6.82,6.82,0.0,0.0
2018-03-25,6.84,6.84,6.84,0.0,0.0,6.93,6.93,6.93,0.0,0.0,6.7,6.7,6.7,0.0,0.0,6.79,6.79,6.79,0.0,0.0
2018-04-01,6.87,6.87,6.87,0.0,0.0,6.9,6.9,6.9,0.0,0.0,6.78,6.78,6.78,0.0,0.0,6.83,6.83,6.83,0.0,0.0
2018-04-08,7.07,7.07,7.07,0.0,0.0,7.43,7.43,7.43,0.0,0.0,7.05,7.05,7.05,0.0,0.0,7.42,7.42,7.42,0.0,0.0
2018-04-15,7.27,7.27,7.27,0.0,0.0,7.48,7.48,7.48,0.0,0.0,7.25,7.25,7.25,0.0,0.0,7.42,7.42,7.42,0.0,0.0
2018-04-22,7.31,7.31,7.31,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.28,7.28,7.28,0.0,0.0,7.32,7.32,7.32,0.0,0.0
2018-04-29,7.27,7.27,7.27,0.0,0.0,7.39,7.39,7.39,0.0,0.0,7.27,7.27,7.27,0.0,0.0,7.32,7.32,7.32,0.0,0.0
2018-05-06,7.5,7.5,7.5,0.0,0.0,7.62,7.62,7.62,0.0,0.0,7.5,7.5,7.5,0.0,0.0,7.61,7.61,7.61,0.0,0.0
2018-05-13,7.73,7.73,7.73,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.81,7.81,7.81,0.0,0.0
2018-05-20,7.4,7.4,7.4,0.0,0.0,7.45,7.45,7.45,0.0,0.0,7.24,7.24,7.24,0.0,0.0,7.41,7.41,7.41,0.0,0.0
2018-05-27,7.75,7.75,7.75,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.73,7.73,7.73,0.0,0.0,7.8,7.8,7.8,0.0,0.0
2018-06-03,7.65,7.65,7.65,0.0,0.0,7.84,7.84,7.84,0.0,0.0,7.62,7.62,7.62,0.0,0.0,7.83,7.83,7.83,0.0,0.0
2018-06-10,7.48,7.48,7.48,0.0,0.0,7.61,7.61,7.61,0.0,0.0,7.47,7.47,7.47,0.0,0.0,7.6,7.6,7.6,0.0,0.0
2018-06-17,7.47,7.47,7.47,0.0,0.0,7.49,7.49,7.49,0.0,0.0,7.26,7.26,7.26,0.0,0.0,7.27,7.27,7.27,0.0,0.0
2018-06-24,7.26,7.26,7.26,0.0,0.0,7.3,7.3,7.3,0.0,0.0,7.15,7.15,7.15,0.0,0.0,7.25,7.25,7.25,0.0,0.0
2018-07-01,7.37,7.37,7.37,0.0,0.0,7.44,7.44,7.44,0.0,0.0,7.34,7.34,7.34,0.0,0.0,7.41,7.41,7.41,0.0,0.0
2018-07-08,7.33,7.33,7.33,0.0,0.0,7.38,7.38,7.38,0.0,0.0,7.32,7.32,7.32,0.0,0.0,7.38,7.38,7.38,0.0,0.0
2018-07-15,7.47,7.47,7.47,0.0,0.0,7.5,7.5,7.5,0.0,0.0,7.41,7.41,7.41,0.0,0.0,7.45,7.45,7.45,0.0,0.0
2018-07-22,7.62,7.62,7.62,0.0,0.0,7.73,7.73,7.73,0.0,0.0,7.62,7.62,7.62,0.0,0.0,7.7,7.7,7.7,0.0,0.0
2018-07-29,7.98,7.98,7.98,0.0,0.0,8.1,8.1,8.1,0.0,0.0,7.98,7.98,7.98,0.0,0.0,8.09,8.09,8.09,0.0,0.0
2018-08-05,8.11,8.11,8.11,0.0,0.0,8.12,8.12,8.12,0.0,0.0,7.96,7.96,7.96,0.0,0.0,7.97,7.97,7.97,0.0,0.0
2018-08-12,8.01,8.01,8.01,0.0,0.0,8.08,8.08,8.08,0.0,0.0,7.97,7.97,7.97,0.0,0.0,8.07,8.07,8.07,0.0,0.0
2018-08-19,8.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,7.93,7.93,7.93,0.0,0.0,7.97,7.97,7.97,0.0,0.0
