Date,Franklin Liberty US Low Volatility_Open_average,Franklin Liberty US Low Volatility_Open_max,Franklin Liberty US Low Volatility_Open_min,Franklin Liberty US Low Volatility_Open_volatility,Franklin Liberty US Low Volatility_Open_change,Franklin Liberty US Low Volatility_High_average,Franklin Liberty US Low Volatility_High_max,Franklin Liberty US Low Volatility_High_min,Franklin Liberty US Low Volatility_High_volatility,Franklin Liberty US Low Volatility_High_change,Franklin Liberty US Low Volatility_Low_average,Franklin Liberty US Low Volatility_Low_max,Franklin Liberty US Low Volatility_Low_min,Franklin Liberty US Low Volatility_Low_volatility,Franklin Liberty US Low Volatility_Low_change,Franklin Liberty US Low Volatility_Close_average,Franklin Liberty US Low Volatility_Close_max,Franklin Liberty US Low Volatility_Close_min,Franklin Liberty US Low Volatility_Close_volatility,Franklin Liberty US Low Volatility_Close_change
2018-01-14,31.39,31.39,31.39,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-01-21,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-01-28,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-02-04,29.71,29.71,29.71,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-02-11,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2018-02-18,30.44,30.44,30.44,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2018-02-25,30.34,30.34,30.34,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-03-04,31.19,31.19,31.19,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-03-11,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-03-18,29.47,29.47,29.47,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-03-25,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-04-01,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-04-08,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-04-15,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-04-22,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-04-29,29.94,29.94,29.94,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2018-05-06,30.52,30.52,30.52,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-05-13,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-05-20,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-05-27,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-06-03,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-06-10,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-06-17,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-06-24,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-07-01,31.32,31.32,31.32,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-07-08,31.67,31.67,31.67,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-07-15,31.76,31.76,31.76,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-07-22,31.85,31.85,31.85,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-07-29,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-08-05,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2018-08-12,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2018-08-19,32.98,32.98,32.98,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-08-26,32.83,32.83,32.83,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-09-02,32.88,32.88,32.88,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-09-09,33.02,33.02,33.02,0.0,0.0,33.14,33.14,33.14,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-09-16,33.17,33.17,33.17,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.17,33.17,33.17,0.0,0.0
