Date,Global X MSCI ColombiaEtf_Open_average,Global X MSCI ColombiaEtf_Open_max,Global X MSCI ColombiaEtf_Open_min,Global X MSCI ColombiaEtf_Open_volatility,Global X MSCI ColombiaEtf_Open_change,Global X MSCI ColombiaEtf_High_average,Global X MSCI ColombiaEtf_High_max,Global X MSCI ColombiaEtf_High_min,Global X MSCI ColombiaEtf_High_volatility,Global X MSCI ColombiaEtf_High_change,Global X MSCI ColombiaEtf_Low_average,Global X MSCI ColombiaEtf_Low_max,Global X MSCI ColombiaEtf_Low_min,Global X MSCI ColombiaEtf_Low_volatility,Global X MSCI ColombiaEtf_Low_change,Global X MSCI ColombiaEtf_Close_average,Global X MSCI ColombiaEtf_Close_max,Global X MSCI ColombiaEtf_Close_min,Global X MSCI ColombiaEtf_Close_volatility,Global X MSCI ColombiaEtf_Close_change
2018-01-14,10.73,10.73,10.73,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.76,10.76,10.76,0.0,0.0
2018-01-21,11.15,11.15,11.15,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.08,11.08,11.08,0.0,0.0,11.2,11.2,11.2,0.0,0.0
2018-01-28,10.95,10.95,10.95,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.75,10.75,10.75,0.0,0.0
2018-02-04,10.24,10.24,10.24,0.0,0.0,10.31,10.31,10.31,0.0,0.0,9.97,9.97,9.97,0.0,0.0,10.19,10.19,10.19,0.0,0.0
2018-02-11,10.48,10.48,10.48,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.48,10.48,10.48,0.0,0.0,10.68,10.68,10.68,0.0,0.0
2018-02-18,10.7,10.7,10.7,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.65,10.65,10.65,0.0,0.0
2018-02-25,10.0,10.0,10.0,0.0,0.0,10.16,10.16,10.16,0.0,0.0,9.9,9.9,9.9,0.0,0.0,10.12,10.12,10.12,0.0,0.0
2018-03-04,10.2,10.2,10.2,0.0,0.0,10.31,10.31,10.31,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.26,10.26,10.26,0.0,0.0
2018-03-11,10.2,10.2,10.2,0.0,0.0,10.24,10.24,10.24,0.0,0.0,10.16,10.16,10.16,0.0,0.0,10.18,10.18,10.18,0.0,0.0
2018-03-18,10.19,10.19,10.19,0.0,0.0,10.23,10.23,10.23,0.0,0.0,10.07,10.07,10.07,0.0,0.0,10.08,10.08,10.08,0.0,0.0
2018-03-25,10.3,10.3,10.3,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.48,10.48,10.48,0.0,0.0
2018-04-01,10.7,10.7,10.7,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.75,10.75,10.75,0.0,0.0
2018-04-08,11.41,11.41,11.41,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.32,11.32,11.32,0.0,0.0
2018-04-15,11.36,11.36,11.36,0.0,0.0,11.36,11.36,11.36,0.0,0.0,11.26,11.26,11.26,0.0,0.0,11.27,11.27,11.27,0.0,0.0
2018-04-22,10.96,10.96,10.96,0.0,0.0,11.06,11.06,11.06,0.0,0.0,10.96,10.96,10.96,0.0,0.0,11.0,11.0,11.0,0.0,0.0
2018-04-29,10.66,10.66,10.66,0.0,0.0,10.92,10.92,10.92,0.0,0.0,10.66,10.66,10.66,0.0,0.0,10.8,10.8,10.8,0.0,0.0
2018-05-06,10.96,10.96,10.96,0.0,0.0,11.13,11.13,11.13,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.85,10.85,10.85,0.0,0.0
2018-05-13,10.25,10.25,10.25,0.0,0.0,10.35,10.35,10.35,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.29,10.29,10.29,0.0,0.0
2018-05-20,10.4,10.4,10.4,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.33,10.33,10.33,0.0,0.0,10.44,10.44,10.44,0.0,0.0
2018-05-27,10.59,10.59,10.59,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.88,10.88,10.88,0.0,0.0
