Date,AMOT_stock_Open_average,AMOT_stock_Open_max,AMOT_stock_Open_min,AMOT_stock_Open_volatility,AMOT_stock_Open_change,AMOT_stock_High_average,AMOT_stock_High_max,AMOT_stock_High_min,AMOT_stock_High_volatility,AMOT_stock_High_change,AMOT_stock_Low_average,AMOT_stock_Low_max,AMOT_stock_Low_min,AMOT_stock_Low_volatility,AMOT_stock_Low_change,AMOT_stock_Close_average,AMOT_stock_Close_max,AMOT_stock_Close_min,AMOT_stock_Close_volatility,AMOT_stock_Close_change,AMOT_stock_Volume_average,AMOT_stock_Volume_max,AMOT_stock_Volume_min,AMOT_stock_Volume_volatility,AMOT_stock_Volume_change
2018-01-14,35.2475,35.44,35.1,0.3399999999999963,0.25,35.875,36.2,35.62,0.5800000000000054,-0.5800000000000054,34.375,35.05,33.29,1.759999999999998,-0.060000000000002274,35.317499999999995,35.5,35.16,0.3400000000000034,-0.010000000000005116,40708,50418,29386,21032,-874
2018-01-21,34.798,35.42,34.34,1.0799999999999983,0.4299999999999997,35.202,35.42,34.93,0.490000000000002,0.03999999999999915,34.22,34.62,33.78,0.8399999999999963,0.35999999999999943,34.776,35.24,34.23,1.0100000000000051,0.15000000000000568,35563,49248,20773,28475,-4183
2018-01-28,34.82,35.0,34.43,0.5700000000000003,-0.5700000000000003,35.29,35.87,34.95,0.9199999999999946,-0.9199999999999946,34.410000000000004,34.67,34.01,0.6600000000000037,-0.5500000000000043,34.826,35.2,34.4,0.8000000000000043,-0.8000000000000043,34793,40559,27345,13214,9501
2018-02-04,31.794,34.3,30.0,4.299999999999997,-4.299999999999997,32.513999999999996,34.4,30.83,3.5700000000000003,-3.5700000000000003,29.951999999999998,32.46,28.08,4.380000000000003,-3.8100000000000023,31.094,32.52,29.86,2.6600000000000037,-2.3000000000000043,44695,57967,24997,32970,3001
2018-02-11,30.87,31.75,29.87,1.879999999999999,0.6999999999999993,32.096000000000004,32.95,30.74,2.2100000000000044,1.7600000000000016,29.914,30.56,29.59,0.9699999999999989,-0.23000000000000043,31.14,32.01,30.26,1.7499999999999964,0.9799999999999969,38158,89297,18968,70329,6406
2018-02-18,31.515,31.83,31.1,0.7299999999999969,0.7299999999999969,32.34,32.48,32.17,0.30999999999999517,-0.21000000000000085,31.185,31.71,30.9,0.8100000000000023,0.8100000000000023,31.794999999999998,32.16,31.4,0.759999999999998,0.639999999999997,18525,22603,14747,7856,-3667
2018-02-25,31.778,32.28,30.9,1.3800000000000026,-1.2899999999999991,32.153999999999996,32.43,31.34,1.0899999999999999,0.0899999999999963,30.81,31.85,29.96,1.8900000000000006,-1.6300000000000026,31.66,32.29,31.24,1.0500000000000007,-1.009999999999998,25917,35486,8907,26579,26579
2018-03-04,31.172,31.43,30.88,0.5500000000000007,0.3299999999999983,31.876,32.75,31.57,1.1799999999999997,1.1799999999999997,30.688,31.1,30.45,0.6500000000000021,0.6500000000000021,31.432,32.48,30.98,1.4999999999999964,1.4999999999999964,36554,70184,15245,54939,44292
2018-03-11,33.914,37.84,32.49,5.350000000000001,5.350000000000001,35.644,39.36,32.84,6.519999999999996,5.880000000000003,32.654,36.49,29.52,6.970000000000002,6.970000000000002,34.72,38.7,31.93,6.770000000000003,6.0,88159,155087,29072,126015,89897
2018-03-18,40.022,40.82,38.7,2.1199999999999974,0.7399999999999949,41.532,42.7,40.55,2.1500000000000057,-0.6099999999999994,38.480000000000004,39.78,36.36,3.4200000000000017,1.0300000000000011,40.146,40.91,39.08,1.8299999999999983,-1.75,74359,119399,44997,74402,-67100
