Date,Fidelity MSCI Telecommunications Services_Open_average,Fidelity MSCI Telecommunications Services_Open_max,Fidelity MSCI Telecommunications Services_Open_min,Fidelity MSCI Telecommunications Services_Open_volatility,Fidelity MSCI Telecommunications Services_Open_change,Fidelity MSCI Telecommunications Services_High_average,Fidelity MSCI Telecommunications Services_High_max,Fidelity MSCI Telecommunications Services_High_min,Fidelity MSCI Telecommunications Services_High_volatility,Fidelity MSCI Telecommunications Services_High_change,Fidelity MSCI Telecommunications Services_Low_average,Fidelity MSCI Telecommunications Services_Low_max,Fidelity MSCI Telecommunications Services_Low_min,Fidelity MSCI Telecommunications Services_Low_volatility,Fidelity MSCI Telecommunications Services_Low_change,Fidelity MSCI Telecommunications Services_Close_average,Fidelity MSCI Telecommunications Services_Close_max,Fidelity MSCI Telecommunications Services_Close_min,Fidelity MSCI Telecommunications Services_Close_volatility,Fidelity MSCI Telecommunications Services_Close_change
2018-01-14,30.8,30.8,30.8,0.0,0.0,31.3,31.3,31.3,0.0,0.0,30.8,30.8,30.8,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-01-21,31.24,31.24,31.24,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-01-28,30.63,30.63,30.63,0.0,0.0,30.86,30.86,30.86,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-02-04,29.1,29.1,29.1,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-02-11,30.06,30.06,30.06,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-02-18,30.1,30.1,30.1,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-02-25,29.6,29.6,29.6,0.0,0.0,30.16,30.16,30.16,0.0,0.0,29.55,29.55,29.55,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2018-03-04,30.56,30.56,30.56,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-03-11,29.92,29.92,29.92,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2018-03-18,28.41,28.41,28.41,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-03-25,28.44,28.44,28.44,0.0,0.0,28.55,28.55,28.55,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2018-04-01,28.76,28.76,28.76,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-04-08,29.25,29.25,29.25,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-04-15,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-04-22,29.66,29.66,29.66,0.0,0.0,29.66,29.66,29.66,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-04-29,28.54,28.54,28.54,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-05-06,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-05-13,28.2,28.2,28.2,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.41,28.41,28.41,0.0,0.0
