Date,iShares MSCI USA Equal Weighted_etf_Open_average,iShares MSCI USA Equal Weighted_etf_Open_max,iShares MSCI USA Equal Weighted_etf_Open_min,iShares MSCI USA Equal Weighted_etf_Open_volatility,iShares MSCI USA Equal Weighted_etf_Open_change,iShares MSCI USA Equal Weighted_etf_High_average,iShares MSCI USA Equal Weighted_etf_High_max,iShares MSCI USA Equal Weighted_etf_High_min,iShares MSCI USA Equal Weighted_etf_High_volatility,iShares MSCI USA Equal Weighted_etf_High_change,iShares MSCI USA Equal Weighted_etf_Low_average,iShares MSCI USA Equal Weighted_etf_Low_max,iShares MSCI USA Equal Weighted_etf_Low_min,iShares MSCI USA Equal Weighted_etf_Low_volatility,iShares MSCI USA Equal Weighted_etf_Low_change,iShares MSCI USA Equal Weighted_etf_Close_average,iShares MSCI USA Equal Weighted_etf_Close_max,iShares MSCI USA Equal Weighted_etf_Close_min,iShares MSCI USA Equal Weighted_etf_Close_volatility,iShares MSCI USA Equal Weighted_etf_Close_change
2018-01-14,57.76,57.76,57.76,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.97,57.97,57.97,0.0,0.0
2018-01-21,58.72,58.72,58.72,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.99,58.99,58.99,0.0,0.0
2018-01-28,57.54,57.54,57.54,0.0,0.0,57.54,57.54,57.54,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2018-02-04,53.82,53.82,53.82,0.0,0.0,54.31,54.31,54.31,0.0,0.0,52.48,52.48,52.48,0.0,0.0,54.11,54.11,54.11,0.0,0.0
2018-02-11,56.19,56.19,56.19,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2018-02-18,55.82,55.82,55.82,0.0,0.0,56.41,56.41,56.41,0.0,0.0,55.75,55.75,55.75,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2018-02-25,54.54,54.54,54.54,0.0,0.0,55.4,55.4,55.4,0.0,0.0,54.54,54.54,54.54,0.0,0.0,55.37,55.37,55.37,0.0,0.0
2018-03-04,56.8,56.8,56.8,0.0,0.0,57.39,57.39,57.39,0.0,0.0,56.73,56.73,56.73,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-03-11,57.05,57.05,57.05,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2018-03-18,54.97,54.97,54.97,0.0,0.0,55.07,55.07,55.07,0.0,0.0,53.98,53.98,53.98,0.0,0.0,54.0,54.0,54.0,0.0,0.0
