Date,BLDRS Asia 50 ADR_etf_Open_average,BLDRS Asia 50 ADR_etf_Open_max,BLDRS Asia 50 ADR_etf_Open_min,BLDRS Asia 50 ADR_etf_Open_volatility,BLDRS Asia 50 ADR_etf_Open_change,BLDRS Asia 50 ADR_etf_High_average,BLDRS Asia 50 ADR_etf_High_max,BLDRS Asia 50 ADR_etf_High_min,BLDRS Asia 50 ADR_etf_High_volatility,BLDRS Asia 50 ADR_etf_High_change,BLDRS Asia 50 ADR_etf_Low_average,BLDRS Asia 50 ADR_etf_Low_max,BLDRS Asia 50 ADR_etf_Low_min,BLDRS Asia 50 ADR_etf_Low_volatility,BLDRS Asia 50 ADR_etf_Low_change,BLDRS Asia 50 ADR_etf_Close_average,BLDRS Asia 50 ADR_etf_Close_max,BLDRS Asia 50 ADR_etf_Close_min,BLDRS Asia 50 ADR_etf_Close_volatility,BLDRS Asia 50 ADR_etf_Close_change
2018-01-14,37.12,37.12,37.12,0.0,0.0,37.16,37.16,37.16,0.0,0.0,36.97,36.97,36.97,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-01-21,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-01-28,37.06,37.06,37.06,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-02-04,33.4,33.4,33.4,0.0,0.0,34.76,34.76,34.76,0.0,0.0,33.4,33.4,33.4,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-02-11,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2018-02-18,35.84,35.84,35.84,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.84,35.84,35.84,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2018-02-25,34.21,34.21,34.21,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-03-04,35.39,35.39,35.39,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2018-03-11,35.58,35.58,35.58,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2018-03-18,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.85,33.85,33.85,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-03-25,34.2,34.2,34.2,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.2,34.2,34.2,0.0,0.0
