Date,PowerShares Dynamic Networking_Open_average,PowerShares Dynamic Networking_Open_max,PowerShares Dynamic Networking_Open_min,PowerShares Dynamic Networking_Open_volatility,PowerShares Dynamic Networking_Open_change,PowerShares Dynamic Networking_High_average,PowerShares Dynamic Networking_High_max,PowerShares Dynamic Networking_High_min,PowerShares Dynamic Networking_High_volatility,PowerShares Dynamic Networking_High_change,PowerShares Dynamic Networking_Low_average,PowerShares Dynamic Networking_Low_max,PowerShares Dynamic Networking_Low_min,PowerShares Dynamic Networking_Low_volatility,PowerShares Dynamic Networking_Low_change,PowerShares Dynamic Networking_Close_average,PowerShares Dynamic Networking_Close_max,PowerShares Dynamic Networking_Close_min,PowerShares Dynamic Networking_Close_volatility,PowerShares Dynamic Networking_Close_change
2018-01-14,48.39,48.39,48.39,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-01-21,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-01-28,47.73,47.73,47.73,0.0,0.0,47.73,47.73,47.73,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-02-04,47.2,47.2,47.2,0.0,0.0,47.27,47.27,47.27,0.0,0.0,46.72,46.72,46.72,0.0,0.0,47.27,47.27,47.27,0.0,0.0
2018-02-11,49.3,49.3,49.3,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-02-18,49.66,49.66,49.66,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.55,49.55,49.55,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-02-25,49.59,49.59,49.59,0.0,0.0,50.28,50.28,50.28,0.0,0.0,49.59,49.59,49.59,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-03-04,51.58,51.58,51.58,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2018-03-11,50.8,50.8,50.8,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-03-18,49.75,49.75,49.75,0.0,0.0,50.41,50.41,50.41,0.0,0.0,49.75,49.75,49.75,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2018-03-25,49.42,49.42,49.42,0.0,0.0,49.42,49.42,49.42,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2018-04-01,49.1,49.1,49.1,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-04-08,50.57,50.57,50.57,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-04-15,51.24,51.24,51.24,0.0,0.0,51.36,51.36,51.36,0.0,0.0,50.92,50.92,50.92,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-04-22,50.12,50.12,50.12,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-04-29,51.41,51.41,51.41,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.53,51.53,51.53,0.0,0.0
