Date,ProShares Ultra Oil & Gas_Open_average,ProShares Ultra Oil & Gas_Open_max,ProShares Ultra Oil & Gas_Open_min,ProShares Ultra Oil & Gas_Open_volatility,ProShares Ultra Oil & Gas_Open_change,ProShares Ultra Oil & Gas_High_average,ProShares Ultra Oil & Gas_High_max,ProShares Ultra Oil & Gas_High_min,ProShares Ultra Oil & Gas_High_volatility,ProShares Ultra Oil & Gas_High_change,ProShares Ultra Oil & Gas_Low_average,ProShares Ultra Oil & Gas_Low_max,ProShares Ultra Oil & Gas_Low_min,ProShares Ultra Oil & Gas_Low_volatility,ProShares Ultra Oil & Gas_Low_change,ProShares Ultra Oil & Gas_Close_average,ProShares Ultra Oil & Gas_Close_max,ProShares Ultra Oil & Gas_Close_min,ProShares Ultra Oil & Gas_Close_volatility,ProShares Ultra Oil & Gas_Close_change
2018-01-14,44.03,44.03,44.03,0.0,0.0,45.77,45.77,45.77,0.0,0.0,44.03,44.03,44.03,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2018-01-21,44.71,44.71,44.71,0.0,0.0,45.04,45.04,45.04,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2018-01-28,38.19,38.19,38.19,0.0,0.0,39.23,39.23,39.23,0.0,0.0,34.9,34.9,34.9,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-02-04,34.0,34.0,34.0,0.0,0.0,34.88,34.88,34.88,0.0,0.0,33.67,33.67,33.67,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-02-11,34.7,34.7,34.7,0.0,0.0,35.33,35.33,35.33,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-02-18,35.77,35.77,35.77,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-02-25,33.19,33.19,33.19,0.0,0.0,34.51,34.51,34.51,0.0,0.0,33.17,33.17,33.17,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-03-04,34.87,34.87,34.87,0.0,0.0,35.47,35.47,35.47,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-03-11,34.21,34.21,34.21,0.0,0.0,34.21,34.21,34.21,0.0,0.0,32.81,32.81,32.81,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2018-03-18,34.27,34.27,34.27,0.0,0.0,34.84,34.84,34.84,0.0,0.0,33.55,33.55,33.55,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2018-03-25,33.83,33.83,33.83,0.0,0.0,33.89,33.89,33.89,0.0,0.0,31.61,31.61,31.61,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-04-01,34.48,34.48,34.48,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2018-04-08,383.3,383.3,383.3,0.0,0.0,392.6,392.6,392.6,0.0,0.0,379.51,379.51,379.51,0.0,0.0,389.7,389.7,389.7,0.0,0.0
