Date,Schwab US Broad Market_etf_Open_average,Schwab US Broad Market_etf_Open_max,Schwab US Broad Market_etf_Open_min,Schwab US Broad Market_etf_Open_volatility,Schwab US Broad Market_etf_Open_change,Schwab US Broad Market_etf_High_average,Schwab US Broad Market_etf_High_max,Schwab US Broad Market_etf_High_min,Schwab US Broad Market_etf_High_volatility,Schwab US Broad Market_etf_High_change,Schwab US Broad Market_etf_Low_average,Schwab US Broad Market_etf_Low_max,Schwab US Broad Market_etf_Low_min,Schwab US Broad Market_etf_Low_volatility,Schwab US Broad Market_etf_Low_change,Schwab US Broad Market_etf_Close_average,Schwab US Broad Market_etf_Close_max,Schwab US Broad Market_etf_Close_min,Schwab US Broad Market_etf_Close_volatility,Schwab US Broad Market_etf_Close_change
2018-01-14,67.5,67.5,67.5,0.0,0.0,67.69,67.69,67.69,0.0,0.0,67.37,67.37,67.37,0.0,0.0,67.68,67.68,67.68,0.0,0.0
2018-01-21,68.57,68.57,68.57,0.0,0.0,69.07,69.07,69.07,0.0,0.0,68.49,68.49,68.49,0.0,0.0,69.07,69.07,69.07,0.0,0.0
2018-01-28,67.48,67.48,67.48,0.0,0.0,67.53,67.53,67.53,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2018-02-04,62.98,62.98,62.98,0.0,0.0,63.58,63.58,63.58,0.0,0.0,61.07,61.07,61.07,0.0,0.0,63.12,63.12,63.12,0.0,0.0
2018-02-11,65.69,65.69,65.69,0.0,0.0,66.42,66.42,66.42,0.0,0.0,65.68,65.68,65.68,0.0,0.0,65.9,65.9,65.9,0.0,0.0
2018-02-18,65.6,65.6,65.6,0.0,0.0,66.26,66.26,66.26,0.0,0.0,65.46,65.46,65.46,0.0,0.0,66.26,66.26,66.26,0.0,0.0
2018-02-25,64.13,64.13,64.13,0.0,0.0,65.14,65.14,65.14,0.0,0.0,63.89,63.89,63.89,0.0,0.0,65.0,65.0,65.0,0.0,0.0
2018-03-04,66.66,66.66,66.66,0.0,0.0,67.39,67.39,67.39,0.0,0.0,66.58,66.58,66.58,0.0,0.0,67.39,67.39,67.39,0.0,0.0
2018-03-11,66.34,66.34,66.34,0.0,0.0,66.59,66.59,66.59,0.0,0.0,66.32,66.32,66.32,0.0,0.0,66.35,66.35,66.35,0.0,0.0
2018-03-18,64.02,64.02,64.02,0.0,0.0,64.24,64.24,64.24,0.0,0.0,62.54,62.54,62.54,0.0,0.0,62.61,62.61,62.61,0.0,0.0
2018-03-25,63.27,63.27,63.27,0.0,0.0,64.22,64.22,64.22,0.0,0.0,63.09,63.09,63.09,0.0,0.0,63.79,63.79,63.79,0.0,0.0
2018-04-01,63.79,63.79,63.79,0.0,0.0,64.21,64.21,64.21,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.96,62.96,62.96,0.0,0.0
2018-04-08,64.79,64.79,64.79,0.0,0.0,64.82,64.82,64.82,0.0,0.0,63.99,63.99,63.99,0.0,0.0,64.23,64.23,64.23,0.0,0.0
2018-04-15,65.16,65.16,65.16,0.0,0.0,65.17,65.17,65.17,0.0,0.0,64.42,64.42,64.42,0.0,0.0,64.66,64.66,64.66,0.0,0.0
2018-04-22,64.73,64.73,64.73,0.0,0.0,64.75,64.75,64.75,0.0,0.0,64.31,64.31,64.31,0.0,0.0,64.55,64.55,64.55,0.0,0.0
2018-04-29,63.45,63.45,63.45,0.0,0.0,64.68,64.68,64.68,0.0,0.0,63.33,63.33,63.33,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2018-05-06,66.02,66.02,66.02,0.0,0.0,66.24,66.24,66.24,0.0,0.0,65.86,65.86,65.86,0.0,0.0,66.08,66.08,66.08,0.0,0.0
2018-05-13,66.0,66.0,66.0,0.0,0.0,66.06,66.06,66.06,0.0,0.0,65.82,65.82,65.82,0.0,0.0,65.93,65.93,65.93,0.0,0.0
2018-05-20,66.1,66.1,66.1,0.0,0.0,66.23,66.23,66.23,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.08,66.08,66.08,0.0,0.0
2018-05-27,66.23,66.23,66.23,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.51,66.51,66.51,0.0,0.0
2018-06-03,67.3,67.3,67.3,0.0,0.0,67.66,67.66,67.66,0.0,0.0,67.28,67.28,67.28,0.0,0.0,67.66,67.66,67.66,0.0,0.0
2018-06-10,67.61,67.61,67.61,0.0,0.0,67.83,67.83,67.83,0.0,0.0,67.31,67.31,67.31,0.0,0.0,67.75,67.75,67.75,0.0,0.0
2018-06-17,67.5,67.5,67.5,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.2,67.2,67.2,0.0,0.0,67.24,67.24,67.24,0.0,0.0
