Date,GLBS_Open_average,GLBS_Open_max,GLBS_Open_min,GLBS_Open_volatility,GLBS_Open_change,GLBS_High_average,GLBS_High_max,GLBS_High_min,GLBS_High_volatility,GLBS_High_change,GLBS_Low_average,GLBS_Low_max,GLBS_Low_min,GLBS_Low_volatility,GLBS_Low_change,GLBS_Close_average,GLBS_Close_max,GLBS_Close_min,GLBS_Close_volatility,GLBS_Close_change,GLBS_Volume_average,GLBS_Volume_max,GLBS_Volume_min,GLBS_Volume_volatility,GLBS_Volume_change
2018-01-14,12.120000000000001,12.8,11.8,1.0,-1.0,12.5,13.2,11.9,1.299999999999999,-0.7999999999999989,11.62,11.7,11.5,0.1999999999999993,0.0,11.952,12.057,11.8,0.2569999999999997,-0.05400000000000027,46647,74720,14692,60028,-10186
2018-01-21,12.198,12.3,12.0,0.3000000000000007,0.10000000000000142,12.3376,12.49,12.2,0.2900000000000009,0.10000000000000142,11.9,12.0,11.5,0.5,-0.5,12.1278,12.4,11.99,0.41000000000000014,-0.009999999999999787,22887,36489,13420,23069,20269
2018-01-28,12.22,13.8,11.3,2.5,-0.5999999999999996,12.56,13.8,11.5,2.3000000000000007,-0.5999999999999996,11.1882,12.0,9.9,2.0999999999999996,-1.141,11.9,13.3,10.9,2.4000000000000004,-1.0999999999999996,71355,139488,22051,117437,7208
2018-02-04,10.52,10.8,10.2,0.6000000000000014,-0.3000000000000007,10.7496,11.2,10.298,0.9019999999999992,-0.6020000000000003,10.1088,10.5,9.8,0.6999999999999993,-0.35599999999999987,10.3808,10.7,10.0,0.6999999999999993,-0.6999999999999993,31391,48725,16913,31812,-15772
2018-02-11,10.093499999999999,10.2,9.974,0.2259999999999991,-0.1999999999999993,10.248999999999999,10.495999999999999,10.1,0.395999999999999,0.2959999999999994,9.8115,9.82,9.801,0.019000000000000128,0.004999999999999005,10.118500000000001,10.4,9.974,0.42600000000000016,0.42600000000000016,16630,22202,14317,7885,7133
2018-02-18,10.7,10.8,10.5,0.3000000000000007,0.1999999999999993,10.82,11.0,10.7,0.3000000000000007,-0.3000000000000007,10.3,10.4,10.2,0.20000000000000107,-0.10000000000000142,10.608,10.7,10.55,0.14999999999999858,-0.09999999999999964,13378,23694,6421,17273,-9874
2018-02-25,10.137599999999999,10.5,9.988,0.5120000000000005,-0.5,10.278,10.6,10.1,0.5,-0.5,9.840200000000001,10.1,9.601,0.4989999999999988,-0.29999999999999893,10.0466,10.2,9.9,0.29999999999999893,-0.09999999999999964,15196,21129,8949,12180,10894
2018-03-04,10.56,11.7,10.0,1.6999999999999993,0.40000000000000036,10.959999999999999,11.7,10.2,1.5,0.5,10.1788,10.402000000000001,9.96,0.44200000000000017,0.1399999999999988,10.5668,11.4,10.2,1.200000000000001,0.23400000000000176,56657,116233,19158,97075,25037
2018-03-11,10.22,10.3,10.1,0.20000000000000107,-0.20000000000000107,10.4166,10.59,10.193,0.39700000000000024,-0.39700000000000024,9.848,10.2,9.13,1.0699999999999985,-1.0699999999999985,9.959999999999999,10.25,9.25,1.0,-0.9499999999999993,32725,42033,22646,19387,15475
2018-03-18,9.1714,9.322000000000001,8.957,0.3650000000000002,-0.2920000000000016,9.3798,9.69,9.15,0.5399999999999991,-0.5399999999999991,8.8628,9.3,8.3,1.0,-1.0,8.9866,9.35,8.386000000000001,0.9639999999999986,-0.9639999999999986,28966,37779,16226,21553,20499
2018-03-25,8.236,8.755,7.5,1.2550000000000008,-0.7889999999999997,8.508750000000001,8.88,8.0,0.8800000000000008,-0.8800000000000008,7.8085,8.4,7.102,1.298,-0.7320000000000011,8.0385,8.442,7.41,1.032,-0.5419999999999998,26665,63095,12230,50865,-6053
2018-04-01,7.61026,7.962000000000001,7.421,0.5410000000000004,-0.5410000000000004,7.7059999999999995,7.97,7.421,0.5489999999999995,-0.5489999999999995,7.3508,7.49,7.18,0.3100000000000005,-0.1200000000000001,7.483,7.7,7.18,0.5200000000000005,-0.5200000000000005,11040,24013,5488,18525,-15054
