Date,PowerShares DWA Momentum Portfolio_Open_average,PowerShares DWA Momentum Portfolio_Open_max,PowerShares DWA Momentum Portfolio_Open_min,PowerShares DWA Momentum Portfolio_Open_volatility,PowerShares DWA Momentum Portfolio_Open_change,PowerShares DWA Momentum Portfolio_High_average,PowerShares DWA Momentum Portfolio_High_max,PowerShares DWA Momentum Portfolio_High_min,PowerShares DWA Momentum Portfolio_High_volatility,PowerShares DWA Momentum Portfolio_High_change,PowerShares DWA Momentum Portfolio_Low_average,PowerShares DWA Momentum Portfolio_Low_max,PowerShares DWA Momentum Portfolio_Low_min,PowerShares DWA Momentum Portfolio_Low_volatility,PowerShares DWA Momentum Portfolio_Low_change,PowerShares DWA Momentum Portfolio_Close_average,PowerShares DWA Momentum Portfolio_Close_max,PowerShares DWA Momentum Portfolio_Close_min,PowerShares DWA Momentum Portfolio_Close_volatility,PowerShares DWA Momentum Portfolio_Close_change
2018-01-14,54.47,54.47,54.47,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2018-01-21,55.55,55.55,55.55,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2018-01-28,53.56,53.56,53.56,0.0,0.0,54.06,54.06,54.06,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.91,51.91,51.91,0.0,0.0
2018-02-04,51.57,51.57,51.57,0.0,0.0,52.17,52.17,52.17,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.87,51.87,51.87,0.0,0.0
2018-02-11,53.48,53.48,53.48,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2018-02-18,54.2,54.2,54.2,0.0,0.0,54.31,54.31,54.31,0.0,0.0,53.86,53.86,53.86,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2018-02-25,52.42,52.42,52.42,0.0,0.0,53.24,53.24,53.24,0.0,0.0,52.27,52.27,52.27,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2018-03-04,55.09,55.09,55.09,0.0,0.0,55.11,55.11,55.11,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2018-03-11,54.18,54.18,54.18,0.0,0.0,54.35,54.35,54.35,0.0,0.0,53.56,53.56,53.56,0.0,0.0,54.02,54.02,54.02,0.0,0.0
2018-03-18,52.6,52.6,52.6,0.0,0.0,53.27,53.27,53.27,0.0,0.0,52.19,52.19,52.19,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-03-25,52.31,52.31,52.31,0.0,0.0,52.6,52.6,52.6,0.0,0.0,50.81,50.81,50.81,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2018-04-01,52.04,52.04,52.04,0.0,0.0,52.62,52.62,52.62,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-04-08,53.06,53.06,53.06,0.0,0.0,53.37,53.37,53.37,0.0,0.0,52.97,52.97,52.97,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2018-04-15,53.66,53.66,53.66,0.0,0.0,53.79,53.79,53.79,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.43,53.43,53.43,0.0,0.0
2018-04-22,53.22,53.22,53.22,0.0,0.0,53.35,53.35,53.35,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2018-04-29,53.77,53.77,53.77,0.0,0.0,54.22,54.22,54.22,0.0,0.0,53.74,53.74,53.74,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-05-06,55.5,55.5,55.5,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2018-05-13,55.4,55.4,55.4,0.0,0.0,55.83,55.83,55.83,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2018-05-20,55.56,55.56,55.56,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.52,55.52,55.52,0.0,0.0
