Date,MomentumShares International Quantitative Momentum_Open_average,MomentumShares International Quantitative Momentum_Open_max,MomentumShares International Quantitative Momentum_Open_min,MomentumShares International Quantitative Momentum_Open_volatility,MomentumShares International Quantitative Momentum_Open_change,MomentumShares International Quantitative Momentum_High_average,MomentumShares International Quantitative Momentum_High_max,MomentumShares International Quantitative Momentum_High_min,MomentumShares International Quantitative Momentum_High_volatility,MomentumShares International Quantitative Momentum_High_change,MomentumShares International Quantitative Momentum_Low_average,MomentumShares International Quantitative Momentum_Low_max,MomentumShares International Quantitative Momentum_Low_min,MomentumShares International Quantitative Momentum_Low_volatility,MomentumShares International Quantitative Momentum_Low_change,MomentumShares International Quantitative Momentum_Close_average,MomentumShares International Quantitative Momentum_Close_max,MomentumShares International Quantitative Momentum_Close_min,MomentumShares International Quantitative Momentum_Close_volatility,MomentumShares International Quantitative Momentum_Close_change
2018-03-25,30.92,30.92,30.92,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-04-01,30.4,30.4,30.4,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-04-08,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-04-15,30.31,30.31,30.31,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-04-22,29.83,29.83,29.83,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2018-04-29,29.7,29.7,29.7,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-05-06,30.39,30.39,30.39,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-05-13,30.28,30.28,30.28,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2018-05-20,30.52,30.52,30.52,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2018-05-27,30.77,30.77,30.77,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-06-03,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-06-10,30.21,30.21,30.21,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2018-06-17,29.8,29.8,29.8,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-06-24,29.03,29.03,29.03,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-07-01,28.84,28.84,28.84,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-07-08,29.53,29.53,29.53,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-07-15,29.05,29.05,29.05,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-07-22,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-07-29,28.57,28.57,28.57,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2018-08-05,28.47,28.47,28.47,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-08-12,26.61,26.61,26.61,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-08-19,27.48,27.48,27.48,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-08-26,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-09-02,27.03,27.03,27.03,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2018-09-09,27.98,27.98,27.98,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2018-09-16,28.33,28.33,28.33,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-09-23,28.44,28.44,28.44,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-09-30,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-10-07,25.96,25.96,25.96,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-10-14,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-10-21,24.06,24.06,24.06,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-10-28,25.61,25.61,25.61,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-11-04,25.55,25.55,25.55,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-11-11,24.62,24.62,24.62,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2018-11-18,24.18,24.18,24.18,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-11-25,24.96,24.96,24.96,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-12-02,24.78,24.78,24.78,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2018-12-09,24.14,24.14,24.14,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-12-16,22.97,22.97,22.97,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-12-23,23.15,23.15,23.15,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.15,23.15,23.15,0.0,0.0
2018-12-30,23.67,23.67,23.67,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2019-01-06,24.34,24.34,24.34,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2019-01-13,24.85,24.85,24.85,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2019-01-20,24.77,24.77,24.77,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2019-01-27,24.83,24.83,24.83,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2019-02-03,24.28,24.28,24.28,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2019-02-10,24.77,24.77,24.77,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2019-02-17,24.82,24.82,24.82,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2019-02-24,25.42,25.42,25.42,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2019-03-03,25.14,25.14,25.14,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2019-03-10,25.89,25.89,25.89,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2019-03-17,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2019-03-24,25.79,25.79,25.79,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2019-03-31,26.01,26.01,26.01,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2019-04-07,26.1,26.1,26.1,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2019-04-14,25.86,25.86,25.86,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2019-04-21,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-04-28,25.99,25.99,25.99,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2019-05-05,25.43,25.43,25.43,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2019-05-12,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2019-05-19,25.59,25.59,25.59,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2019-05-26,24.97,24.97,24.97,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2019-06-02,25.91,25.91,25.91,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2019-06-09,25.91,25.91,25.91,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2019-06-16,26.19,26.19,26.19,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2019-06-23,26.21,26.21,26.21,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2019-06-30,26.17,26.17,26.17,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2019-07-07,26.27,26.27,26.27,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2019-07-14,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2019-07-21,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2019-07-28,25.8,25.8,25.8,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2019-08-04,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2019-08-11,25.01,25.01,25.01,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2019-08-18,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2019-08-25,25.84,25.84,25.84,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-09-01,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2019-09-08,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2019-09-15,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2019-09-22,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2019-09-29,25.23,25.23,25.23,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2019-10-06,25.73,25.73,25.73,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2019-10-13,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2019-10-20,25.71,25.71,25.71,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2019-10-27,26.14,26.14,26.14,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2019-11-03,25.99,25.99,25.99,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.99,25.99,25.99,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2019-11-10,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2019-11-17,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2019-11-24,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.39,26.39,26.39,0.0,0.0
2019-12-01,26.36,26.36,26.36,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2019-12-08,26.5,26.5,26.5,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.53,26.53,26.53,0.0,0.0
2019-12-15,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2019-12-22,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2019-12-29,27.13,27.13,27.13,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
