Date,MomentumShares International Quantitative Momentum_Open_average,MomentumShares International Quantitative Momentum_Open_max,MomentumShares International Quantitative Momentum_Open_min,MomentumShares International Quantitative Momentum_Open_volatility,MomentumShares International Quantitative Momentum_Open_change,MomentumShares International Quantitative Momentum_High_average,MomentumShares International Quantitative Momentum_High_max,MomentumShares International Quantitative Momentum_High_min,MomentumShares International Quantitative Momentum_High_volatility,MomentumShares International Quantitative Momentum_High_change,MomentumShares International Quantitative Momentum_Low_average,MomentumShares International Quantitative Momentum_Low_max,MomentumShares International Quantitative Momentum_Low_min,MomentumShares International Quantitative Momentum_Low_volatility,MomentumShares International Quantitative Momentum_Low_change,MomentumShares International Quantitative Momentum_Close_average,MomentumShares International Quantitative Momentum_Close_max,MomentumShares International Quantitative Momentum_Close_min,MomentumShares International Quantitative Momentum_Close_volatility,MomentumShares International Quantitative Momentum_Close_change
2018-01-14,32.56,32.56,32.56,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2018-01-21,32.63,32.63,32.63,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-01-28,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-02-04,29.44,29.44,29.44,0.0,0.0,29.44,29.44,29.44,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-02-11,31.05,31.05,31.05,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-02-18,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-02-25,30.5,30.5,30.5,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-03-04,31.22,31.22,31.22,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-03-11,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-03-18,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0
