Date,Vanguard Intermediate-Term Corporate Bond_Open_average,Vanguard Intermediate-Term Corporate Bond_Open_max,Vanguard Intermediate-Term Corporate Bond_Open_min,Vanguard Intermediate-Term Corporate Bond_Open_volatility,Vanguard Intermediate-Term Corporate Bond_Open_change,Vanguard Intermediate-Term Corporate Bond_High_average,Vanguard Intermediate-Term Corporate Bond_High_max,Vanguard Intermediate-Term Corporate Bond_High_min,Vanguard Intermediate-Term Corporate Bond_High_volatility,Vanguard Intermediate-Term Corporate Bond_High_change,Vanguard Intermediate-Term Corporate Bond_Low_average,Vanguard Intermediate-Term Corporate Bond_Low_max,Vanguard Intermediate-Term Corporate Bond_Low_min,Vanguard Intermediate-Term Corporate Bond_Low_volatility,Vanguard Intermediate-Term Corporate Bond_Low_change,Vanguard Intermediate-Term Corporate Bond_Close_average,Vanguard Intermediate-Term Corporate Bond_Close_max,Vanguard Intermediate-Term Corporate Bond_Close_min,Vanguard Intermediate-Term Corporate Bond_Close_volatility,Vanguard Intermediate-Term Corporate Bond_Close_change
2018-01-14,86.44,86.44,86.44,0.0,0.0,86.5,86.5,86.5,0.0,0.0,86.33,86.33,86.33,0.0,0.0,86.38,86.38,86.38,0.0,0.0
2018-01-21,86.42,86.42,86.42,0.0,0.0,86.46,86.46,86.46,0.0,0.0,86.3,86.3,86.3,0.0,0.0,86.43,86.43,86.43,0.0,0.0
2018-01-28,85.63,85.63,85.63,0.0,0.0,86.02,86.02,86.02,0.0,0.0,85.44,85.44,85.44,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2018-02-04,85.05,85.05,85.05,0.0,0.0,85.07,85.07,85.07,0.0,0.0,84.92,84.92,84.92,0.0,0.0,84.98,84.98,84.98,0.0,0.0
2018-02-11,84.97,84.97,84.97,0.0,0.0,85.1,85.1,85.1,0.0,0.0,84.95,84.95,84.95,0.0,0.0,85.03,85.03,85.03,0.0,0.0
2018-02-18,85.1,85.1,85.1,0.0,0.0,85.22,85.22,85.22,0.0,0.0,85.08,85.08,85.08,0.0,0.0,85.09,85.09,85.09,0.0,0.0
2018-02-25,84.65,84.65,84.65,0.0,0.0,84.66,84.66,84.66,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.41,84.41,84.41,0.0,0.0
2018-03-04,84.43,84.43,84.43,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.38,84.38,84.38,0.0,0.0,84.47,84.47,84.47,0.0,0.0
2018-03-11,84.41,84.41,84.41,0.0,0.0,84.52,84.52,84.52,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.38,84.38,84.38,0.0,0.0
2018-03-18,84.22,84.22,84.22,0.0,0.0,84.25,84.25,84.25,0.0,0.0,84.09,84.09,84.09,0.0,0.0,84.16,84.16,84.16,0.0,0.0
2018-03-25,84.58,84.58,84.58,0.0,0.0,84.64,84.64,84.64,0.0,0.0,84.42,84.42,84.42,0.0,0.0,84.56,84.56,84.56,0.0,0.0
2018-04-01,84.52,84.52,84.52,0.0,0.0,84.62,84.62,84.62,0.0,0.0,84.47,84.47,84.47,0.0,0.0,84.62,84.62,84.62,0.0,0.0
2018-04-08,84.37,84.37,84.37,0.0,0.0,84.49,84.49,84.49,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.46,84.46,84.46,0.0,0.0
2018-04-15,83.75,83.75,83.75,0.0,0.0,83.78,83.78,83.78,0.0,0.0,83.62,83.62,83.62,0.0,0.0,83.68,83.68,83.68,0.0,0.0
2018-04-22,83.72,83.72,83.72,0.0,0.0,83.78,83.78,83.78,0.0,0.0,83.67,83.67,83.67,0.0,0.0,83.67,83.67,83.67,0.0,0.0
2018-04-29,83.41,83.41,83.41,0.0,0.0,83.42,83.42,83.42,0.0,0.0,83.35,83.35,83.35,0.0,0.0,83.38,83.38,83.38,0.0,0.0
2018-05-06,83.45,83.45,83.45,0.0,0.0,83.46,83.46,83.46,0.0,0.0,83.36,83.36,83.36,0.0,0.0,83.38,83.38,83.38,0.0,0.0
2018-05-13,83.04,83.04,83.04,0.0,0.0,83.13,83.13,83.13,0.0,0.0,82.99,82.99,82.99,0.0,0.0,83.12,83.12,83.12,0.0,0.0
2018-05-20,83.7,83.7,83.7,0.0,0.0,83.81,83.81,83.81,0.0,0.0,83.7,83.7,83.7,0.0,0.0,83.8,83.8,83.8,0.0,0.0
2018-05-27,83.44,83.44,83.44,0.0,0.0,83.48,83.48,83.48,0.0,0.0,83.32,83.32,83.32,0.0,0.0,83.34,83.34,83.34,0.0,0.0
2018-06-03,83.23,83.23,83.23,0.0,0.0,83.32,83.32,83.32,0.0,0.0,83.22,83.22,83.22,0.0,0.0,83.27,83.27,83.27,0.0,0.0
2018-06-10,83.39,83.39,83.39,0.0,0.0,83.41,83.41,83.41,0.0,0.0,83.29,83.29,83.29,0.0,0.0,83.37,83.37,83.37,0.0,0.0
2018-06-17,83.3,83.3,83.3,0.0,0.0,83.37,83.37,83.37,0.0,0.0,83.18,83.18,83.18,0.0,0.0,83.2,83.2,83.2,0.0,0.0
2018-06-24,83.31,83.31,83.31,0.0,0.0,83.36,83.36,83.36,0.0,0.0,83.2,83.2,83.2,0.0,0.0,83.24,83.24,83.24,0.0,0.0
2018-07-01,83.61,83.61,83.61,0.0,0.0,83.68,83.68,83.68,0.0,0.0,83.6,83.6,83.6,0.0,0.0,83.66,83.66,83.66,0.0,0.0
2018-07-08,83.85,83.85,83.85,0.0,0.0,83.85,83.85,83.85,0.0,0.0,83.65,83.65,83.65,0.0,0.0,83.8,83.8,83.8,0.0,0.0
2018-07-15,83.72,83.72,83.72,0.0,0.0,83.75,83.75,83.75,0.0,0.0,83.47,83.47,83.47,0.0,0.0,83.52,83.52,83.52,0.0,0.0
2018-07-22,83.74,83.74,83.74,0.0,0.0,83.81,83.81,83.81,0.0,0.0,83.7,83.7,83.7,0.0,0.0,83.73,83.73,83.73,0.0,0.0
2018-07-29,83.89,83.89,83.89,0.0,0.0,84.0,84.0,84.0,0.0,0.0,83.81,83.81,83.81,0.0,0.0,83.91,83.91,83.91,0.0,0.0
2018-08-05,83.93,83.93,83.93,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.87,83.87,83.87,0.0,0.0,83.94,83.94,83.94,0.0,0.0
2018-08-12,84.38,84.38,84.38,0.0,0.0,84.45,84.45,84.45,0.0,0.0,84.34,84.34,84.34,0.0,0.0,84.42,84.42,84.42,0.0,0.0
2018-08-19,84.3,84.3,84.3,0.0,0.0,84.38,84.38,84.38,0.0,0.0,84.27,84.27,84.27,0.0,0.0,84.31,84.31,84.31,0.0,0.0
2018-08-26,84.24,84.24,84.24,0.0,0.0,84.26,84.26,84.26,0.0,0.0,84.14,84.14,84.14,0.0,0.0,84.17,84.17,84.17,0.0,0.0
2018-09-02,83.67,83.67,83.67,0.0,0.0,83.71,83.71,83.71,0.0,0.0,83.66,83.66,83.66,0.0,0.0,83.69,83.69,83.69,0.0,0.0
2018-09-09,83.54,83.54,83.54,0.0,0.0,83.64,83.64,83.64,0.0,0.0,83.52,83.52,83.52,0.0,0.0,83.57,83.57,83.57,0.0,0.0
2018-09-16,83.28,83.28,83.28,0.0,0.0,83.36,83.36,83.36,0.0,0.0,83.23,83.23,83.23,0.0,0.0,83.28,83.28,83.28,0.0,0.0
2018-09-23,83.27,83.27,83.27,0.0,0.0,83.34,83.34,83.34,0.0,0.0,83.23,83.23,83.23,0.0,0.0,83.26,83.26,83.26,0.0,0.0
2018-09-30,82.55,82.55,82.55,0.0,0.0,82.66,82.66,82.66,0.0,0.0,82.52,82.52,82.52,0.0,0.0,82.53,82.53,82.53,0.0,0.0
2018-10-07,82.73,82.73,82.73,0.0,0.0,82.77,82.77,82.77,0.0,0.0,82.66,82.66,82.66,0.0,0.0,82.69,82.69,82.69,0.0,0.0
2018-10-14,82.59,82.59,82.59,0.0,0.0,82.6,82.6,82.6,0.0,0.0,82.45,82.45,82.45,0.0,0.0,82.45,82.45,82.45,0.0,0.0
2018-10-21,82.8,82.8,82.8,0.0,0.0,82.83,82.83,82.83,0.0,0.0,82.71,82.71,82.71,0.0,0.0,82.78,82.78,82.78,0.0,0.0
2018-10-28,82.2,82.2,82.2,0.0,0.0,82.25,82.25,82.25,0.0,0.0,82.13,82.13,82.13,0.0,0.0,82.16,82.16,82.16,0.0,0.0
2018-11-04,82.32,82.32,82.32,0.0,0.0,82.35,82.35,82.35,0.0,0.0,82.18,82.18,82.18,0.0,0.0,82.22,82.22,82.22,0.0,0.0
2018-11-11,82.25,82.25,82.25,0.0,0.0,82.28,82.28,82.28,0.0,0.0,82.17,82.17,82.17,0.0,0.0,82.17,82.17,82.17,0.0,0.0
2018-11-18,82.23,82.23,82.23,0.0,0.0,82.26,82.26,82.26,0.0,0.0,82.12,82.12,82.12,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2018-11-25,81.97,81.97,81.97,0.0,0.0,82.07,82.07,82.07,0.0,0.0,81.95,81.95,81.95,0.0,0.0,82.06,82.06,82.06,0.0,0.0
