Date,ISR_stock_Open_average,ISR_stock_Open_max,ISR_stock_Open_min,ISR_stock_Open_volatility,ISR_stock_Open_change,ISR_stock_High_average,ISR_stock_High_max,ISR_stock_High_min,ISR_stock_High_volatility,ISR_stock_High_change,ISR_stock_Low_average,ISR_stock_Low_max,ISR_stock_Low_min,ISR_stock_Low_volatility,ISR_stock_Low_change,ISR_stock_Close_average,ISR_stock_Close_max,ISR_stock_Close_min,ISR_stock_Close_volatility,ISR_stock_Close_change,ISR_stock_Volume_average,ISR_stock_Volume_max,ISR_stock_Volume_min,ISR_stock_Volume_volatility,ISR_stock_Volume_change
2018-01-14,0.417875,0.44,0.4014,0.03860000000000002,-0.03860000000000002,0.43125,0.445,0.42,0.025000000000000022,-0.025000000000000022,0.40665,0.4101,0.4014,0.008700000000000041,-0.008700000000000041,0.418925,0.4278,0.4101,0.017699999999999994,-0.017000000000000015,14532,24310,8189,16121,-14974
2018-01-21,0.44144,0.46,0.4129,0.04710000000000003,0.043300000000000005,0.4681,0.4915,0.44,0.05149999999999999,0.05149999999999999,0.4391,0.4562,0.4129,0.043300000000000005,0.043300000000000005,0.45202000000000003,0.4915,0.4277,0.06379999999999997,0.06379999999999997,28392,70704,869,69835,-3078
2018-01-28,0.4753,0.4992,0.45,0.049199999999999966,-0.049199999999999966,0.49698,0.519,0.4872,0.031799999999999995,-0.031799999999999995,0.46436,0.485,0.45,0.034999999999999976,-0.034999999999999976,0.47656,0.4874,0.4653,0.02210000000000001,-0.02210000000000001,13700,32954,3345,29609,-22224
2018-02-04,0.45928,0.48,0.44,0.03999999999999998,0.02999999999999997,0.48482000000000003,0.51,0.4673,0.042700000000000016,0.021799999999999986,0.44672,0.4534,0.44,0.013400000000000023,-0.010000000000000009,0.46898,0.4798,0.4609,0.018900000000000028,9.999999999998899e-05,13012,23936,3665,20271,11288
2018-02-11,0.4476,0.47,0.41,0.06,-0.030999999999999972,0.46824,0.4799,0.455,0.024899999999999978,-0.024899999999999978,0.42,0.45,0.4,0.04999999999999999,-0.040000000000000036,0.43964,0.4505,0.41,0.040500000000000036,-0.040100000000000025,9961,15931,4922,11009,-8128
2018-02-18,0.4344,0.45,0.415,0.03500000000000003,0.03500000000000003,0.46194999999999997,0.469,0.4498,0.019199999999999995,0.019199999999999995,0.426525,0.441,0.415,0.026000000000000023,0.026000000000000023,0.4464,0.4601,0.4306,0.029500000000000026,0.029500000000000026,12128,23262,3448,19814,-14077
2018-02-25,0.44396,0.46,0.4226,0.037400000000000044,-0.015000000000000013,0.458,0.47,0.45,0.019999999999999962,-0.019999999999999962,0.41698,0.43,0.4,0.02999999999999997,-0.015100000000000002,0.43922,0.4596,0.4205,0.039100000000000024,-0.009599999999999997,12977,25512,5893,19619,-9304
2018-03-04,0.43664000000000003,0.4595,0.4222,0.0373,0.018400000000000027,0.46188,0.47,0.4595,0.010499999999999954,-0.0005000000000000004,0.42348,0.43,0.4201,0.00990000000000002,0.00990000000000002,0.44424,0.4555,0.4342,0.02130000000000004,0.01150000000000001,8853,11195,6935,4260,-2103
2018-03-11,0.43874,0.45,0.4313,0.018699999999999994,-0.015000000000000013,0.45588,0.46,0.4499,0.010099999999999998,-0.009599999999999997,0.4303,0.4313,0.43,0.0013000000000000234,0.0,0.43606,0.44,0.43,0.010000000000000009,-0.010000000000000009,10180,15914,4978,10936,9508
2018-03-18,0.42968,0.451,0.42,0.031000000000000028,0.030500000000000027,0.45188,0.46,0.4387,0.02130000000000004,-0.009000000000000008,0.41972,0.43,0.4,0.02999999999999997,0.02999999999999997,0.42934,0.45,0.4,0.04999999999999999,0.03999999999999998,12324,31494,4079,27415,-25811
