Date,Guggenheim CurrencyShares Japanese Yen_Open_average,Guggenheim CurrencyShares Japanese Yen_Open_max,Guggenheim CurrencyShares Japanese Yen_Open_min,Guggenheim CurrencyShares Japanese Yen_Open_volatility,Guggenheim CurrencyShares Japanese Yen_Open_change,Guggenheim CurrencyShares Japanese Yen_High_average,Guggenheim CurrencyShares Japanese Yen_High_max,Guggenheim CurrencyShares Japanese Yen_High_min,Guggenheim CurrencyShares Japanese Yen_High_volatility,Guggenheim CurrencyShares Japanese Yen_High_change,Guggenheim CurrencyShares Japanese Yen_Low_average,Guggenheim CurrencyShares Japanese Yen_Low_max,Guggenheim CurrencyShares Japanese Yen_Low_min,Guggenheim CurrencyShares Japanese Yen_Low_volatility,Guggenheim CurrencyShares Japanese Yen_Low_change,Guggenheim CurrencyShares Japanese Yen_Close_average,Guggenheim CurrencyShares Japanese Yen_Close_max,Guggenheim CurrencyShares Japanese Yen_Close_min,Guggenheim CurrencyShares Japanese Yen_Close_volatility,Guggenheim CurrencyShares Japanese Yen_Close_change
2018-01-14,86.65,86.65,86.65,0.0,0.0,86.65,86.65,86.65,0.0,0.0,86.27,86.27,86.27,0.0,0.0,86.48,86.48,86.48,0.0,0.0
2018-01-21,88.25,88.25,88.25,0.0,0.0,88.25,88.25,88.25,0.0,0.0,87.86,87.86,87.86,0.0,0.0,88.07,88.07,88.07,0.0,0.0
2018-01-28,87.31,87.31,87.31,0.0,0.0,87.86,87.86,87.86,0.0,0.0,87.0,87.0,87.0,0.0,0.0,87.8,87.8,87.8,0.0,0.0
2018-02-04,88.34,88.34,88.34,0.0,0.0,88.46,88.46,88.46,0.0,0.0,88.16,88.16,88.16,0.0,0.0,88.3,88.3,88.3,0.0,0.0
2018-02-11,90.27,90.27,90.27,0.0,0.0,90.52,90.52,90.52,0.0,0.0,90.15,90.15,90.15,0.0,0.0,90.22,90.22,90.22,0.0,0.0
2018-02-18,89.66,89.66,89.66,0.0,0.0,89.75,89.75,89.75,0.0,0.0,89.58,89.58,89.58,0.0,0.0,89.63,89.63,89.63,0.0,0.0
2018-02-25,90.71,90.71,90.71,0.0,0.0,90.71,90.71,90.71,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.31,90.31,90.31,0.0,0.0
2018-03-04,89.97,89.97,89.97,0.0,0.0,90.18,90.18,90.18,0.0,0.0,89.94,89.94,89.94,0.0,0.0,90.17,90.17,90.17,0.0,0.0
2018-03-11,90.29,90.29,90.29,0.0,0.0,90.62,90.62,90.62,0.0,0.0,90.26,90.26,90.26,0.0,0.0,90.32,90.32,90.32,0.0,0.0
2018-03-18,91.11,91.11,91.11,0.0,0.0,91.37,91.37,91.37,0.0,0.0,90.89,90.89,90.89,0.0,0.0,90.91,90.91,90.91,0.0,0.0
2018-03-25,90.14,90.14,90.14,0.0,0.0,90.7,90.7,90.7,0.0,0.0,90.06,90.06,90.06,0.0,0.0,90.52,90.52,90.52,0.0,0.0
2018-04-01,89.62,89.62,89.62,0.0,0.0,89.87,89.87,89.87,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.83,89.83,89.83,0.0,0.0
2018-04-08,89.32,89.32,89.32,0.0,0.0,89.5,89.5,89.5,0.0,0.0,89.31,89.31,89.31,0.0,0.0,89.44,89.44,89.44,0.0,0.0
2018-04-15,88.33,88.33,88.33,0.0,0.0,88.52,88.52,88.52,0.0,0.0,88.1,88.1,88.1,0.0,0.0,88.1,88.1,88.1,0.0,0.0
2018-04-22,87.57,87.57,87.57,0.0,0.0,87.81,87.81,87.81,0.0,0.0,87.56,87.56,87.56,0.0,0.0,87.65,87.65,87.65,0.0,0.0
