Date,Direxion Daily CSI China Internet Bull 2X Shares_etf_Open_average,Direxion Daily CSI China Internet Bull 2X Shares_etf_Open_max,Direxion Daily CSI China Internet Bull 2X Shares_etf_Open_min,Direxion Daily CSI China Internet Bull 2X Shares_etf_Open_volatility,Direxion Daily CSI China Internet Bull 2X Shares_etf_Open_change,Direxion Daily CSI China Internet Bull 2X Shares_etf_High_average,Direxion Daily CSI China Internet Bull 2X Shares_etf_High_max,Direxion Daily CSI China Internet Bull 2X Shares_etf_High_min,Direxion Daily CSI China Internet Bull 2X Shares_etf_High_volatility,Direxion Daily CSI China Internet Bull 2X Shares_etf_High_change,Direxion Daily CSI China Internet Bull 2X Shares_etf_Low_average,Direxion Daily CSI China Internet Bull 2X Shares_etf_Low_max,Direxion Daily CSI China Internet Bull 2X Shares_etf_Low_min,Direxion Daily CSI China Internet Bull 2X Shares_etf_Low_volatility,Direxion Daily CSI China Internet Bull 2X Shares_etf_Low_change,Direxion Daily CSI China Internet Bull 2X Shares_etf_Close_average,Direxion Daily CSI China Internet Bull 2X Shares_etf_Close_max,Direxion Daily CSI China Internet Bull 2X Shares_etf_Close_min,Direxion Daily CSI China Internet Bull 2X Shares_etf_Close_volatility,Direxion Daily CSI China Internet Bull 2X Shares_etf_Close_change
2018-01-14,63.0,63.0,63.0,0.0,0.0,63.28,63.28,63.28,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.62,62.62,62.62,0.0,0.0
2018-01-21,67.49,67.49,67.49,0.0,0.0,69.08,69.08,69.08,0.0,0.0,67.3,67.3,67.3,0.0,0.0,68.87,68.87,68.87,0.0,0.0
2018-01-28,61.24,61.24,61.24,0.0,0.0,61.24,61.24,61.24,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.66,57.66,57.66,0.0,0.0
2018-02-04,48.9,48.9,48.9,0.0,0.0,50.4,50.4,50.4,0.0,0.0,46.0,46.0,46.0,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-02-11,61.58,61.58,61.58,0.0,0.0,61.99,61.99,61.99,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2018-02-18,62.03,62.03,62.03,0.0,0.0,64.42,64.42,64.42,0.0,0.0,61.71,61.71,61.71,0.0,0.0,64.39,64.39,64.39,0.0,0.0
2018-02-25,55.06,55.06,55.06,0.0,0.0,59.45,59.45,59.45,0.0,0.0,54.45,54.45,54.45,0.0,0.0,59.33,59.33,59.33,0.0,0.0
2018-03-04,63.99,63.99,63.99,0.0,0.0,65.39,65.39,65.39,0.0,0.0,63.09,63.09,63.09,0.0,0.0,65.19,65.19,65.19,0.0,0.0
2018-03-11,65.12,65.12,65.12,0.0,0.0,65.16,65.16,65.16,0.0,0.0,64.32,64.32,64.32,0.0,0.0,65.06,65.06,65.06,0.0,0.0
2018-03-18,57.01,57.01,57.01,0.0,0.0,58.77,58.77,58.77,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.37,55.37,55.37,0.0,0.0
2018-03-25,52.53,52.53,52.53,0.0,0.0,54.49,54.49,54.49,0.0,0.0,51.88,51.88,51.88,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2018-04-01,50.69,50.69,50.69,0.0,0.0,52.0,52.0,52.0,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-04-08,53.0,53.0,53.0,0.0,0.0,53.15,53.15,53.15,0.0,0.0,49.64,49.64,49.64,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-04-15,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0,49.71,49.71,49.71,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-04-22,48.37,48.37,48.37,0.0,0.0,49.0,49.0,49.0,0.0,0.0,47.32,47.32,47.32,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2018-04-29,47.83,47.83,47.83,0.0,0.0,49.95,49.95,49.95,0.0,0.0,47.83,47.83,47.83,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-05-06,54.79,54.79,54.79,0.0,0.0,54.89,54.89,54.89,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2018-05-13,52.0,52.0,52.0,0.0,0.0,52.26,52.26,52.26,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-05-20,51.01,51.01,51.01,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-05-27,53.95,53.95,53.95,0.0,0.0,56.69,56.69,56.69,0.0,0.0,53.89,53.89,53.89,0.0,0.0,56.28,56.28,56.28,0.0,0.0
2018-06-03,56.67,56.67,56.67,0.0,0.0,59.77,59.77,59.77,0.0,0.0,56.67,56.67,56.67,0.0,0.0,59.37,59.37,59.37,0.0,0.0
2018-06-10,59.94,59.94,59.94,0.0,0.0,61.5,61.5,61.5,0.0,0.0,59.0,59.0,59.0,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2018-06-17,56.64,56.64,56.64,0.0,0.0,56.64,56.64,56.64,0.0,0.0,54.82,54.82,54.82,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2018-06-24,49.5,49.5,49.5,0.0,0.0,49.9,49.9,49.9,0.0,0.0,48.8,48.8,48.8,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-07-01,46.91,46.91,46.91,0.0,0.0,49.4,49.4,49.4,0.0,0.0,46.91,46.91,46.91,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-07-08,50.36,50.36,50.36,0.0,0.0,50.5,50.5,50.5,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2018-07-15,47.07,47.07,47.07,0.0,0.0,47.94,47.94,47.94,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.3,47.3,47.3,0.0,0.0
