Date,WisdomTree Emerging Currency Strategy_Open_average,WisdomTree Emerging Currency Strategy_Open_max,WisdomTree Emerging Currency Strategy_Open_min,WisdomTree Emerging Currency Strategy_Open_volatility,WisdomTree Emerging Currency Strategy_Open_change,WisdomTree Emerging Currency Strategy_High_average,WisdomTree Emerging Currency Strategy_High_max,WisdomTree Emerging Currency Strategy_High_min,WisdomTree Emerging Currency Strategy_High_volatility,WisdomTree Emerging Currency Strategy_High_change,WisdomTree Emerging Currency Strategy_Low_average,WisdomTree Emerging Currency Strategy_Low_max,WisdomTree Emerging Currency Strategy_Low_min,WisdomTree Emerging Currency Strategy_Low_volatility,WisdomTree Emerging Currency Strategy_Low_change,WisdomTree Emerging Currency Strategy_Close_average,WisdomTree Emerging Currency Strategy_Close_max,WisdomTree Emerging Currency Strategy_Close_min,WisdomTree Emerging Currency Strategy_Close_volatility,WisdomTree Emerging Currency Strategy_Close_change
2018-01-14,19.85,19.85,19.85,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2018-01-21,19.94,19.94,19.94,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2018-01-28,19.85,19.85,19.85,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2018-02-04,19.68,19.68,19.68,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-02-11,20.01,20.01,20.01,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2018-02-18,19.97,19.97,19.97,0.0,0.0,20.0,20.0,20.0,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2018-02-25,19.79,19.79,19.79,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-03-04,19.83,19.83,19.83,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2018-03-11,19.7,19.7,19.7,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.73,19.73,19.73,0.0,0.0
2018-03-18,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2018-03-25,19.7,19.7,19.7,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2018-04-01,19.7,19.7,19.7,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-04-08,19.76,19.76,19.76,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2018-04-15,19.56,19.56,19.56,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-04-22,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-04-29,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2018-05-06,19.28,19.28,19.28,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2018-05-13,18.9,18.9,18.9,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2018-05-20,19.01,19.01,19.01,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2018-05-27,19.03,19.03,19.03,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2018-06-03,18.94,18.94,18.94,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.91,18.91,18.91,0.0,0.0
2018-06-10,18.74,18.74,18.74,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.75,18.75,18.75,0.0,0.0
2018-06-17,18.71,18.71,18.71,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2018-06-24,18.48,18.48,18.48,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2018-07-01,18.75,18.75,18.75,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2018-07-08,18.73,18.73,18.73,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.67,18.67,18.67,0.0,0.0
2018-07-15,18.59,18.59,18.59,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2018-07-22,18.75,18.75,18.75,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.75,18.75,18.75,0.0,0.0
2018-07-29,18.65,18.65,18.65,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.61,18.61,18.61,0.0,0.0
2018-08-05,17.99,17.99,17.99,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.89,17.89,17.89,0.0,0.0
2018-08-12,18.13,18.13,18.13,0.0,0.0,18.14,18.14,18.14,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2018-08-19,18.18,18.18,18.18,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2018-08-26,17.92,17.92,17.92,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.92,17.92,17.92,0.0,0.0,17.93,17.93,17.93,0.0,0.0
2018-09-02,17.63,17.63,17.63,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-09-09,17.96,17.96,17.96,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.97,17.97,17.97,0.0,0.0
2018-09-16,18.16,18.16,18.16,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.12,18.12,18.12,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2018-09-23,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0
