Date,ProShares Ultra Industrials_Open_average,ProShares Ultra Industrials_Open_max,ProShares Ultra Industrials_Open_min,ProShares Ultra Industrials_Open_volatility,ProShares Ultra Industrials_Open_change,ProShares Ultra Industrials_High_average,ProShares Ultra Industrials_High_max,ProShares Ultra Industrials_High_min,ProShares Ultra Industrials_High_volatility,ProShares Ultra Industrials_High_change,ProShares Ultra Industrials_Low_average,ProShares Ultra Industrials_Low_max,ProShares Ultra Industrials_Low_min,ProShares Ultra Industrials_Low_volatility,ProShares Ultra Industrials_Low_change,ProShares Ultra Industrials_Close_average,ProShares Ultra Industrials_Close_max,ProShares Ultra Industrials_Close_min,ProShares Ultra Industrials_Close_volatility,ProShares Ultra Industrials_Close_change
2018-01-14,80.47,80.47,80.47,0.0,0.0,80.85,80.85,80.85,0.0,0.0,80.17,80.17,80.17,0.0,0.0,80.6,80.6,80.6,0.0,0.0
2018-01-21,82.42,82.42,82.42,0.0,0.0,82.46,82.46,82.46,0.0,0.0,82.1,82.1,82.1,0.0,0.0,82.1,82.1,82.1,0.0,0.0
2018-01-28,75.87,75.87,75.87,0.0,0.0,76.91,76.91,76.91,0.0,0.0,69.71,69.71,69.71,0.0,0.0,70.93,70.93,70.93,0.0,0.0
2018-02-04,69.94,69.94,69.94,0.0,0.0,71.42,71.42,71.42,0.0,0.0,69.0,69.0,69.0,0.0,0.0,70.96,70.96,70.96,0.0,0.0
2018-02-11,74.74,74.74,74.74,0.0,0.0,76.25,76.25,76.25,0.0,0.0,74.74,74.74,74.74,0.0,0.0,75.67,75.67,75.67,0.0,0.0
2018-02-18,77.0,77.0,77.0,0.0,0.0,77.61,77.61,77.61,0.0,0.0,75.77,75.77,75.77,0.0,0.0,77.24,77.24,77.24,0.0,0.0
2018-02-25,70.14,70.14,70.14,0.0,0.0,72.81,72.81,72.81,0.0,0.0,70.13,70.13,70.13,0.0,0.0,72.81,72.81,72.81,0.0,0.0
2018-03-04,76.81,76.81,76.81,0.0,0.0,76.81,76.81,76.81,0.0,0.0,75.68,75.68,75.68,0.0,0.0,76.1,76.1,76.1,0.0,0.0
2018-03-11,74.18,74.18,74.18,0.0,0.0,74.18,74.18,74.18,0.0,0.0,72.15,72.15,72.15,0.0,0.0,72.65,72.65,72.65,0.0,0.0
2018-03-18,68.66,68.66,68.66,0.0,0.0,68.69,68.69,68.69,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.67,68.67,68.67,0.0,0.0
2018-03-25,68.85,68.85,68.85,0.0,0.0,68.85,68.85,68.85,0.0,0.0,65.19,65.19,65.19,0.0,0.0,65.7,65.7,65.7,0.0,0.0
2018-04-01,67.58,67.58,67.58,0.0,0.0,68.12,68.12,68.12,0.0,0.0,66.19,66.19,66.19,0.0,0.0,66.19,66.19,66.19,0.0,0.0
2018-04-08,70.08,70.08,70.08,0.0,0.0,70.08,70.08,70.08,0.0,0.0,70.08,70.08,70.08,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-04-15,73.02,73.02,73.02,0.0,0.0,73.02,73.02,73.02,0.0,0.0,71.14,71.14,71.14,0.0,0.0,71.14,71.14,71.14,0.0,0.0
2018-04-22,67.44,67.44,67.44,0.0,0.0,67.44,67.44,67.44,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-04-29,66.46,66.46,66.46,0.0,0.0,67.65,67.65,67.65,0.0,0.0,66.46,66.46,66.46,0.0,0.0,67.15,67.15,67.15,0.0,0.0
2018-05-06,71.4,71.4,71.4,0.0,0.0,71.4,71.4,71.4,0.0,0.0,70.58,70.58,70.58,0.0,0.0,70.6,70.6,70.6,0.0,0.0
2018-05-13,71.79,71.79,71.79,0.0,0.0,74.4,74.4,74.4,0.0,0.0,71.79,71.79,71.79,0.0,0.0,73.71,73.71,73.71,0.0,0.0
2018-05-20,72.43,72.43,72.43,0.0,0.0,72.43,72.43,72.43,0.0,0.0,72.22,72.22,72.22,0.0,0.0,72.22,72.22,72.22,0.0,0.0
2018-05-27,73.1,73.1,73.1,0.0,0.0,73.1,73.1,73.1,0.0,0.0,72.46,72.46,72.46,0.0,0.0,72.46,72.46,72.46,0.0,0.0
2018-06-03,74.89,74.89,74.89,0.0,0.0,75.07,75.07,75.07,0.0,0.0,74.89,74.89,74.89,0.0,0.0,75.07,75.07,75.07,0.0,0.0
2018-06-10,73.18,73.18,73.18,0.0,0.0,73.18,73.18,73.18,0.0,0.0,73.09,73.09,73.09,0.0,0.0,73.11,73.11,73.11,0.0,0.0
2018-06-17,68.63,68.63,68.63,0.0,0.0,68.63,68.63,68.63,0.0,0.0,68.63,68.63,68.63,0.0,0.0,68.63,68.63,68.63,0.0,0.0
2018-06-24,66.9,66.9,66.9,0.0,0.0,67.46,67.46,67.46,0.0,0.0,66.89,66.89,66.89,0.0,0.0,67.26,67.26,67.26,0.0,0.0
2018-07-01,70.91,70.91,70.91,0.0,0.0,70.94,70.94,70.94,0.0,0.0,70.68,70.68,70.68,0.0,0.0,70.68,70.68,70.68,0.0,0.0
2018-07-08,71.69,71.69,71.69,0.0,0.0,71.69,71.69,71.69,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.28,71.28,71.28,0.0,0.0
2018-07-15,71.82,71.82,71.82,0.0,0.0,72.16,72.16,72.16,0.0,0.0,71.69,71.69,71.69,0.0,0.0,72.16,72.16,72.16,0.0,0.0
2018-07-22,74.48,74.48,74.48,0.0,0.0,74.48,74.48,74.48,0.0,0.0,72.68,72.68,72.68,0.0,0.0,72.68,72.68,72.68,0.0,0.0
2018-07-29,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0
2018-08-05,72.88,72.88,72.88,0.0,0.0,73.3,73.3,73.3,0.0,0.0,72.52,72.52,72.52,0.0,0.0,72.74,72.74,72.74,0.0,0.0
2018-08-12,75.82,75.82,75.82,0.0,0.0,76.13,76.13,76.13,0.0,0.0,75.82,75.82,75.82,0.0,0.0,76.13,76.13,76.13,0.0,0.0
2018-08-19,77.26,77.26,77.26,0.0,0.0,78.25,78.25,78.25,0.0,0.0,77.26,77.26,77.26,0.0,0.0,78.06,78.06,78.06,0.0,0.0
2018-08-26,78.34,78.34,78.34,0.0,0.0,78.34,78.34,78.34,0.0,0.0,78.34,78.34,78.34,0.0,0.0,78.34,78.34,78.34,0.0,0.0
2018-09-02,78.92,78.92,78.92,0.0,0.0,79.05,79.05,79.05,0.0,0.0,78.73,78.73,78.73,0.0,0.0,79.05,79.05,79.05,0.0,0.0
2018-09-09,80.9,80.9,80.9,0.0,0.0,80.9,80.9,80.9,0.0,0.0,80.9,80.9,80.9,0.0,0.0,80.9,80.9,80.9,0.0,0.0
2018-09-16,80.73,80.73,80.73,0.0,0.0,80.89,80.89,80.89,0.0,0.0,80.63,80.63,80.63,0.0,0.0,80.65,80.65,80.65,0.0,0.0
2018-09-23,81.09,81.09,81.09,0.0,0.0,81.46,81.46,81.46,0.0,0.0,80.86,80.86,80.86,0.0,0.0,80.86,80.86,80.86,0.0,0.0
2018-09-30,80.92,80.92,80.92,0.0,0.0,80.92,80.92,80.92,0.0,0.0,79.24,79.24,79.24,0.0,0.0,79.24,79.24,79.24,0.0,0.0
