Date,PowerShares FTSE International Low Beta Equal Weig_Open_average,PowerShares FTSE International Low Beta Equal Weig_Open_max,PowerShares FTSE International Low Beta Equal Weig_Open_min,PowerShares FTSE International Low Beta Equal Weig_Open_volatility,PowerShares FTSE International Low Beta Equal Weig_Open_change,PowerShares FTSE International Low Beta Equal Weig_High_average,PowerShares FTSE International Low Beta Equal Weig_High_max,PowerShares FTSE International Low Beta Equal Weig_High_min,PowerShares FTSE International Low Beta Equal Weig_High_volatility,PowerShares FTSE International Low Beta Equal Weig_High_change,PowerShares FTSE International Low Beta Equal Weig_Low_average,PowerShares FTSE International Low Beta Equal Weig_Low_max,PowerShares FTSE International Low Beta Equal Weig_Low_min,PowerShares FTSE International Low Beta Equal Weig_Low_volatility,PowerShares FTSE International Low Beta Equal Weig_Low_change,PowerShares FTSE International Low Beta Equal Weig_Close_average,PowerShares FTSE International Low Beta Equal Weig_Close_max,PowerShares FTSE International Low Beta Equal Weig_Close_min,PowerShares FTSE International Low Beta Equal Weig_Close_volatility,PowerShares FTSE International Low Beta Equal Weig_Close_change
2018-01-14,31.27,31.27,31.27,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2018-01-21,31.79,31.79,31.79,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-01-28,30.61,30.61,30.61,0.0,0.0,30.61,30.61,30.61,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-02-04,29.62,29.62,29.62,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-02-11,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-02-18,30.71,30.71,30.71,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-02-25,30.0,30.0,30.0,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-03-04,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-03-11,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-03-18,29.64,29.64,29.64,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-03-25,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-04-01,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-08,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-15,30.39,30.39,30.39,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-04-22,30.61,30.61,30.61,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-04-29,30.63,30.63,30.63,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-05-06,31.06,31.06,31.06,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-05-13,30.82,30.82,30.82,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-05-20,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-05-27,30.89,30.89,30.89,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2018-06-03,30.9,30.9,30.9,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-06-10,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-06-17,29.7,29.7,29.7,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-06-24,29.0,29.0,29.0,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2018-07-01,29.45,29.45,29.45,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-07-08,29.32,29.32,29.32,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-07-15,29.36,29.36,29.36,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-07-22,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-07-29,29.22,29.22,29.22,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-08-05,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2018-08-12,28.9,28.9,28.9,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-08-19,29.54,29.54,29.54,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-08-26,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-09-02,28.5,28.5,28.5,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-09-09,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-09-16,29.64,29.64,29.64,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-09-23,29.62,29.62,29.62,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2018-09-30,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-10-07,27.68,27.68,27.68,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-10-14,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2018-10-21,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2018-10-28,27.32,27.32,27.32,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2018-11-04,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-11-11,27.16,27.16,27.16,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.3,27.3,27.3,0.0,0.0
