Date,ProShares Ultra 20+ Year Treasury_Open_average,ProShares Ultra 20+ Year Treasury_Open_max,ProShares Ultra 20+ Year Treasury_Open_min,ProShares Ultra 20+ Year Treasury_Open_volatility,ProShares Ultra 20+ Year Treasury_Open_change,ProShares Ultra 20+ Year Treasury_High_average,ProShares Ultra 20+ Year Treasury_High_max,ProShares Ultra 20+ Year Treasury_High_min,ProShares Ultra 20+ Year Treasury_High_volatility,ProShares Ultra 20+ Year Treasury_High_change,ProShares Ultra 20+ Year Treasury_Low_average,ProShares Ultra 20+ Year Treasury_Low_max,ProShares Ultra 20+ Year Treasury_Low_min,ProShares Ultra 20+ Year Treasury_Low_volatility,ProShares Ultra 20+ Year Treasury_Low_change,ProShares Ultra 20+ Year Treasury_Close_average,ProShares Ultra 20+ Year Treasury_Close_max,ProShares Ultra 20+ Year Treasury_Close_min,ProShares Ultra 20+ Year Treasury_Close_volatility,ProShares Ultra 20+ Year Treasury_Close_change
2018-01-14,78.62,78.62,78.62,0.0,0.0,79.1,79.1,79.1,0.0,0.0,78.27,78.27,78.27,0.0,0.0,78.5,78.5,78.5,0.0,0.0
2018-01-21,78.11,78.11,78.11,0.0,0.0,78.11,78.11,78.11,0.0,0.0,77.36,77.36,77.36,0.0,0.0,77.93,77.93,77.93,0.0,0.0
2018-01-28,73.62,73.62,73.62,0.0,0.0,76.14,76.14,76.14,0.0,0.0,73.03,73.03,73.03,0.0,0.0,75.65,75.65,75.65,0.0,0.0
2018-02-04,72.81,72.81,72.81,0.0,0.0,73.84,73.84,73.84,0.0,0.0,72.54,72.54,72.54,0.0,0.0,72.76,72.76,72.76,0.0,0.0
2018-02-11,73.36,73.36,73.36,0.0,0.0,73.51,73.51,73.51,0.0,0.0,72.78,72.78,72.78,0.0,0.0,72.98,72.98,72.98,0.0,0.0
2018-02-18,73.01,73.01,73.01,0.0,0.0,73.24,73.24,73.24,0.0,0.0,72.16,72.16,72.16,0.0,0.0,72.28,72.28,72.28,0.0,0.0
2018-02-25,73.24,73.24,73.24,0.0,0.0,73.32,73.32,73.32,0.0,0.0,71.65,71.65,71.65,0.0,0.0,72.41,72.41,72.41,0.0,0.0
2018-03-04,72.65,72.65,72.65,0.0,0.0,73.08,73.08,73.08,0.0,0.0,72.51,72.51,72.51,0.0,0.0,73.08,73.08,73.08,0.0,0.0
2018-03-11,74.17,74.17,74.17,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.06,74.06,74.06,0.0,0.0,74.08,74.08,74.08,0.0,0.0
2018-03-18,74.41,74.41,74.41,0.0,0.0,74.89,74.89,74.89,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.15,74.15,74.15,0.0,0.0
2018-03-25,76.5,76.5,76.5,0.0,0.0,77.5,77.5,77.5,0.0,0.0,76.22,76.22,76.22,0.0,0.0,77.02,77.02,77.02,0.0,0.0
