Date,CVCY_Open_average,CVCY_Open_max,CVCY_Open_min,CVCY_Open_volatility,CVCY_Open_change,CVCY_High_average,CVCY_High_max,CVCY_High_min,CVCY_High_volatility,CVCY_High_change,CVCY_Low_average,CVCY_Low_max,CVCY_Low_min,CVCY_Low_volatility,CVCY_Low_change,CVCY_Close_average,CVCY_Close_max,CVCY_Close_min,CVCY_Close_volatility,CVCY_Close_change,CVCY_Volume_average,CVCY_Volume_max,CVCY_Volume_min,CVCY_Volume_volatility,CVCY_Volume_change
2018-01-14,20.714,21.11,20.3,0.8099999999999987,0.8099999999999987,21.034,21.41,20.74,0.6700000000000017,0.6700000000000017,20.546,20.91,20.3,0.6099999999999994,0.6099999999999994,20.862,21.29,20.45,0.8399999999999999,0.8399999999999999,47799,68640,31269,37371,-27031
2018-01-21,20.69,21.4,19.45,1.9499999999999993,-1.9000000000000021,20.926,21.7,19.45,2.25,-2.0500000000000007,20.062,21.19,18.81,2.3800000000000026,-2.240000000000002,20.34,21.45,19.18,2.2699999999999996,-2.1000000000000014,36195,66240,19255,46985,13587
2018-01-28,19.322,19.55,19.05,0.5,0.17999999999999972,19.554000000000002,19.8,19.29,0.5100000000000016,-0.1700000000000017,19.098,19.37,18.69,0.6799999999999997,-0.35999999999999943,19.296,19.49,18.75,0.7399999999999984,-0.6700000000000017,27263,38746,12757,25989,10811
2018-02-04,19.358,19.8,18.55,1.25,1.25,19.694,19.95,19.47,0.4800000000000004,0.33000000000000185,19.024,19.46,18.05,1.4100000000000001,1.0599999999999987,19.446,19.75,19.19,0.5599999999999987,0.05999999999999872,42280,67019,16348,50671,-50671
2018-02-11,19.237499999999997,19.4,19.13,0.2699999999999996,0.16000000000000014,19.6825,19.93,19.37,0.5599999999999987,0.5599999999999987,19.115000000000002,19.29,19.0,0.28999999999999915,0.28999999999999915,19.3925,19.64,19.27,0.370000000000001,0.370000000000001,49134,90687,11747,78940,-13288
2018-02-18,19.404,19.54,19.2,0.33999999999999986,0.060000000000002274,19.606,19.73,19.49,0.240000000000002,-0.10000000000000142,19.232,19.25,19.2,0.05000000000000071,0.03999999999999915,19.37,19.48,19.27,0.21000000000000085,0.10000000000000142,15635,23607,9261,14346,3480
2018-02-25,19.388,19.46,19.21,0.25,0.030000000000001137,19.6,19.69,19.5,0.19000000000000128,0.0,19.2,19.31,19.1,0.2099999999999973,-0.129999999999999,19.474,19.59,19.31,0.28000000000000114,0.10999999999999943,35478,105100,14268,90832,-5090
2018-03-04,19.866,20.16,19.54,0.620000000000001,0.620000000000001,20.2,20.64,19.68,0.9600000000000009,0.9600000000000009,19.644000000000002,20.13,19.21,0.9199999999999982,0.9199999999999982,20.062,20.47,19.67,0.7999999999999972,0.7999999999999972,29910,60948,15689,45259,3107
2018-03-11,20.634,20.8,20.42,0.379999999999999,0.0799999999999983,20.816,20.87,20.77,0.10000000000000142,-0.03999999999999915,20.216,20.35,20.1,0.25,0.14000000000000057,20.663999999999998,20.81,20.43,0.379999999999999,0.0,36392,74493,13675,60818,-54948
2018-03-18,20.314,20.65,19.81,0.8399999999999999,-0.7300000000000004,20.536,20.91,19.89,1.0199999999999996,-0.9800000000000004,19.968,20.43,19.45,0.9800000000000004,-0.889999999999997,20.188,20.8,19.6,1.1999999999999993,-0.9200000000000017,20451,45148,8388,36760,34026
2018-03-25,19.605,19.83,19.28,0.5499999999999972,-0.15000000000000213,19.9825,20.38,19.58,0.8000000000000007,-0.8000000000000007,19.225,19.42,19.02,0.40000000000000213,-0.19000000000000128,19.4175,19.63,19.2,0.4299999999999997,-0.08000000000000185,17170,22103,9133,12970,10043
2018-04-01,19.474,19.9,19.03,0.8699999999999974,0.6999999999999993,19.904,20.21,19.46,0.75,0.6199999999999974,19.352,19.63,19.03,0.5999999999999979,0.33999999999999986,19.666,19.97,19.34,0.629999999999999,0.5,16503,20870,12914,7956,223
2018-04-08,19.958,20.02,19.89,0.129999999999999,0.03999999999999915,20.362,20.43,20.22,0.21000000000000085,0.0799999999999983,19.86,19.97,19.6,0.36999999999999744,0.03999999999999915,20.064,20.2,19.78,0.41999999999999815,0.07000000000000028,12872,19811,9812,9999,3326
2018-04-15,20.628,21.13,20.19,0.9399999999999977,0.9399999999999977,21.112000000000002,21.59,20.6,0.9899999999999984,0.6600000000000001,20.334,20.9,19.82,1.0799999999999983,-0.370000000000001,20.77,21.12,20.4,0.7200000000000024,0.5,22693,45817,2391,43426,-43426
2018-04-22,20.926000000000002,21.17,20.7,0.4700000000000024,-0.4400000000000013,21.172,21.36,20.98,0.379999999999999,-0.19000000000000128,20.580000000000002,20.82,20.26,0.5599999999999987,-0.46999999999999886,20.822,21.08,20.6,0.4799999999999969,-0.4799999999999969,13690,19116,8492,10624,-5828
2018-04-29,20.578,20.76,20.23,0.5300000000000011,0.14000000000000057,20.758,21.01,20.52,0.490000000000002,0.03999999999999915,20.116,20.32,19.91,0.41000000000000014,0.379999999999999,20.416,20.7,20.27,0.4299999999999997,-0.3000000000000007,7981,11658,4976,6682,368
2018-05-06,20.694,21.03,20.38,0.6500000000000021,0.6500000000000021,21.048000000000002,21.19,20.82,0.370000000000001,0.21000000000000085,20.508,20.7,20.29,0.41000000000000014,0.28999999999999915,20.842,21.0,20.68,0.3200000000000003,-0.03999999999999915,13149,27334,6495,20839,7988
2018-05-13,21.058,21.44,20.69,0.75,0.6900000000000013,21.244,21.5,20.96,0.5399999999999991,0.5399999999999991,20.762,21.2,20.2,1.0,1.0,21.067999999999998,21.44,20.58,0.860000000000003,0.860000000000003,14240,24943,4986,19957,5150
2018-05-20,21.384999999999998,21.5,21.25,0.25,0.129999999999999,21.557499999999997,21.63,21.5,0.129999999999999,0.03999999999999915,21.0825,21.25,20.83,0.4200000000000017,-0.4200000000000017,21.3925,21.47,21.32,0.14999999999999858,-0.029999999999997584,13504,16652,6132,10520,-10520
2018-05-27,21.529999999999998,21.7,21.31,0.39000000000000057,0.23000000000000043,21.674,21.99,21.49,0.5,0.5,21.352,21.6,21.25,0.3500000000000014,0.25,21.536,21.93,21.27,0.6600000000000001,0.5799999999999983,10456,19473,5455,14018,14018
2018-06-03,21.806,21.97,21.63,0.33999999999999986,0.05000000000000071,21.968,22.0,21.92,0.0799999999999983,-0.0799999999999983,21.642,21.72,21.59,0.129999999999999,-0.09999999999999787,21.77,21.82,21.7,0.120000000000001,-0.03999999999999915,16440,25110,9498,15612,-7892
2018-06-10,21.562,21.68,21.34,0.33999999999999986,0.05000000000000071,21.906,22.0,21.73,0.2699999999999996,0.14000000000000057,21.362,21.5,21.29,0.21000000000000085,-0.030000000000001137,21.674,21.8,21.46,0.33999999999999986,0.0,19925,43547,10246,33301,-1134
2018-06-17,21.526,21.76,21.3,0.46000000000000085,-0.46000000000000085,21.902,22.34,21.42,0.9199999999999982,0.33999999999999986,21.304,21.76,20.74,1.0200000000000031,-0.46000000000000085,21.662,22.19,21.25,0.9400000000000013,0.3000000000000007,86198,275138,29130,246008,15606
2018-06-24,21.768,22.2,21.17,1.0299999999999976,-1.0299999999999976,22.038,22.2,21.75,0.4499999999999993,-0.05999999999999872,21.274,21.71,21.01,0.6999999999999993,-0.5399999999999991,21.468,21.8,21.16,0.6400000000000006,-0.1999999999999993,36630,48498,27211,21287,-17875
