Date,EP_pc_Open_average,EP_pc_Open_max,EP_pc_Open_min,EP_pc_Open_volatility,EP_pc_Open_change,EP_pc_High_average,EP_pc_High_max,EP_pc_High_min,EP_pc_High_volatility,EP_pc_High_change,EP_pc_Low_average,EP_pc_Low_max,EP_pc_Low_min,EP_pc_Low_volatility,EP_pc_Low_change,EP_pc_Close_average,EP_pc_Close_max,EP_pc_Close_min,EP_pc_Close_volatility,EP_pc_Close_change,EP_pc_Volume_average,EP_pc_Volume_max,EP_pc_Volume_min,EP_pc_Volume_volatility,EP_pc_Volume_change
2018-01-14,48.61333333333334,48.74,48.5,0.240000000000002,-0.10000000000000142,48.64,48.74,48.58,0.1600000000000037,-0.020000000000003126,48.346666666666664,48.5,48.11,0.39000000000000057,0.07000000000000028,48.39,48.51,48.23,0.28000000000000114,0.0799999999999983,743,1104,204,900,718
2018-01-21,48.588,48.62,48.51,0.10999999999999943,0.0,48.72,48.75,48.67,0.0799999999999983,-0.07000000000000028,48.53,48.62,48.5,0.11999999999999744,-0.11999999999999744,48.606,48.71,48.53,0.17999999999999972,-0.11999999999999744,1750,4638,400,4238,663
2018-01-28,48.3375,48.65,48.1,0.5499999999999972,-0.5499999999999972,48.365,48.72,48.1,0.6199999999999974,-0.6199999999999974,48.235,48.63,48.1,0.5300000000000011,-0.5300000000000011,48.2375,48.64,48.1,0.5399999999999991,-0.5399999999999991,1211,1935,100,1835,-1835
2018-02-04,48.03,48.07,48.0,0.07000000000000028,-0.020000000000003126,48.03,48.07,48.0,0.07000000000000028,-0.020000000000003126,48.02666666666667,48.06,48.0,0.060000000000002274,-0.020000000000003126,48.02666666666667,48.06,48.0,0.060000000000002274,-0.020000000000003126,354,530,229,301,75
2018-02-11,48.02333333333333,48.07,48.0,0.07000000000000028,0.07000000000000028,48.053333333333335,48.09,48.0,0.09000000000000341,0.07000000000000028,48.02333333333333,48.07,48.0,0.07000000000000028,0.07000000000000028,48.04,48.07,48.0,0.07000000000000028,0.07000000000000028,419,636,117,519,387
2018-02-18,48.0575,48.1,48.0,0.10000000000000142,0.10000000000000142,48.085,48.1,48.07,0.030000000000001137,0.00999999999999801,47.9075,48.1,47.55,0.5500000000000043,0.10000000000000142,47.93,48.1,47.55,0.5500000000000043,0.00999999999999801,591,1345,200,1145,-219
2018-02-25,47.86,48.09,47.65,0.44000000000000483,0.0800000000000054,47.964,48.09,47.75,0.3400000000000034,0.0,47.696,48.01,47.5,0.509999999999998,-0.46000000000000085,47.848,48.09,47.62,0.47000000000000597,-0.45000000000000284,742,1364,245,1119,69
2018-03-04,47.63,47.81,47.5,0.3100000000000023,-0.3100000000000023,47.84,48.1,47.5,0.6000000000000014,-0.3999999999999986,47.562,47.75,47.5,0.25,0.0,47.726,48.1,47.5,0.6000000000000014,-0.030000000000001137,1304,2476,282,2194,-912
2018-03-11,46.90333333333333,47.55,45.73,1.8200000000000003,-1.8200000000000003,47.16,47.55,46.5,1.0499999999999972,-1.0499999999999972,46.61,47.5,45.73,1.7700000000000031,-1.7700000000000031,46.983333333333334,47.52,46.5,1.0200000000000031,-1.0200000000000031,1551,3569,375,3194,-335
2018-03-18,46.314,47.0,45.91,1.0900000000000034,0.8200000000000003,46.932,47.32,46.18,1.1400000000000006,1.0499999999999972,46.18,46.51,45.8,0.7100000000000009,0.3299999999999983,46.632,47.25,46.18,1.0700000000000003,0.35999999999999943,1568,3265,208,3057,1882
