Date,John Hancock Multifactor Financials_Open_average,John Hancock Multifactor Financials_Open_max,John Hancock Multifactor Financials_Open_min,John Hancock Multifactor Financials_Open_volatility,John Hancock Multifactor Financials_Open_change,John Hancock Multifactor Financials_High_average,John Hancock Multifactor Financials_High_max,John Hancock Multifactor Financials_High_min,John Hancock Multifactor Financials_High_volatility,John Hancock Multifactor Financials_High_change,John Hancock Multifactor Financials_Low_average,John Hancock Multifactor Financials_Low_max,John Hancock Multifactor Financials_Low_min,John Hancock Multifactor Financials_Low_volatility,John Hancock Multifactor Financials_Low_change,John Hancock Multifactor Financials_Close_average,John Hancock Multifactor Financials_Close_max,John Hancock Multifactor Financials_Close_min,John Hancock Multifactor Financials_Close_volatility,John Hancock Multifactor Financials_Close_change
2018-01-14,38.87,38.87,38.87,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-01-21,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2018-01-28,37.56,37.56,37.56,0.0,0.0,38.38,38.38,38.38,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2018-02-04,36.48,36.48,36.48,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.48,36.48,36.48,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2018-02-11,38.27,38.27,38.27,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2018-02-18,38.85,38.85,38.85,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2018-02-25,38.04,38.04,38.04,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.04,38.04,38.04,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-03-04,39.69,39.69,39.69,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2018-03-11,38.55,38.55,38.55,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2018-03-18,36.58,36.58,36.58,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.56,36.56,36.56,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-03-25,36.28,36.28,36.28,0.0,0.0,36.28,36.28,36.28,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-04-01,36.6,36.6,36.6,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.73,36.73,36.73,0.0,0.0
2018-04-08,36.91,36.91,36.91,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.91,36.91,36.91,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2018-04-15,37.74,37.74,37.74,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2018-04-22,37.21,37.21,37.21,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2018-04-29,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2018-05-06,37.83,37.83,37.83,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.75,37.75,37.75,0.0,0.0
