Date,iShares US Regional Banks_Open_average,iShares US Regional Banks_Open_max,iShares US Regional Banks_Open_min,iShares US Regional Banks_Open_volatility,iShares US Regional Banks_Open_change,iShares US Regional Banks_High_average,iShares US Regional Banks_High_max,iShares US Regional Banks_High_min,iShares US Regional Banks_High_volatility,iShares US Regional Banks_High_change,iShares US Regional Banks_Low_average,iShares US Regional Banks_Low_max,iShares US Regional Banks_Low_min,iShares US Regional Banks_Low_volatility,iShares US Regional Banks_Low_change,iShares US Regional Banks_Close_average,iShares US Regional Banks_Close_max,iShares US Regional Banks_Close_min,iShares US Regional Banks_Close_volatility,iShares US Regional Banks_Close_change
2018-01-14,52.32,52.32,52.32,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2018-01-21,53.44,53.44,53.44,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.07,53.07,53.07,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2018-01-28,53.56,53.56,53.56,0.0,0.0,54.03,54.03,54.03,0.0,0.0,52.91,52.91,52.91,0.0,0.0,53.07,53.07,53.07,0.0,0.0
2018-02-04,50.39,50.39,50.39,0.0,0.0,51.16,51.16,51.16,0.0,0.0,49.25,49.25,49.25,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-02-11,52.81,52.81,52.81,0.0,0.0,53.6,53.6,53.6,0.0,0.0,52.81,52.81,52.81,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-02-18,52.53,52.53,52.53,0.0,0.0,53.3,53.3,53.3,0.0,0.0,52.53,52.53,52.53,0.0,0.0,53.28,53.28,53.28,0.0,0.0
2018-02-25,51.53,51.53,51.53,0.0,0.0,52.62,52.62,52.62,0.0,0.0,51.03,51.03,51.03,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2018-03-04,54.05,54.05,54.05,0.0,0.0,54.54,54.54,54.54,0.0,0.0,53.76,53.76,53.76,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-03-11,53.2,53.2,53.2,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2018-03-18,50.86,50.86,50.86,0.0,0.0,51.1,51.1,51.1,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-03-25,50.06,50.06,50.06,0.0,0.0,50.61,50.61,50.61,0.0,0.0,49.78,49.78,49.78,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-04-01,50.33,50.33,50.33,0.0,0.0,50.54,50.54,50.54,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-04-08,51.54,51.54,51.54,0.0,0.0,51.54,51.54,51.54,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-04-15,50.13,50.13,50.13,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-04-22,51.1,51.1,51.1,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.55,51.55,51.55,0.0,0.0
2018-04-29,50.04,50.04,50.04,0.0,0.0,51.23,51.23,51.23,0.0,0.0,49.68,49.68,49.68,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-05-06,52.41,52.41,52.41,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-05-13,52.67,52.67,52.67,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2018-05-20,51.97,51.97,51.97,0.0,0.0,52.19,52.19,52.19,0.0,0.0,51.81,51.81,51.81,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-05-27,51.45,51.45,51.45,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-06-03,52.69,52.69,52.69,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-06-10,51.2,51.2,51.2,0.0,0.0,51.8,51.8,51.8,0.0,0.0,50.78,50.78,50.78,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-06-17,51.95,51.95,51.95,0.0,0.0,52.0,52.0,52.0,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-06-24,49.8,49.8,49.8,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-07-01,49.32,49.32,49.32,0.0,0.0,49.84,49.84,49.84,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-07-08,49.73,49.73,49.73,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-07-15,50.45,50.45,50.45,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-07-22,50.95,50.95,50.95,0.0,0.0,51.36,51.36,51.36,0.0,0.0,50.72,50.72,50.72,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2018-07-29,51.41,51.41,51.41,0.0,0.0,51.64,51.64,51.64,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.34,51.34,51.34,0.0,0.0
