Date,iShares California AMT-Free Muni BondEtf_Open_average,iShares California AMT-Free Muni BondEtf_Open_max,iShares California AMT-Free Muni BondEtf_Open_min,iShares California AMT-Free Muni BondEtf_Open_volatility,iShares California AMT-Free Muni BondEtf_Open_change,iShares California AMT-Free Muni BondEtf_High_average,iShares California AMT-Free Muni BondEtf_High_max,iShares California AMT-Free Muni BondEtf_High_min,iShares California AMT-Free Muni BondEtf_High_volatility,iShares California AMT-Free Muni BondEtf_High_change,iShares California AMT-Free Muni BondEtf_Low_average,iShares California AMT-Free Muni BondEtf_Low_max,iShares California AMT-Free Muni BondEtf_Low_min,iShares California AMT-Free Muni BondEtf_Low_volatility,iShares California AMT-Free Muni BondEtf_Low_change,iShares California AMT-Free Muni BondEtf_Close_average,iShares California AMT-Free Muni BondEtf_Close_max,iShares California AMT-Free Muni BondEtf_Close_min,iShares California AMT-Free Muni BondEtf_Close_volatility,iShares California AMT-Free Muni BondEtf_Close_change
2018-01-14,58.96,58.96,58.96,0.0,0.0,59.02,59.02,59.02,0.0,0.0,58.9,58.9,58.9,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2018-01-21,58.94,58.94,58.94,0.0,0.0,58.94,58.94,58.94,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-01-28,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2018-02-04,58.28,58.28,58.28,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2018-02-11,58.2,58.2,58.2,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-02-18,58.13,58.13,58.13,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2018-02-25,58.25,58.25,58.25,0.0,0.0,58.26,58.26,58.26,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2018-03-04,57.99,57.99,57.99,0.0,0.0,58.13,58.13,58.13,0.0,0.0,57.99,57.99,57.99,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-03-11,58.06,58.06,58.06,0.0,0.0,58.26,58.26,58.26,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-03-18,58.21,58.21,58.21,0.0,0.0,58.26,58.26,58.26,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.25,58.25,58.25,0.0,0.0
2018-03-25,58.31,58.31,58.31,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.31,58.31,58.31,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2018-04-01,58.15,58.15,58.15,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-04-08,58.14,58.14,58.14,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.21,58.21,58.21,0.0,0.0
2018-04-15,57.9,57.9,57.9,0.0,0.0,58.14,58.14,58.14,0.0,0.0,57.9,57.9,57.9,0.0,0.0,58.02,58.02,58.02,0.0,0.0
2018-04-22,57.73,57.73,57.73,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.73,57.73,57.73,0.0,0.0,57.86,57.86,57.86,0.0,0.0
2018-04-29,58.17,58.17,58.17,0.0,0.0,58.17,58.17,58.17,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.14,58.14,58.14,0.0,0.0
2018-05-06,58.19,58.19,58.19,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2018-05-13,57.99,57.99,57.99,0.0,0.0,58.15,58.15,58.15,0.0,0.0,57.99,57.99,57.99,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2018-05-20,58.3,58.3,58.3,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2018-05-27,58.45,58.45,58.45,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-06-03,58.54,58.54,58.54,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-06-10,58.41,58.41,58.41,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-06-17,58.45,58.45,58.45,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.51,58.51,58.51,0.0,0.0
2018-06-24,58.54,58.54,58.54,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.54,58.54,58.54,0.0,0.0
2018-07-01,58.54,58.54,58.54,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2018-07-08,58.65,58.65,58.65,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2018-07-15,58.61,58.61,58.61,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.71,58.71,58.71,0.0,0.0
2018-07-22,58.6,58.6,58.6,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.51,58.51,58.51,0.0,0.0
2018-07-29,58.35,58.35,58.35,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-08-05,58.47,58.47,58.47,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2018-08-12,58.58,58.58,58.58,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.51,58.51,58.51,0.0,0.0
2018-08-19,58.52,58.52,58.52,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2018-08-26,58.58,58.58,58.58,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.58,58.58,58.58,0.0,0.0
2018-09-02,58.29,58.29,58.29,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2018-09-09,58.13,58.13,58.13,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.11,58.11,58.11,0.0,0.0
2018-09-16,57.9,57.9,57.9,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.85,57.85,57.85,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2018-09-23,57.99,57.99,57.99,0.0,0.0,58.05,58.05,58.05,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.99,57.99,57.99,0.0,0.0
2018-09-30,57.61,57.61,57.61,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.45,57.45,57.45,0.0,0.0,57.53,57.53,57.53,0.0,0.0
2018-10-07,57.33,57.33,57.33,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.16,57.16,57.16,0.0,0.0
2018-10-14,57.26,57.26,57.26,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.3,57.3,57.3,0.0,0.0
2018-10-21,57.5,57.5,57.5,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-10-28,57.17,57.17,57.17,0.0,0.0,57.17,57.17,57.17,0.0,0.0,56.96,56.96,56.96,0.0,0.0,56.98,56.98,56.98,0.0,0.0
2018-11-04,57.17,57.17,57.17,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.06,57.06,57.06,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2018-11-11,57.33,57.33,57.33,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-11-18,57.5,57.5,57.5,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2018-11-25,57.76,57.76,57.76,0.0,0.0,57.78,57.78,57.78,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.76,57.76,57.76,0.0,0.0
2018-12-02,57.99,57.99,57.99,0.0,0.0,58.07,58.07,58.07,0.0,0.0,57.91,57.91,57.91,0.0,0.0,58.04,58.04,58.04,0.0,0.0
2018-12-09,57.95,57.95,57.95,0.0,0.0,58.0,58.0,58.0,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.92,57.92,57.92,0.0,0.0
2018-12-16,58.27,58.27,58.27,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.4,58.4,58.4,0.0,0.0
2018-12-23,58.37,58.37,58.37,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.41,58.41,58.41,0.0,0.0
2018-12-30,58.53,58.53,58.53,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2019-01-06,58.39,58.39,58.39,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2019-01-13,58.39,58.39,58.39,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2019-01-20,58.35,58.35,58.35,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.32,58.32,58.32,0.0,0.0
