Date,SPDR S&P RetailEtf_Open_average,SPDR S&P RetailEtf_Open_max,SPDR S&P RetailEtf_Open_min,SPDR S&P RetailEtf_Open_volatility,SPDR S&P RetailEtf_Open_change,SPDR S&P RetailEtf_High_average,SPDR S&P RetailEtf_High_max,SPDR S&P RetailEtf_High_min,SPDR S&P RetailEtf_High_volatility,SPDR S&P RetailEtf_High_change,SPDR S&P RetailEtf_Low_average,SPDR S&P RetailEtf_Low_max,SPDR S&P RetailEtf_Low_min,SPDR S&P RetailEtf_Low_volatility,SPDR S&P RetailEtf_Low_change,SPDR S&P RetailEtf_Close_average,SPDR S&P RetailEtf_Close_max,SPDR S&P RetailEtf_Close_min,SPDR S&P RetailEtf_Close_volatility,SPDR S&P RetailEtf_Close_change
2018-01-14,47.54,47.54,47.54,0.0,0.0,48.31,48.31,48.31,0.0,0.0,47.42,47.42,47.42,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-01-21,48.5,48.5,48.5,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-01-28,46.43,46.43,46.43,0.0,0.0,46.59,46.59,46.59,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-02-04,44.66,44.66,44.66,0.0,0.0,45.16,45.16,45.16,0.0,0.0,42.87,42.87,42.87,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-02-11,46.07,46.07,46.07,0.0,0.0,46.73,46.73,46.73,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2018-02-18,45.56,45.56,45.56,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2018-02-25,44.24,44.24,44.24,0.0,0.0,45.4,45.4,45.4,0.0,0.0,43.96,43.96,43.96,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2018-03-04,45.05,45.05,45.05,0.0,0.0,45.47,45.47,45.47,0.0,0.0,44.82,44.82,44.82,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2018-03-11,44.4,44.4,44.4,0.0,0.0,45.09,45.09,45.09,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-03-18,43.56,43.56,43.56,0.0,0.0,43.79,43.79,43.79,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2018-03-25,44.0,44.0,44.0,0.0,0.0,44.45,44.45,44.45,0.0,0.0,43.94,43.94,43.94,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-04-01,44.9,44.9,44.9,0.0,0.0,45.31,45.31,45.31,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2018-04-08,45.21,45.21,45.21,0.0,0.0,45.43,45.43,45.43,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2018-04-15,44.5,44.5,44.5,0.0,0.0,44.71,44.71,44.71,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.98,43.98,43.98,0.0,0.0
2018-04-22,45.3,45.3,45.3,0.0,0.0,45.82,45.82,45.82,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2018-04-29,44.68,44.68,44.68,0.0,0.0,45.26,45.26,45.26,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.99,44.99,44.99,0.0,0.0
2018-05-06,45.11,45.11,45.11,0.0,0.0,45.63,45.63,45.63,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2018-05-13,46.93,46.93,46.93,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2018-05-20,46.53,46.53,46.53,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-05-27,46.35,46.35,46.35,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.62,46.62,46.62,0.0,0.0
2018-06-03,48.95,48.95,48.95,0.0,0.0,49.61,49.61,49.61,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-06-10,48.81,48.81,48.81,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.81,48.81,48.81,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-06-17,51.04,51.04,51.04,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-06-24,49.42,49.42,49.42,0.0,0.0,49.6,49.6,49.6,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.56,48.56,48.56,0.0,0.0
2018-07-01,49.2,49.2,49.2,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-07-08,49.0,49.0,49.0,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2018-07-15,50.4,50.4,50.4,0.0,0.0,50.65,50.65,50.65,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2018-07-22,50.2,50.2,50.2,0.0,0.0,50.5,50.5,50.5,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-07-29,49.64,49.64,49.64,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-08-05,50.81,50.81,50.81,0.0,0.0,51.46,51.46,51.46,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2018-08-12,50.64,50.64,50.64,0.0,0.0,51.28,51.28,51.28,0.0,0.0,50.56,50.56,50.56,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2018-08-19,52.21,52.21,52.21,0.0,0.0,52.3,52.3,52.3,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2018-08-26,51.23,51.23,51.23,0.0,0.0,52.09,52.09,52.09,0.0,0.0,51.21,51.21,51.21,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-09-02,51.12,51.12,51.12,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.29,51.29,51.29,0.0,0.0
2018-09-09,51.54,51.54,51.54,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2018-09-16,51.61,51.61,51.61,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.35,51.35,51.35,0.0,0.0
2018-09-23,51.07,51.07,51.07,0.0,0.0,51.56,51.56,51.56,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.02,51.02,51.02,0.0,0.0
