Date,SPDR EURO STOXX Small Cap_Open_average,SPDR EURO STOXX Small Cap_Open_max,SPDR EURO STOXX Small Cap_Open_min,SPDR EURO STOXX Small Cap_Open_volatility,SPDR EURO STOXX Small Cap_Open_change,SPDR EURO STOXX Small Cap_High_average,SPDR EURO STOXX Small Cap_High_max,SPDR EURO STOXX Small Cap_High_min,SPDR EURO STOXX Small Cap_High_volatility,SPDR EURO STOXX Small Cap_High_change,SPDR EURO STOXX Small Cap_Low_average,SPDR EURO STOXX Small Cap_Low_max,SPDR EURO STOXX Small Cap_Low_min,SPDR EURO STOXX Small Cap_Low_volatility,SPDR EURO STOXX Small Cap_Low_change,SPDR EURO STOXX Small Cap_Close_average,SPDR EURO STOXX Small Cap_Close_max,SPDR EURO STOXX Small Cap_Close_min,SPDR EURO STOXX Small Cap_Close_volatility,SPDR EURO STOXX Small Cap_Close_change
2018-01-14,68.18,68.18,68.18,0.0,0.0,68.29,68.29,68.29,0.0,0.0,68.18,68.18,68.18,0.0,0.0,68.24,68.24,68.24,0.0,0.0
2018-01-21,69.0,69.0,69.0,0.0,0.0,69.29,69.29,69.29,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.29,69.29,69.29,0.0,0.0
2018-01-28,67.76,67.76,67.76,0.0,0.0,67.78,67.78,67.78,0.0,0.0,66.99,66.99,66.99,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-02-04,63.55,63.55,63.55,0.0,0.0,64.06,64.06,64.06,0.0,0.0,62.09,62.09,62.09,0.0,0.0,63.15,63.15,63.15,0.0,0.0
2018-02-11,66.16,66.16,66.16,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.16,66.16,66.16,0.0,0.0,66.19,66.19,66.19,0.0,0.0
2018-02-18,65.68,65.68,65.68,0.0,0.0,66.04,66.04,66.04,0.0,0.0,65.68,65.68,65.68,0.0,0.0,66.04,66.04,66.04,0.0,0.0
2018-02-25,63.73,63.73,63.73,0.0,0.0,64.22,64.22,64.22,0.0,0.0,63.35,63.35,63.35,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2018-03-04,65.65,65.65,65.65,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.59,65.59,65.59,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2018-03-11,64.94,64.94,64.94,0.0,0.0,65.13,65.13,65.13,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.81,64.81,64.81,0.0,0.0
2018-03-18,63.63,63.63,63.63,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.77,63.77,63.77,0.0,0.0
2018-03-25,64.36,64.36,64.36,0.0,0.0,64.39,64.39,64.39,0.0,0.0,64.18,64.18,64.18,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2018-04-01,64.32,64.32,64.32,0.0,0.0,64.32,64.32,64.32,0.0,0.0,63.84,63.84,63.84,0.0,0.0,63.84,63.84,63.84,0.0,0.0
2018-04-08,65.32,65.32,65.32,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-04-15,65.6,65.6,65.6,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.47,65.47,65.47,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2018-04-22,64.63,64.63,64.63,0.0,0.0,64.63,64.63,64.63,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-04-29,64.23,64.23,64.23,0.0,0.0,64.42,64.42,64.42,0.0,0.0,64.22,64.22,64.22,0.0,0.0,64.42,64.42,64.42,0.0,0.0
2018-05-06,64.91,64.91,64.91,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.64,64.64,64.64,0.0,0.0,64.64,64.64,64.64,0.0,0.0
2018-05-13,63.41,63.41,63.41,0.0,0.0,63.5,63.5,63.5,0.0,0.0,63.12,63.12,63.12,0.0,0.0,63.14,63.14,63.14,0.0,0.0
2018-05-20,62.41,62.41,62.41,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.26,62.26,62.26,0.0,0.0,62.49,62.49,62.49,0.0,0.0
2018-05-27,61.8,61.8,61.8,0.0,0.0,61.8,61.8,61.8,0.0,0.0,61.49,61.49,61.49,0.0,0.0,61.8,61.8,61.8,0.0,0.0
2018-06-03,62.1,62.1,62.1,0.0,0.0,62.24,62.24,62.24,0.0,0.0,61.94,61.94,61.94,0.0,0.0,62.12,62.12,62.12,0.0,0.0
2018-06-10,62.2,62.2,62.2,0.0,0.0,62.27,62.27,62.27,0.0,0.0,62.11,62.11,62.11,0.0,0.0,62.18,62.18,62.18,0.0,0.0
