Date,First Trust NYSE Arca Biotechnology_Open_average,First Trust NYSE Arca Biotechnology_Open_max,First Trust NYSE Arca Biotechnology_Open_min,First Trust NYSE Arca Biotechnology_Open_volatility,First Trust NYSE Arca Biotechnology_Open_change,First Trust NYSE Arca Biotechnology_High_average,First Trust NYSE Arca Biotechnology_High_max,First Trust NYSE Arca Biotechnology_High_min,First Trust NYSE Arca Biotechnology_High_volatility,First Trust NYSE Arca Biotechnology_High_change,First Trust NYSE Arca Biotechnology_Low_average,First Trust NYSE Arca Biotechnology_Low_max,First Trust NYSE Arca Biotechnology_Low_min,First Trust NYSE Arca Biotechnology_Low_volatility,First Trust NYSE Arca Biotechnology_Low_change,First Trust NYSE Arca Biotechnology_Close_average,First Trust NYSE Arca Biotechnology_Close_max,First Trust NYSE Arca Biotechnology_Close_min,First Trust NYSE Arca Biotechnology_Close_volatility,First Trust NYSE Arca Biotechnology_Close_change
2018-01-14,137.69,137.69,137.69,0.0,0.0,141.12,141.12,141.12,0.0,0.0,137.69,137.69,137.69,0.0,0.0,141.08,141.08,141.08,0.0,0.0
2018-01-21,145.07,145.07,145.07,0.0,0.0,147.1,147.1,147.1,0.0,0.0,145.0,145.0,145.0,0.0,0.0,145.69,145.69,145.69,0.0,0.0
2018-01-28,138.06,138.06,138.06,0.0,0.0,139.56,139.56,139.56,0.0,0.0,133.09,133.09,133.09,0.0,0.0,133.13,133.13,133.13,0.0,0.0
2018-02-04,131.61,131.61,131.61,0.0,0.0,134.13,134.13,134.13,0.0,0.0,130.81,130.81,130.81,0.0,0.0,132.94,132.94,132.94,0.0,0.0
2018-02-11,138.01,138.01,138.01,0.0,0.0,139.85,139.85,139.85,0.0,0.0,137.98,137.98,137.98,0.0,0.0,138.44,138.44,138.44,0.0,0.0
2018-02-18,139.06,139.06,139.06,0.0,0.0,139.52,139.52,139.52,0.0,0.0,138.06,138.06,138.06,0.0,0.0,139.37,139.37,139.37,0.0,0.0
2018-02-25,136.94,136.94,136.94,0.0,0.0,139.44,139.44,139.44,0.0,0.0,136.85,136.85,136.85,0.0,0.0,139.25,139.25,139.25,0.0,0.0
2018-03-04,144.28,144.28,144.28,0.0,0.0,144.85,144.85,144.85,0.0,0.0,143.38,143.38,143.38,0.0,0.0,144.51,144.51,144.51,0.0,0.0
2018-03-11,140.77,140.77,140.77,0.0,0.0,141.23,141.23,141.23,0.0,0.0,137.64,137.64,137.64,0.0,0.0,138.94,138.94,138.94,0.0,0.0
2018-03-18,134.66,134.66,134.66,0.0,0.0,136.49,136.49,136.49,0.0,0.0,132.33,132.33,132.33,0.0,0.0,136.42,136.42,136.42,0.0,0.0
2018-03-25,131.34,131.34,131.34,0.0,0.0,131.34,131.34,131.34,0.0,0.0,125.18,125.18,125.18,0.0,0.0,126.24,126.24,126.24,0.0,0.0
2018-04-01,131.02,131.02,131.02,0.0,0.0,133.62,133.62,133.62,0.0,0.0,130.84,130.84,130.84,0.0,0.0,132.27,132.27,132.27,0.0,0.0
2018-04-08,137.86,137.86,137.86,0.0,0.0,137.86,137.86,137.86,0.0,0.0,135.04,135.04,135.04,0.0,0.0,135.47,135.47,135.47,0.0,0.0
2018-04-15,135.03,135.03,135.03,0.0,0.0,135.86,135.86,135.86,0.0,0.0,134.1,134.1,134.1,0.0,0.0,134.65,134.65,134.65,0.0,0.0
2018-04-22,134.53,134.53,134.53,0.0,0.0,134.58,134.58,134.58,0.0,0.0,131.92,131.92,131.92,0.0,0.0,131.92,131.92,131.92,0.0,0.0
2018-04-29,132.58,132.58,132.58,0.0,0.0,133.9,133.9,133.9,0.0,0.0,132.58,132.58,132.58,0.0,0.0,133.68,133.68,133.68,0.0,0.0
2018-05-06,137.6,137.6,137.6,0.0,0.0,139.84,139.84,139.84,0.0,0.0,137.6,137.6,137.6,0.0,0.0,138.98,138.98,138.98,0.0,0.0
2018-05-13,139.39,139.39,139.39,0.0,0.0,139.42,139.42,139.42,0.0,0.0,136.69,136.69,136.69,0.0,0.0,137.05,137.05,137.05,0.0,0.0
