Date,iShares Residential Real Estate Capped_Open_average,iShares Residential Real Estate Capped_Open_max,iShares Residential Real Estate Capped_Open_min,iShares Residential Real Estate Capped_Open_volatility,iShares Residential Real Estate Capped_Open_change,iShares Residential Real Estate Capped_High_average,iShares Residential Real Estate Capped_High_max,iShares Residential Real Estate Capped_High_min,iShares Residential Real Estate Capped_High_volatility,iShares Residential Real Estate Capped_High_change,iShares Residential Real Estate Capped_Low_average,iShares Residential Real Estate Capped_Low_max,iShares Residential Real Estate Capped_Low_min,iShares Residential Real Estate Capped_Low_volatility,iShares Residential Real Estate Capped_Low_change,iShares Residential Real Estate Capped_Close_average,iShares Residential Real Estate Capped_Close_max,iShares Residential Real Estate Capped_Close_min,iShares Residential Real Estate Capped_Close_volatility,iShares Residential Real Estate Capped_Close_change
2018-01-14,57.76,57.76,57.76,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.96,57.96,57.96,0.0,0.0
2018-01-21,59.2,59.2,59.2,0.0,0.0,59.25,59.25,59.25,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-01-28,57.04,57.04,57.04,0.0,0.0,57.47,57.47,57.47,0.0,0.0,56.51,56.51,56.51,0.0,0.0,57.18,57.18,57.18,0.0,0.0
2018-02-04,54.14,54.14,54.14,0.0,0.0,55.6,55.6,55.6,0.0,0.0,54.1,54.1,54.1,0.0,0.0,55.58,55.58,55.58,0.0,0.0
2018-02-11,56.04,56.04,56.04,0.0,0.0,56.39,56.39,56.39,0.0,0.0,55.93,55.93,55.93,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2018-02-18,55.41,55.41,55.41,0.0,0.0,56.13,56.13,56.13,0.0,0.0,54.95,54.95,54.95,0.0,0.0,56.12,56.12,56.12,0.0,0.0
2018-02-25,54.97,54.97,54.97,0.0,0.0,55.24,55.24,55.24,0.0,0.0,54.83,54.83,54.83,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2018-03-04,56.78,56.78,56.78,0.0,0.0,57.1,57.1,57.1,0.0,0.0,56.46,56.46,56.46,0.0,0.0,57.1,57.1,57.1,0.0,0.0
2018-03-11,57.48,57.48,57.48,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.35,57.35,57.35,0.0,0.0,57.81,57.81,57.81,0.0,0.0
2018-03-18,55.91,55.91,55.91,0.0,0.0,55.91,55.91,55.91,0.0,0.0,54.95,54.95,54.95,0.0,0.0,55.07,55.07,55.07,0.0,0.0
