Date,iShares MSCI Global Impact_Open_average,iShares MSCI Global Impact_Open_max,iShares MSCI Global Impact_Open_min,iShares MSCI Global Impact_Open_volatility,iShares MSCI Global Impact_Open_change,iShares MSCI Global Impact_High_average,iShares MSCI Global Impact_High_max,iShares MSCI Global Impact_High_min,iShares MSCI Global Impact_High_volatility,iShares MSCI Global Impact_High_change,iShares MSCI Global Impact_Low_average,iShares MSCI Global Impact_Low_max,iShares MSCI Global Impact_Low_min,iShares MSCI Global Impact_Low_volatility,iShares MSCI Global Impact_Low_change,iShares MSCI Global Impact_Close_average,iShares MSCI Global Impact_Close_max,iShares MSCI Global Impact_Close_min,iShares MSCI Global Impact_Close_volatility,iShares MSCI Global Impact_Close_change
2018-01-14,61.91,61.91,61.91,0.0,0.0,62.3,62.3,62.3,0.0,0.0,61.91,61.91,61.91,0.0,0.0,62.18,62.18,62.18,0.0,0.0
2018-01-21,62.35,62.35,62.35,0.0,0.0,62.46,62.46,62.46,0.0,0.0,62.35,62.35,62.35,0.0,0.0,62.43,62.43,62.43,0.0,0.0
2018-01-28,59.73,59.73,59.73,0.0,0.0,59.73,59.73,59.73,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2018-02-04,58.57,58.57,58.57,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.24,58.24,58.24,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2018-02-11,60.35,60.35,60.35,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-02-18,60.36,60.36,60.36,0.0,0.0,60.36,60.36,60.36,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.28,60.28,60.28,0.0,0.0
2018-02-25,58.57,58.57,58.57,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2018-03-04,60.31,60.31,60.31,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.31,60.31,60.31,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2018-03-11,59.84,59.84,59.84,0.0,0.0,59.84,59.84,59.84,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2018-03-18,58.54,58.54,58.54,0.0,0.0,58.81,58.81,58.81,0.0,0.0,57.9,57.9,57.9,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2018-03-25,59.04,59.04,59.04,0.0,0.0,59.04,59.04,59.04,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2018-04-01,59.11,59.11,59.11,0.0,0.0,59.18,59.18,59.18,0.0,0.0,58.66,58.66,58.66,0.0,0.0,59.18,59.18,59.18,0.0,0.0
2018-04-08,59.13,59.13,59.13,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.12,59.12,59.12,0.0,0.0,59.21,59.21,59.21,0.0,0.0
2018-04-15,58.51,58.51,58.51,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2018-04-22,59.2,59.2,59.2,0.0,0.0,59.2,59.2,59.2,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.72,58.72,58.72,0.0,0.0
2018-04-29,59.0,59.0,59.0,0.0,0.0,59.0,59.0,59.0,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.88,58.88,58.88,0.0,0.0
2018-05-06,59.87,59.87,59.87,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.87,59.87,59.87,0.0,0.0
2018-05-13,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.94,59.94,59.94,0.0,0.0,59.96,59.96,59.96,0.0,0.0
2018-05-20,59.28,59.28,59.28,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.21,59.21,59.21,0.0,0.0
2018-05-27,59.21,59.21,59.21,0.0,0.0,59.68,59.68,59.68,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.37,59.37,59.37,0.0,0.0
2018-06-03,59.75,59.75,59.75,0.0,0.0,59.82,59.82,59.82,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.82,59.82,59.82,0.0,0.0
2018-06-10,58.57,58.57,58.57,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.57,58.57,58.57,0.0,0.0,58.78,58.78,58.78,0.0,0.0
2018-06-17,57.18,57.18,57.18,0.0,0.0,57.18,57.18,57.18,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.88,56.88,56.88,0.0,0.0
2018-06-24,55.89,55.89,55.89,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-07-01,57.65,57.65,57.65,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.7,57.7,57.7,0.0,0.0
