Date,IQ Hedge Event-Driven Tracker_Open_average,IQ Hedge Event-Driven Tracker_Open_max,IQ Hedge Event-Driven Tracker_Open_min,IQ Hedge Event-Driven Tracker_Open_volatility,IQ Hedge Event-Driven Tracker_Open_change,IQ Hedge Event-Driven Tracker_High_average,IQ Hedge Event-Driven Tracker_High_max,IQ Hedge Event-Driven Tracker_High_min,IQ Hedge Event-Driven Tracker_High_volatility,IQ Hedge Event-Driven Tracker_High_change,IQ Hedge Event-Driven Tracker_Low_average,IQ Hedge Event-Driven Tracker_Low_max,IQ Hedge Event-Driven Tracker_Low_min,IQ Hedge Event-Driven Tracker_Low_volatility,IQ Hedge Event-Driven Tracker_Low_change,IQ Hedge Event-Driven Tracker_Close_average,IQ Hedge Event-Driven Tracker_Close_max,IQ Hedge Event-Driven Tracker_Close_min,IQ Hedge Event-Driven Tracker_Close_volatility,IQ Hedge Event-Driven Tracker_Close_change
2018-01-14,21.08,21.08,21.08,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.08,21.08,21.08,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2018-01-21,21.24,21.24,21.24,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2018-01-28,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2018-02-04,20.85,20.85,20.85,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-02-11,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.94,20.94,20.94,0.0,0.0
2018-02-18,21.15,21.15,21.15,0.0,0.0,21.15,21.15,21.15,0.0,0.0,20.96,20.96,20.96,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2018-02-25,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0
2018-03-04,21.11,21.11,21.11,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2018-03-11,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2018-03-18,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0
