Date,First Trust ISE Cloud Computing_Open_average,First Trust ISE Cloud Computing_Open_max,First Trust ISE Cloud Computing_Open_min,First Trust ISE Cloud Computing_Open_volatility,First Trust ISE Cloud Computing_Open_change,First Trust ISE Cloud Computing_High_average,First Trust ISE Cloud Computing_High_max,First Trust ISE Cloud Computing_High_min,First Trust ISE Cloud Computing_High_volatility,First Trust ISE Cloud Computing_High_change,First Trust ISE Cloud Computing_Low_average,First Trust ISE Cloud Computing_Low_max,First Trust ISE Cloud Computing_Low_min,First Trust ISE Cloud Computing_Low_volatility,First Trust ISE Cloud Computing_Low_change,First Trust ISE Cloud Computing_Close_average,First Trust ISE Cloud Computing_Close_max,First Trust ISE Cloud Computing_Close_min,First Trust ISE Cloud Computing_Close_volatility,First Trust ISE Cloud Computing_Close_change
2018-01-14,47.6,47.6,47.6,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.52,47.52,47.52,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2018-01-21,49.39,49.39,49.39,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-01-28,47.6,47.6,47.6,0.0,0.0,48.36,48.36,48.36,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-02-04,45.95,45.95,45.95,0.0,0.0,46.59,46.59,46.59,0.0,0.0,45.59,45.59,45.59,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-02-11,48.33,48.33,48.33,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-02-18,49.1,49.1,49.1,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-02-25,48.74,48.74,48.74,0.0,0.0,49.86,49.86,49.86,0.0,0.0,48.72,48.72,48.72,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2018-03-04,51.71,51.71,51.71,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.49,51.49,51.49,0.0,0.0
2018-03-11,50.64,50.64,50.64,0.0,0.0,50.69,50.69,50.69,0.0,0.0,49.85,49.85,49.85,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-03-18,48.79,48.79,48.79,0.0,0.0,49.41,49.41,49.41,0.0,0.0,48.07,48.07,48.07,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-03-25,47.93,47.93,47.93,0.0,0.0,47.96,47.96,47.96,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2018-04-01,47.7,47.7,47.7,0.0,0.0,48.42,48.42,48.42,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-04-08,49.41,49.41,49.41,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2018-04-15,50.03,50.03,50.03,0.0,0.0,50.35,50.35,50.35,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-04-22,50.05,50.05,50.05,0.0,0.0,50.3,50.3,50.3,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-04-29,50.93,50.93,50.93,0.0,0.0,51.34,51.34,51.34,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2018-05-06,52.41,52.41,52.41,0.0,0.0,52.46,52.46,52.46,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.89,51.89,51.89,0.0,0.0
