Date,Vanguard Financials_Open_average,Vanguard Financials_Open_max,Vanguard Financials_Open_min,Vanguard Financials_Open_volatility,Vanguard Financials_Open_change,Vanguard Financials_High_average,Vanguard Financials_High_max,Vanguard Financials_High_min,Vanguard Financials_High_volatility,Vanguard Financials_High_change,Vanguard Financials_Low_average,Vanguard Financials_Low_max,Vanguard Financials_Low_min,Vanguard Financials_Low_volatility,Vanguard Financials_Low_change,Vanguard Financials_Close_average,Vanguard Financials_Close_max,Vanguard Financials_Close_min,Vanguard Financials_Close_volatility,Vanguard Financials_Close_change
2018-01-14,73.75,73.75,73.75,0.0,0.0,74.42,74.42,74.42,0.0,0.0,73.75,73.75,73.75,0.0,0.0,74.42,74.42,74.42,0.0,0.0
2018-01-21,75.24,75.24,75.24,0.0,0.0,75.48,75.48,75.48,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-01-28,72.0,72.0,72.0,0.0,0.0,72.91,72.91,72.91,0.0,0.0,69.12,69.12,69.12,0.0,0.0,69.83,69.83,69.83,0.0,0.0
2018-02-04,69.95,69.95,69.95,0.0,0.0,70.88,70.88,70.88,0.0,0.0,69.36,69.36,69.36,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2018-02-11,72.25,72.25,72.25,0.0,0.0,73.16,73.16,73.16,0.0,0.0,72.25,72.25,72.25,0.0,0.0,72.64,72.64,72.64,0.0,0.0
2018-02-18,73.13,73.13,73.13,0.0,0.0,73.73,73.73,73.73,0.0,0.0,72.75,72.75,72.75,0.0,0.0,73.71,73.71,73.71,0.0,0.0
2018-02-25,70.83,70.83,70.83,0.0,0.0,72.65,72.65,72.65,0.0,0.0,70.73,70.73,70.73,0.0,0.0,72.31,72.31,72.31,0.0,0.0
2018-03-04,74.45,74.45,74.45,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.06,74.06,74.06,0.0,0.0,74.21,74.21,74.21,0.0,0.0
2018-03-11,72.57,72.57,72.57,0.0,0.0,72.68,72.68,72.68,0.0,0.0,71.41,71.41,71.41,0.0,0.0,72.12,72.12,72.12,0.0,0.0
2018-03-18,68.67,68.67,68.67,0.0,0.0,69.87,69.87,69.87,0.0,0.0,68.34,68.34,68.34,0.0,0.0,69.73,69.73,69.73,0.0,0.0
2018-03-25,69.39,69.39,69.39,0.0,0.0,69.48,69.48,69.48,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.98,67.98,67.98,0.0,0.0
2018-04-01,68.79,68.79,68.79,0.0,0.0,70.06,70.06,70.06,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2018-04-08,69.54,69.54,69.54,0.0,0.0,69.86,69.86,69.86,0.0,0.0,69.22,69.22,69.22,0.0,0.0,69.45,69.45,69.45,0.0,0.0
2018-04-15,70.37,70.37,70.37,0.0,0.0,70.43,70.43,70.43,0.0,0.0,69.94,69.94,69.94,0.0,0.0,70.16,70.16,70.16,0.0,0.0
2018-04-22,70.07,70.07,70.07,0.0,0.0,70.37,70.37,70.37,0.0,0.0,69.21,69.21,69.21,0.0,0.0,69.22,69.22,69.22,0.0,0.0
2018-04-29,69.17,69.17,69.17,0.0,0.0,69.64,69.64,69.64,0.0,0.0,68.9,68.9,68.9,0.0,0.0,69.34,69.34,69.34,0.0,0.0
2018-05-06,71.43,71.43,71.43,0.0,0.0,71.57,71.57,71.57,0.0,0.0,71.07,71.07,71.07,0.0,0.0,71.18,71.18,71.18,0.0,0.0
2018-05-13,71.1,71.1,71.1,0.0,0.0,71.51,71.51,71.51,0.0,0.0,71.09,71.09,71.09,0.0,0.0,71.31,71.31,71.31,0.0,0.0
