Date,ProShares Short MidCap400_Open_average,ProShares Short MidCap400_Open_max,ProShares Short MidCap400_Open_min,ProShares Short MidCap400_Open_volatility,ProShares Short MidCap400_Open_change,ProShares Short MidCap400_High_average,ProShares Short MidCap400_High_max,ProShares Short MidCap400_High_min,ProShares Short MidCap400_High_volatility,ProShares Short MidCap400_High_change,ProShares Short MidCap400_Low_average,ProShares Short MidCap400_Low_max,ProShares Short MidCap400_Low_min,ProShares Short MidCap400_Low_volatility,ProShares Short MidCap400_Low_change,ProShares Short MidCap400_Close_average,ProShares Short MidCap400_Close_max,ProShares Short MidCap400_Close_min,ProShares Short MidCap400_Close_volatility,ProShares Short MidCap400_Close_change
2018-01-14,43.08,43.08,43.08,0.0,0.0,43.12,43.12,43.12,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2018-01-21,42.84,42.84,42.84,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.84,42.84,42.84,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-01-28,44.88,44.88,44.88,0.0,0.0,46.08,46.08,46.08,0.0,0.0,44.55,44.55,44.55,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2018-02-04,46.64,46.64,46.64,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2018-02-11,44.96,44.96,44.96,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-02-18,44.56,44.56,44.56,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-02-25,45.48,45.48,45.48,0.0,0.0,45.48,45.48,45.48,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.82,44.82,44.82,0.0,0.0
2018-03-04,43.48,43.48,43.48,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2018-03-11,44.04,44.04,44.04,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.24,44.24,44.24,0.0,0.0
2018-03-18,45.52,45.52,45.52,0.0,0.0,45.92,45.92,45.92,0.0,0.0,45.08,45.08,45.08,0.0,0.0,45.08,45.08,45.08,0.0,0.0
2018-03-25,45.67,45.67,45.67,0.0,0.0,46.44,46.44,46.44,0.0,0.0,45.67,45.67,45.67,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-04-01,45.36,45.36,45.36,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2018-04-08,44.64,44.64,44.64,0.0,0.0,44.64,44.64,44.64,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2018-04-15,44.44,44.44,44.44,0.0,0.0,44.64,44.64,44.64,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2018-04-22,44.6,44.6,44.6,0.0,0.0,45.2,45.2,45.2,0.0,0.0,44.6,44.6,44.6,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2018-04-29,44.48,44.48,44.48,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.24,44.24,44.24,0.0,0.0
